gen	min        	avg       	max       	std        
0  	4.40908e+08	6.1152e+09	1.6616e+11	1.36021e+10
1  	4.40908e+08	6.51103e+09	3.1049e+11	1.8874e+10 
2  	3.15616e+08	5.20642e+09	1.04601e+11	1.01197e+10
3  	3.15616e+08	4.97132e+09	1.14144e+11	9.34165e+09
4  	3.15616e+08	5.46308e+09	2.55244e+11	1.4862e+10 
5  	3.15616e+08	4.80384e+09	1.31643e+11	9.20649e+09
6  	3.15616e+08	4.18893e+09	4.68791e+10	5.85195e+09
7  	2.70558e+08	4.1764e+09 	4.30372e+10	5.51696e+09
8  	2.70558e+08	4.36425e+09	6.14512e+10	6.90052e+09
9  	2.70558e+08	4.05421e+09	6.70808e+10	6.48281e+09
10 	2.70558e+08	3.7274e+09 	6.43841e+10	5.53579e+09
11 	2.70558e+08	3.82994e+09	9.30088e+10	6.57011e+09
12 	2.65776e+08	3.49574e+09	4.06795e+10	4.72201e+09
13 	2.65776e+08	3.76071e+09	4.74045e+10	5.35524e+09
14 	2.65776e+08	3.70901e+09	9.34606e+10	6.78437e+09
15 	2.65776e+08	3.23051e+09	3.97629e+10	4.07514e+09
16 	2.65776e+08	3.30649e+09	3.44944e+10	4.18721e+09
17 	2.65776e+08	3.3057e+09 	8.17283e+10	5.11757e+09
18 	2.65776e+08	3.33199e+09	5.12179e+10	5.1297e+09 
19 	2.65776e+08	3.2534e+09 	5.81932e+10	4.98728e+09
20 	2.20528e+08	3.63922e+09	9.80173e+10	7.30269e+09
21 	2.20528e+08	3.11451e+09	5.57543e+10	4.94967e+09
22 	2.20528e+08	3.31422e+09	5.74748e+10	5.84012e+09
23 	2.20528e+08	2.99207e+09	4.10682e+10	4.11312e+09
24 	2.20528e+08	3.32243e+09	8.53927e+10	6.2424e+09 
25 	2.20528e+08	3.14296e+09	4.83543e+10	4.87779e+09
26 	2.20528e+08	3.07939e+09	6.24878e+10	5.09602e+09
27 	2.12652e+08	2.97522e+09	6.24878e+10	5.05969e+09
28 	2.12652e+08	3.09717e+09	9.6935e+10 	7.27393e+09
29 	2.12652e+08	2.77286e+09	3.5407e+10 	4.01124e+09
30 	2.12652e+08	2.94078e+09	7.94112e+10	6.35286e+09
31 	2.12652e+08	2.47802e+09	4.09837e+10	3.92368e+09
32 	2.12652e+08	2.49308e+09	3.80098e+10	3.63302e+09
33 	2.12652e+08	2.34508e+09	3.14386e+10	3.24836e+09
34 	2.12652e+08	2.37705e+09	3.97573e+10	3.69929e+09
35 	2.12652e+08	2.3351e+09 	4.79931e+10	3.91141e+09
36 	2.12652e+08	2.16152e+09	2.38485e+10	2.60926e+09
37 	2.12652e+08	2.12952e+09	1.95783e+10	2.48766e+09
38 	2.12652e+08	2.03104e+09	2.9113e+10 	2.58198e+09
39 	2.12652e+08	2.08877e+09	4.12483e+10	3.13124e+09
40 	2.12652e+08	1.90157e+09	2.47013e+10	2.22938e+09
41 	2.12652e+08	1.89335e+09	2.46872e+10	2.30266e+09
42 	2.12289e+08	1.85953e+09	2.47752e+10	2.26781e+09
43 	1.58654e+08	1.78135e+09	2.2149e+10 	2.19606e+09
44 	1.58654e+08	1.70895e+09	1.68791e+10	1.85859e+09
45 	1.58654e+08	1.77329e+09	1.71419e+10	2.02479e+09
46 	1.58654e+08	1.73417e+09	1.71419e+10	2.05178e+09
47 	1.58654e+08	1.64053e+09	1.84743e+10	1.72486e+09
48 	1.45543e+08	1.64011e+09	2.70752e+10	2.0693e+09 
49 	1.45543e+08	1.69783e+09	4.09996e+10	2.77271e+09
50 	1.45543e+08	1.52557e+09	1.46746e+10	1.65015e+09
51 	1.45543e+08	1.4472e+09 	1.3775e+10 	1.42762e+09
52 	1.45543e+08	1.51608e+09	1.15849e+10	1.54261e+09
53 	1.45543e+08	1.55151e+09	1.58424e+10	1.80834e+09
54 	1.45543e+08	1.4888e+09 	1.48146e+10	1.53389e+09
55 	1.45543e+08	1.49267e+09	1.6045e+10 	1.67389e+09
56 	1.45543e+08	1.44696e+09	1.21786e+10	1.49999e+09
57 	1.45543e+08	1.46489e+09	1.4769e+10 	1.6741e+09 
58 	1.45543e+08	1.37878e+09	1.69292e+10	1.48497e+09
59 	1.45543e+08	1.37664e+09	1.74615e+10	1.57158e+09
60 	1.45543e+08	1.3224e+09 	1.71886e+10	1.52578e+09
61 	1.45543e+08	1.29121e+09	9.04139e+09	1.21963e+09
62 	1.45543e+08	1.26079e+09	1.34103e+10	1.3209e+09 
63 	1.45543e+08	1.26481e+09	1.05196e+10	1.25998e+09
64 	1.45543e+08	1.26558e+09	1.4733e+10 	1.48575e+09
65 	1.45543e+08	1.18951e+09	1.11554e+10	1.13228e+09
66 	1.39664e+08	1.16762e+09	1.29014e+10	1.1116e+09 
67 	1.39664e+08	1.15036e+09	1.46902e+10	1.18741e+09
68 	1.39664e+08	1.18777e+09	1.10374e+10	1.26357e+09
69 	1.39664e+08	1.18747e+09	1.37012e+10	1.22952e+09
70 	1.39664e+08	1.1292e+09 	8.37559e+09	1.06018e+09
71 	1.39664e+08	1.06912e+09	9.31099e+09	9.58326e+08
72 	1.39664e+08	1.12058e+09	1.54627e+10	1.44847e+09
73 	1.39664e+08	1.10659e+09	1.0863e+10 	1.08049e+09
74 	1.39664e+08	1.08987e+09	8.3055e+09 	1.00376e+09
75 	1.39434e+08	1.03989e+09	1.4893e+10 	1.12273e+09
76 	1.39434e+08	9.82688e+08	7.20013e+09	8.80701e+08
