gen	min        	avg       	max        	std        
0  	3.89992e+08	5.6066e+09	1.48859e+11	1.20046e+10
1  	3.80271e+08	6.43318e+09	3.91058e+11	2.20522e+10
2  	3.80271e+08	6.4266e+09 	3.24251e+11	2.2163e+10 
3  	3.80271e+08	4.27034e+09	5.77662e+10	6.22062e+09
4  	3.46427e+08	5.02732e+09	1.73863e+11	1.2229e+10 
5  	3.46427e+08	4.49352e+09	1.04513e+11	9.7733e+09 
6  	3.46427e+08	4.2291e+09 	7.60062e+10	7.795e+09  
7  	3.09315e+08	4.23003e+09	1.44243e+11	9.95604e+09
8  	3.04344e+08	3.8296e+09 	1.17734e+11	7.12615e+09
9  	3.04344e+08	3.85751e+09	9.69752e+10	6.49433e+09
10 	3.04344e+08	3.91695e+09	6.45551e+10	6.17869e+09
11 	3.04344e+08	3.53559e+09	8.56473e+10	5.79465e+09
12 	3.04344e+08	3.29068e+09	4.76311e+10	4.87964e+09
13 	2.87333e+08	3.36812e+09	4.69639e+10	5.1636e+09 
14 	2.87333e+08	3.1891e+09 	4.07068e+10	4.33853e+09
15 	2.87333e+08	3.20869e+09	5.26644e+10	5.15284e+09
16 	2.12493e+08	3.11962e+09	5.63054e+10	5.32621e+09
17 	2.12493e+08	3.26269e+09	5.15841e+10	5.08743e+09
18 	2.12493e+08	2.82385e+09	3.19101e+10	3.72085e+09
19 	2.12493e+08	2.99447e+09	4.42322e+10	4.52885e+09
20 	2.12493e+08	2.82422e+09	3.39656e+10	3.88972e+09
21 	2.12493e+08	2.68446e+09	5.05308e+10	3.93723e+09
22 	2.12493e+08	2.56433e+09	6.97324e+10	4.25514e+09
23 	2.12493e+08	2.44891e+09	3.21319e+10	2.88602e+09
24 	2.12493e+08	2.34084e+09	2.7668e+10 	2.94373e+09
25 	2.12493e+08	2.52329e+09	6.15564e+10	4.33109e+09
26 	2.12493e+08	2.30043e+09	2.70848e+10	2.72621e+09
27 	2.12493e+08	2.21274e+09	2.70848e+10	2.54814e+09
28 	2.12493e+08	2.37772e+09	4.97676e+10	4.22305e+09
29 	2.12493e+08	2.45771e+09	4.97676e+10	3.95316e+09
30 	2.09059e+08	2.50018e+09	4.78397e+10	4.26807e+09
31 	2.09059e+08	2.27142e+09	3.30227e+10	3.25712e+09
32 	2.09059e+08	2.08694e+09	1.9598e+10 	2.32794e+09
33 	2.09059e+08	2.22942e+09	4.70686e+10	3.6681e+09 
34 	2.09059e+08	2.30697e+09	4.30955e+10	3.98686e+09
35 	2.09059e+08	2.21154e+09	4.26849e+10	3.19001e+09
36 	2.09059e+08	2.10022e+09	2.52215e+10	2.85452e+09
37 	1.69695e+08	2.00217e+09	3.95375e+10	2.78588e+09
38 	1.69695e+08	1.81809e+09	1.99e+10   	2.06565e+09
39 	1.69695e+08	1.74394e+09	2.41891e+10	2.19155e+09
40 	1.69695e+08	1.82092e+09	2.46222e+10	2.44686e+09
41 	1.69695e+08	1.55269e+09	1.21657e+10	1.34103e+09
42 	1.69695e+08	1.59513e+09	1.83213e+10	1.62125e+09
43 	1.69695e+08	1.61325e+09	1.30627e+10	1.63518e+09
44 	1.69695e+08	1.66286e+09	1.96051e+10	2.06662e+09
45 	1.69695e+08	1.60705e+09	1.5765e+10 	1.83456e+09
46 	1.69695e+08	1.51415e+09	1.61762e+10	1.52916e+09
47 	1.69695e+08	1.61193e+09	3.19191e+10	2.21376e+09
48 	1.69695e+08	1.62663e+09	3.9169e+10 	2.70541e+09
49 	1.69695e+08	1.46829e+09	1.23452e+10	1.552e+09  
50 	1.63973e+08	1.45658e+09	1.05334e+10	1.50859e+09
51 	1.63973e+08	1.37847e+09	1.17799e+10	1.43004e+09
52 	1.63973e+08	1.31663e+09	1.16991e+10	1.21664e+09
53 	1.63973e+08	1.25021e+09	8.31236e+09	1.01038e+09
54 	1.63973e+08	1.32379e+09	1.48702e+10	1.3995e+09 
55 	1.63973e+08	1.26089e+09	8.24655e+09	1.16477e+09
56 	1.63973e+08	1.21413e+09	9.06695e+09	1.13746e+09
57 	1.63973e+08	1.1957e+09 	8.08303e+09	1.06746e+09
58 	1.63973e+08	1.17295e+09	8.19147e+09	1.08489e+09
59 	1.63973e+08	1.17018e+09	8.95504e+09	9.97292e+08
60 	1.63973e+08	1.18439e+09	8.95504e+09	1.09015e+09
61 	1.63973e+08	1.09417e+09	7.2282e+09 	8.86939e+08
62 	1.63973e+08	1.15644e+09	1.32606e+10	1.10568e+09
63 	1.47902e+08	1.12904e+09	8.21869e+09	1.09808e+09
64 	1.43148e+08	1.14965e+09	1.52676e+10	1.23909e+09
65 	1.43148e+08	1.07731e+09	8.05171e+09	9.19524e+08
66 	1.26144e+08	1.05762e+09	8.05171e+09	9.36155e+08
67 	1.26144e+08	1.04615e+09	1.10619e+10	1.00463e+09
68 	1.26144e+08	1.01027e+09	7.10053e+09	8.6553e+08 
69 	1.26144e+08	1.00015e+09	6.77165e+09	8.14601e+08
70 	1.26144e+08	9.88681e+08	6.71098e+09	8.16458e+08
71 	1.26144e+08	9.63736e+08	7.384e+09  	8.2413e+08 
72 	1.26144e+08	9.41093e+08	4.90217e+09	7.35998e+08
73 	1.26144e+08	9.53748e+08	5.3313e+09 	7.68305e+08
74 	1.26144e+08	9.388e+08  	6.34243e+09	7.75407e+08
75 	1.26144e+08	9.10945e+08	7.38151e+09	7.41848e+08
76 	1.26144e+08	9.11543e+08	1.51492e+10	9.83735e+08
77 	1.26144e+08	9.27435e+08	9.44796e+09	8.91001e+08
78 	1.26144e+08	9.05401e+08	6.84698e+09	8.13054e+08
79 	1.26144e+08	8.97206e+08	7.27283e+09	8.31893e+08
80 	1.26144e+08	8.74623e+08	9.25473e+09	8.45577e+08
81 	1.07022e+08	8.77357e+08	6.64106e+09	7.65612e+08
82 	1.07022e+08	8.71904e+08	7.21552e+09	7.87817e+08
83 	1.07022e+08	8.24513e+08	6.03979e+09	6.80331e+08
84 	1.07022e+08	7.80625e+08	6.03979e+09	5.83749e+08
85 	1.07022e+08	7.94003e+08	7.78547e+09	6.9036e+08 
86 	1.07022e+08	7.93747e+08	6.89086e+09	6.85673e+08
87 	1.07022e+08	7.74311e+08	6.17298e+09	6.11879e+08
88 	1.07022e+08	7.9574e+08 	9.39403e+09	7.47666e+08
89 	1.07022e+08	7.68287e+08	5.43234e+09	6.29112e+08
90 	1.07022e+08	7.2538e+08 	3.48199e+09	5.22497e+08
91 	1.07022e+08	7.1872e+08 	3.38965e+09	5.05348e+08
92 	1.07022e+08	7.06278e+08	4.65749e+09	5.04905e+08
93 	1.07022e+08	7.10884e+08	3.26663e+09	5.10977e+08
94 	1.07022e+08	6.92333e+08	4.40754e+09	5.04595e+08
