gen	min        	avg        	max        	std        
0  	3.82214e+08	5.50662e+09	8.22451e+10	9.40957e+09
1  	3.82214e+08	5.34879e+09	7.52188e+10	9.05396e+09
2  	3.47463e+08	4.98979e+09	7.07898e+10	8.06047e+09
3  	3.47463e+08	5.07212e+09	8.07612e+10	9.14439e+09
4  	3.47463e+08	5.20714e+09	1.35853e+11	1.10751e+10
5  	3.33495e+08	5.18236e+09	1.21764e+11	1.05292e+10
6  	3.33495e+08	4.51135e+09	5.98159e+10	7.23106e+09
7  	3.14507e+08	4.82296e+09	8.00414e+10	8.29476e+09
8  	3.14507e+08	5.02376e+09	9.41414e+10	9.08763e+09
9  	3.14507e+08	4.85572e+09	1.0902e+11 	9.70675e+09
10 	3.14507e+08	4.20631e+09	7.54236e+10	7.01474e+09
11 	3.14507e+08	4.14198e+09	7.95017e+10	6.87891e+09
12 	3.14507e+08	3.46243e+09	3.35534e+10	4.13173e+09
13 	3.14507e+08	3.48974e+09	5.87316e+10	4.96893e+09
14 	3.14507e+08	3.51803e+09	1.72906e+11	8.82212e+09
15 	3.14507e+08	3.43823e+09	5.78586e+10	5.18174e+09
16 	3.14507e+08	3.13994e+09	3.33299e+10	3.97926e+09
17 	3.14507e+08	3.61844e+09	1.91439e+11	1.00039e+10
18 	3.0778e+08 	3.00755e+09	3.5735e+10 	3.77935e+09
19 	2.5229e+08 	2.92689e+09	2.66133e+10	3.47979e+09
20 	2.5229e+08 	2.92901e+09	4.56398e+10	4.0614e+09 
21 	2.5229e+08 	2.66435e+09	5.43735e+10	3.90799e+09
22 	2.5229e+08 	2.43355e+09	3.20824e+10	2.71807e+09
23 	2.5229e+08 	2.4562e+09 	2.30268e+10	2.82804e+09
24 	2.28714e+08	2.59302e+09	5.96059e+10	3.91182e+09
25 	2.28714e+08	2.47275e+09	2.7285e+10 	2.77431e+09
26 	2.28714e+08	2.59598e+09	4.62343e+10	3.72312e+09
27 	2.28714e+08	2.61785e+09	4.78639e+10	3.79826e+09
28 	2.28714e+08	2.41183e+09	2.05138e+10	2.90286e+09
29 	2.28714e+08	2.41679e+09	2.49937e+10	2.9632e+09 
30 	2.28714e+08	2.46271e+09	3.29369e+10	3.51481e+09
31 	2.28714e+08	2.35993e+09	4.16672e+10	3.35891e+09
32 	2.28714e+08	2.36115e+09	5.49509e+10	4.12777e+09
33 	2.28714e+08	2.10026e+09	1.89063e+10	2.27763e+09
34 	2.1261e+08 	2.26408e+09	3.94157e+10	3.37557e+09
35 	2.1261e+08 	2.20429e+09	3.94157e+10	3.07446e+09
36 	2.1261e+08 	2.0202e+09 	2.57485e+10	2.40986e+09
37 	2.1261e+08 	2.02757e+09	4.71666e+10	3.03242e+09
38 	2.1261e+08 	1.73587e+09	2.15861e+10	1.7465e+09 
39 	2.1261e+08 	1.92847e+09	4.07454e+10	3.17763e+09
40 	2.1261e+08 	1.85413e+09	1.84731e+10	2.18561e+09
41 	2.1261e+08 	1.79028e+09	1.26532e+10	1.77713e+09
42 	2.1261e+08 	1.92591e+09	2.39151e+10	2.44429e+09
43 	2.04681e+08	1.83857e+09	3.73933e+10	2.48284e+09
44 	2.04681e+08	1.80295e+09	2.7737e+10 	2.38883e+09
45 	2.04681e+08	1.66735e+09	3.57553e+10	2.32066e+09
46 	2.04681e+08	1.74446e+09	3.62267e+10	2.62438e+09
47 	2.04681e+08	1.54669e+09	1.77533e+10	1.80001e+09
48 	2.04681e+08	1.48863e+09	1.82236e+10	1.55225e+09
49 	2.04681e+08	1.50056e+09	1.21988e+10	1.49735e+09
50 	2.04681e+08	1.53126e+09	1.14058e+10	1.54508e+09
51 	2.04681e+08	1.4804e+09 	1.64933e+10	1.61796e+09
52 	2.04681e+08	1.43425e+09	1.46221e+10	1.4992e+09 
53 	1.915e+08  	1.45178e+09	1.89352e+10	1.69435e+09
54 	1.35762e+08	1.4279e+09 	1.19519e+10	1.3857e+09 
55 	1.35762e+08	1.43453e+09	1.33547e+10	1.62216e+09
56 	1.35762e+08	1.4108e+09 	1.43826e+10	1.60794e+09
57 	1.35762e+08	1.43741e+09	1.53652e+10	1.75351e+09
58 	1.35762e+08	1.30116e+09	2.0175e+10 	1.47697e+09
59 	1.35762e+08	1.24789e+09	1.24205e+10	1.31966e+09
60 	1.35762e+08	1.23318e+09	1.29577e+10	1.16157e+09
61 	1.35762e+08	1.22602e+09	1.25496e+10	1.23821e+09
62 	1.35762e+08	1.18532e+09	6.52739e+09	1.002e+09  
63 	1.35762e+08	1.20568e+09	8.66149e+09	1.0883e+09 
64 	1.35762e+08	1.22842e+09	9.02351e+09	1.11681e+09
65 	1.35762e+08	1.21604e+09	1.02276e+10	1.22965e+09
66 	1.35762e+08	1.13594e+09	9.87632e+09	1.10177e+09
67 	1.29174e+08	1.15241e+09	1.06589e+10	1.22458e+09
68 	1.29174e+08	1.11297e+09	1.21322e+10	1.1151e+09 
69 	1.29174e+08	1.04726e+09	6.67061e+09	8.77543e+08
70 	1.29174e+08	1.00699e+09	5.41231e+09	7.995e+08  
71 	1.29174e+08	1.00322e+09	8.97995e+09	9.19234e+08
72 	1.29174e+08	1.00267e+09	7.73794e+09	9.20312e+08
73 	1.29174e+08	9.51077e+08	7.06691e+09	8.37681e+08
74 	1.29174e+08	9.77273e+08	6.41602e+09	8.49778e+08
75 	1.29174e+08	9.46246e+08	6.99521e+09	7.62997e+08
76 	1.29174e+08	9.30245e+08	9.13468e+09	8.2634e+08 
77 	1.29174e+08	9.52171e+08	5.53241e+09	8.02731e+08
78 	1.29174e+08	8.98572e+08	4.76425e+09	6.86294e+08
79 	1.29174e+08	8.96286e+08	5.75673e+09	7.32755e+08
80 	1.29174e+08	8.69085e+08	7.67783e+09	7.33014e+08
81 	1.29174e+08	8.83703e+08	6.61666e+09	7.3605e+08 
82 	1.11687e+08	8.71015e+08	8.00067e+09	7.24322e+08
83 	1.11687e+08	8.67064e+08	7.71419e+09	7.18391e+08
84 	1.11687e+08	8.4595e+08 	5.53713e+09	6.58004e+08
85 	1.11687e+08	7.96738e+08	4.40865e+09	5.35924e+08
86 	1.11687e+08	8.09267e+08	3.7842e+09 	5.55796e+08
87 	1.11687e+08	8.20077e+08	7.18741e+09	6.66397e+08
88 	1.11687e+08	8.04212e+08	1.01646e+10	7.00457e+08
89 	1.11687e+08	8.32426e+08	9.1267e+09 	7.7092e+08 
90 	1.11687e+08	8.27888e+08	7.12634e+09	7.73608e+08
91 	1.11687e+08	7.84796e+08	5.0414e+09 	6.07273e+08
92 	1.11687e+08	7.42205e+08	3.84307e+09	5.35473e+08
93 	1.11687e+08	7.81303e+08	1.46874e+10	9.87895e+08
94 	1.11687e+08	7.28865e+08	3.80325e+09	5.2874e+08 
95 	1.11687e+08	7.11631e+08	4.27526e+09	5.10992e+08
96 	1.11687e+08	7.21487e+08	4.03403e+09	5.48572e+08
97 	1.11687e+08	7.06224e+08	5.85885e+09	5.44151e+08
98 	1.11687e+08	7.1649e+08 	4.51912e+09	5.64592e+08
99 	1.11687e+08	6.99038e+08	3.96865e+09	5.06054e+08
100	1.11687e+08	7.07509e+08	4.59469e+09	5.39454e+08
101	1.11687e+08	6.77383e+08	4.09654e+09	4.76751e+08
