gen	min   	avg    	max    	std   
0  	3185.1	4628.85	6259.99	513.12
1  	3185.1	4601.32	6146.23	522.285
2  	3027.79	4588.14	5891.77	509.477
3  	3027.79	4562.04	5859.34	464.261
4  	3027.79	4555.26	5964.67	472.855
5  	3027.79	4537.1 	5873.85	483.057
6  	3024.33	4521.1 	5871.6 	488.851
7  	3024.33	4509.7 	5975.72	482.854
8  	3001.34	4485.15	5854.71	498.772
9  	2817.95	4477.18	5670.37	486.521
10 	2817.95	4452.19	5723.4 	470.789
11 	2817.95	4444.63	5698.04	464.129
12 	2817.95	4413.59	5713.48	483.671
13 	2817.95	4395.63	5571.36	484.681
14 	2817.95	4371.43	5765.96	490.922
15 	2817.95	4339.52	5621.55	491.944
16 	2817.95	4325.84	5638.98	485.961
17 	2817.95	4325.96	5719.63	469.919
18 	2817.95	4307.67	5490.38	472.418
19 	2817.95	4289.13	5490.38	472.575
20 	2696.13	4272.67	5540.86	494.941
21 	2677.63	4255.31	5715.68	516.562
22 	2677.63	4244.55	5650.93	488.979
23 	2677.63	4229.98	5497.08	496.531
24 	2677.63	4209.9 	5507.36	473.786
25 	2435.59	4192.28	5582.71	491.41 
26 	2435.59	4166.78	5495.85	487.6  
27 	2435.59	4156.07	5356.15	481.813
28 	2362.66	4140.33	5502.31	494.991
29 	2362.66	4123.21	5447.18	476.883
30 	2362.66	4113.95	5439.34	475.165
31 	2362.66	4099.98	5410.19	481.028
32 	2362.66	4078.55	5344.44	474.578
33 	2056.31	4063.53	5595.72	489.568
34 	2056.31	4042.96	5202.2 	488.741
35 	2056.31	4039.4 	5218.74	482.199
36 	2056.31	4027.32	5181.57	457.821
37 	2056.31	4014.03	5079.77	448.888
38 	2056.31	4002.63	5391.48	470.983
39 	2056.31	3988.47	5299.79	463.307
40 	2056.31	3967.65	5251.74	473.478
41 	2056.31	3950.5 	5184.77	455.592
42 	2033.77	3932.31	5181.25	460.523
43 	2033.77	3927.55	5150.7 	449.238
44 	2033.77	3911.59	5076.92	435.304
45 	2033.77	3895.54	5028.69	436.259
46 	2033.77	3884.67	5244.75	453.418
47 	2033.77	3873.17	5136.29	446.908
48 	2033.77	3858.44	5081.45	465.974
49 	2033.77	3847.33	5274.76	461.946
50 	2033.77	3828.96	5036.72	452.062
51 	2033.77	3820.79	5006.62	445.818
52 	2033.77	3814.13	4818.25	438.58 
53 	2033.77	3802.94	4910.52	440.203
54 	2033.77	3790.63	4835.15	425.782
55 	2033.77	3779.22	4948.05	425.476
56 	2033.77	3768.37	4986.98	418.879
57 	2033.77	3759.54	4932.05	429.467
58 	2033.77	3755.26	5022.04	432.193
59 	2033.77	3740.53	4814.32	431.325
60 	2033.77	3730.66	4859.08	435.894
61 	2033.77	3703.07	4902.65	433.053
62 	2033.77	3697.26	4913.12	422.156
63 	2033.77	3683.63	4907.18	414.225
64 	2033.77	3675.3 	4717.46	420.683
65 	2033.77	3662.69	4654.32	400.987
66 	2033.77	3647.37	4642.14	408.362
67 	2033.77	3639.86	4712.76	412.802
68 	2033.77	3636.13	4697.62	406.538
69 	2033.77	3626.09	4823.52	393.251
70 	2024.44	3613.04	4597.42	400.362
71 	2024.44	3595.46	4628.07	391.624
72 	2024.44	3579.91	4731.36	410.938
73 	2024.44	3566.9 	4726.49	424.534
74 	2007.4 	3554.76	4694.06	424.812
75 	2007.4 	3550.8 	4696.74	418.212
76 	1858.28	3542.75	4760.57	414.172
77 	1858.28	3531.95	4698.17	417.77 
78 	1858.28	3510.24	4525.58	413.149
79 	1858.28	3503.65	4550.97	415.572
80 	1858.28	3495.34	4564.91	414.058
81 	1858.28	3482.34	4480.38	404.107
82 	1858.28	3473.23	4454.68	398.595
83 	1858.28	3462.17	4464.95	398.795
84 	1858.28	3456.01	4494.76	396.606
85 	1858.28	3442.45	4393.18	376.536
86 	1858.28	3434.24	4399.08	384.685
87 	1858.28	3424.62	4447.25	399.287
88 	1858.28	3418.49	4480.03	392.54 
89 	1858.28	3416.31	4504.2 	375.031
90 	1858.28	3402.85	4494.94	383.345
91 	1858.28	3394.79	4434.67	375.658
92 	1858.28	3388.99	4372.49	365.951
93 	1858.28	3379.48	4292.66	356.979
94 	1858.28	3370.67	4309.48	352.569
95 	1858.28	3368.86	4200.53	350.75 
96 	1858.28	3359.09	4325.64	363.99 
97 	1849.98	3350.25	4373   	358.882
98 	1849.98	3337.59	4302.53	359.524
99 	1849.98	3335.2 	4253.45	354.352
100	1849.98	3324.91	4227.92	361.603
101	1849.98	3315.2 	4353.59	358.761
102	1849.98	3304.89	4288.52	348.221
103	1849.98	3292.95	4367.64	342.062
104	1849.98	3283.37	4223.97	341.2  
105	1849.98	3280   	4141.04	336.828
106	1849.98	3273.89	4214.48	330.018
107	1849.98	3264.72	4141.04	324.041
108	1849.98	3257.03	4162.35	327.016
109	1849.98	3239.05	4150.82	345.738
110	1849.8 	3232.97	4244.22	330.905
111	1849.8 	3230.04	4191.52	332.704
112	1849.8 	3224.32	4144.83	345.085
113	1849.8 	3221.52	4239.8 	342.558
114	1849.8 	3210.58	4139.08	338.876
115	1849.8 	3201.17	4056.3 	331.671
116	1849.8 	3199.74	4240.84	337.509
117	1849.8 	3188.54	4166.42	348.365
118	1849.8 	3181.75	4099.02	337.268
119	1849.8 	3175.16	4090.23	333.849
120	1849.8 	3164.04	4054.86	331.121
121	1849.8 	3161.2 	4141.76	337.813
122	1849.8 	3156.91	4162.75	343.388
123	1849.8 	3152.13	4003.13	331.433
124	1849.8 	3152.24	4010.29	317.459
125	1849.8 	3149.88	4021.97	329.708
126	1849.8 	3143.43	4073.2 	314.911
127	1849.8 	3132.52	4052.19	324.74 
128	1849.8 	3126.57	3980.19	324.301
129	1849.8 	3115.66	3979.87	300.949
130	1849.8 	3111.81	4045.17	308.62 
131	1849.8 	3108.05	4027.61	309.167
132	1849.8 	3099.8 	3859.84	298.566
133	1849.8 	3099.15	3850.35	304.303
134	1849.8 	3096.16	3904.16	313.867
135	1849.8 	3090.5 	4034.62	314.806
136	1849.8 	3081.23	3975.48	312.361
137	1849.8 	3074.63	3964.9 	312.514
138	1840.84	3069.53	3970.93	302.816
139	1840.84	3068.45	3919.16	305.447
140	1840.84	3061.79	3920.03	297.244
141	1840.84	3050.84	3838.82	297.195
142	1840.84	3045.46	3843.26	281.367
143	1840.84	3043.3 	3779.43	286.399
144	1840.84	3034.62	3874.32	300.088
145	1840.84	3029.79	3793.27	298.552
146	1840.84	3023.29	3755.94	282.305
147	1840.84	3019.15	3719.08	284.62 
148	1840.84	3012.55	3836.37	292.566
149	1840.84	3010.57	3709.95	287.224
150	1840.84	3007.7 	3831.22	286.061
151	1840.84	3004.37	3896.73	286.591
152	1840.84	2999.1 	3764.07	285.301
153	1840.84	2997.77	3849.93	281.982
154	1840.84	2995.13	3854   	286.923
155	1840.84	2989.68	3686.74	266.64 
156	1840.84	2984.7 	3806.23	268.959
157	1840.84	2983.12	3738.97	264.455
158	1840.84	2976.28	3587.62	270.602
159	1840.84	2975.15	3669.25	266.399
160	1840.84	2969.32	3671.25	257.456
161	1840.84	2963.26	3678.83	264.054
162	1840.84	2958.76	3634.5 	256.184
163	1840.84	2952.78	3608.78	263.436
164	1840.84	2947.76	3600.2 	265.367
165	1840.84	2947.63	3662.01	263.063
166	1840.84	2944.75	3660.35	252.388
167	1840.84	2938.97	3627.01	252.539
168	1840.84	2939.28	3703.15	256.072
169	1840.84	2936.66	3666.28	253.595
170	1840.84	2932.81	3617.29	260.385
171	1840.84	2927.71	3703.32	264.758
172	1840.84	2927.1 	3731.92	251.181
173	1840.84	2924.65	3665.84	262.635
174	1840.84	2921.19	3613.46	255.251
175	1840.07	2916.43	3547.85	255.828
176	1821.44	2909.51	3587.08	260.677
177	1821.44	2905.61	3571.1 	255.731
178	1821.44	2902.12	3590.47	248.034
179	1821.44	2899.1 	3566.78	245.275
180	1821.44	2894.71	3555.97	247.11 
181	1821.44	2893.21	3537.23	246.348
182	1821.44	2889.25	3537.23	249.64 
183	1821.44	2887.05	3515.74	250.659
184	1821.44	2887.15	3545.76	241.152
185	1821.44	2886.21	3488.15	232.744
186	1821.44	2884.06	3484.11	240.336
187	1821.44	2880.41	3465.42	234.786
188	1821.44	2879.77	3460.35	236.209
