gen	min   	avg    	max    	std    
0  	2696.5	4600.95	5976.61	493.304
1  	2696.5	4585.15	5860.47	495.966
2  	2696.5	4557.05	5852.4 	522.64 
3  	2696.5	4531.94	5851.17	502.308
4  	2696.5	4514.81	5986.24	502.936
5  	2696.5	4495.05	5701.45	498.243
6  	2696.5	4472.02	5607.01	479.316
7  	2696.5	4465.61	5684.33	484.552
8  	2696.5	4430.89	5734.97	497.928
9  	2696.5	4420.64	5696.65	497.149
10 	2696.5	4408.77	5747.83	503.034
11 	2696.5	4397.75	5510.73	464.065
12 	2696.5	4371.55	5639.1 	480.427
13 	2696.5	4354.15	5920.45	479.013
14 	2696.5	4343.11	5749.6 	488.871
15 	2696.5	4319.93	5702.16	479.38 
16 	2610.84	4305.75	5453.1 	476.037
17 	2610.84	4284.39	5503.72	469.74 
18 	2610.84	4265.8 	5457.2 	479.642
19 	2610.84	4252.93	5443.75	467.574
20 	2610.84	4249.34	5668.32	478.359
21 	2610.84	4225.77	5583.06	481.699
22 	2610.84	4214.04	5605.92	475.087
23 	2610.84	4199.83	5564.15	482.222
24 	2610.84	4177.09	5396.6 	473.672
25 	2610.84	4161.3 	5298.18	463.979
26 	2610.84	4152.11	5503.17	475.558
27 	2610.84	4136.01	5483.7 	476.8  
28 	2610.84	4119.78	5292.05	481.167
29 	2610.84	4102.29	5307.21	476.36 
30 	2610.84	4087.97	5300.32	464.312
31 	2493.57	4068.82	5337.53	464.527
32 	2461.26	4065.33	5381.33	469.594
33 	2461.26	4053.79	5385.81	465.68 
34 	2461.26	4031.51	5353.72	467.326
35 	2461.26	4014.15	5195.41	473.389
36 	2461.26	3999.62	5428.63	486.795
37 	2461.26	3993.83	5423.87	476.515
38 	2461.26	3972.85	5401.77	481.509
39 	2461.26	3965.53	5288.65	474.506
40 	2461.26	3950.81	5224.72	468.697
41 	2461.26	3933.64	5177.09	451.642
42 	2461.26	3922.28	5228.93	458.07 
43 	2461.26	3923.13	5011.94	442.581
44 	2461.26	3906.57	5146.39	454.423
45 	2461.26	3898.76	5208.79	459.797
46 	2452.39	3891.08	5200.35	449.656
47 	2452.39	3878.24	4960.09	442.791
48 	2452.39	3853.29	5012.04	433.953
49 	2452.39	3846.14	5009.29	432.188
50 	2452.39	3833.92	5034.32	423.181
51 	2452.39	3811.74	4974.68	440.825
52 	2452.39	3800.35	5062.42	438.422
53 	2442.7 	3795.66	4972.21	432.879
54 	2442.7 	3779.5 	5220.62	420.1  
55 	2442.7 	3767.87	4975.83	423.184
56 	2409.5 	3756.06	4977.82	415.79 
57 	2409.5 	3742.25	4855.1 	422.927
58 	2409.5 	3731.1 	4787.59	405.048
59 	2409.5 	3719.61	4837.97	409.241
60 	2295.71	3696.25	4747.93	406.43 
61 	2295.71	3679.44	4750.12	412.651
62 	2107.46	3661.13	4897.18	422.663
