gen	min    	avg    	max 	std    
0  	3163.15	4593.86	5947	496.532
1  	3149.7 	4575.01	5917.24	492.855
2  	3144.34	4568.47	5908.39	487.226
3  	2940.86	4530.03	5807.85	486.469
4  	2940.86	4517.5 	5866.37	484.039
5  	2859.41	4501.74	5782.91	495.039
6  	2859.41	4485.15	5939.47	486.323
7  	2859.41	4471.47	5788.57	471.826
8  	2859.41	4451.03	5609.66	454.09 
9  	2859.41	4427.13	5577.27	462.334
10 	2859.41	4410.02	5670.76	461.325
11 	2859.41	4378.57	5670.42	459.72 
12 	2859.41	4362   	5660.9 	497.553
13 	2859.41	4356.24	5557.09	474.716
14 	2859.41	4336.8 	5550.99	455.809
15 	2859.41	4312.39	5529.7 	469.471
16 	2859.41	4297.32	5586.29	470.876
17 	2859.41	4289.1 	5478.25	464.263
18 	2859.41	4287.43	5438.18	467.747
19 	2859.41	4262.7 	5634.93	465.672
20 	2859.41	4243.4 	5621.21	470.873
21 	2859.41	4224.47	5556.81	464.231
22 	2760.29	4218.08	5526.52	478.951
23 	2760.29	4200.69	5538.47	468.509
24 	2760.29	4175.71	5538.47	474.883
25 	2737.65	4163.66	5666.48	470.673
26 	2737.65	4154.35	5517.53	468.031
27 	2737.65	4129.8 	5516.73	470.435
28 	2737.65	4117.1 	5306.76	447.293
29 	2737.65	4109.18	5311.53	459.244
30 	2737.65	4091.54	5341.18	464.232
31 	2697.2 	4074.97	5530.91	481.616
32 	2697.2 	4061.34	5324.3 	459.8  
33 	2697.2 	4047.34	5334.1 	463.125
34 	2533.94	4031.03	5470.52	472.691
35 	2533.94	4023.63	5237.64	447.073
36 	2533.94	4020.79	5002.35	442.381
37 	2339.65	4007.14	5214.93	449.088
38 	2339.65	3992.05	5241.62	452.398
39 	2288.78	3969.45	5308.67	437.785
40 	2283   	3962.39	5059.63	444.305
41 	2283   	3951.82	4938.26	424.231
42 	2283   	3944.48	5130.5 	449.801
43 	2283   	3927.89	5235.42	462.785
44 	2283   	3908.3 	5072.82	435.701
45 	2283   	3896.95	5210.33	435.55 
46 	2283   	3877.37	5138.47	452.968
47 	2283   	3862.41	4970.44	452.784
48 	2283   	3852.69	5159.04	440.219
49 	2283   	3829.75	4993.46	446.602
50 	2283   	3822.81	4900.1 	434.855
51 	2261.21	3810.52	5038.1 	439.294
52 	2261.21	3801.34	4971.49	432.764
53 	2261.21	3785.61	4905.59	420.786
54 	2261.21	3776.71	4891.92	420.33 
55 	2261.21	3759.5 	4755.02	426.163
56 	2261.21	3744.86	4899.58	431.048
57 	2261.21	3743.61	4955.72	433.365
58 	2261.21	3731.73	5129.36	429.932
59 	2261.21	3709.55	5190.04	440.674
60 	2214.82	3689.23	4941.34	430.971
61 	2212.31	3671.5 	4818.86	418.527
62 	2212.31	3664.55	4805.04	417.035
63 	2186.65	3652.02	4921.2 	417.932
64 	2186.65	3638.87	4748.19	403.182
65 	2186.65	3632.16	4768.69	408.227
66 	2186.65	3624.14	4653.04	411.852
67 	2186.65	3616.25	4653.72	416.027
68 	2186.65	3597.75	4706.57	410.496
69 	2186.65	3591.79	4706.57	414.256
70 	2186.65	3576.38	4581.86	419.946
71 	2186.65	3572.94	4646.32	416.507
72 	2186.65	3566.93	4552.99	398.033
73 	2186.65	3556.64	4585.26	398.886
74 	2186.65	3546.33	4509.35	401.643
75 	2186.65	3535.23	4529.97	405.504
76 	2186.65	3526.76	4536.59	374.656
77 	2186.65	3524.52	4468.2 	374.665
78 	2186.65	3509.73	4541.5 	384.002
79 	2186.65	3500.53	4582.32	396.212
80 	2186.65	3491.72	4719.86	385.037
81 	2186.65	3480.94	4731.58	390.936
82 	2186.65	3473.65	4509.58	392.521
83 	2186.65	3462.44	4359.01	374.956
84 	2186.65	3455.49	4421.77	376.76 
85 	2110.48	3445.63	4402.18	375.653
86 	2110.48	3436.33	4444.8 	390.615
87 	2110.48	3425.83	4443.26	376.088
88 	2110.48	3420.01	4472.62	375.553
89 	2110.48	3405.96	4416.58	365.883
90 	2110.48	3398.74	4402.27	364.761
91 	2110.48	3388.45	4409.34	369.507
92 	2110.48	3376.91	4387.69	367.823
93 	2110.48	3369.67	4610.18	374.63 
94 	2110.48	3363.39	4616.33	376.617
95 	2110.48	3356.34	4362.4 	345.914
96 	2110.48	3353.62	4297.49	346.5  
97 	2110.48	3346.85	4336.71	347.295
98 	2110.48	3337.78	4271.54	347.99 
99 	2110.48	3334.4 	4271.54	338.822
100	2106.34	3320.76	4271.74	346.213
101	2088.34	3307.64	4094.45	332.584
102	2088.34	3304.21	4118.84	342.06 
103	2088.34	3295.17	4135.32	340.37 
104	2088.34	3287.7 	4276.84	346.299
105	2088.34	3278.3 	4347.11	344.506
106	2088.34	3271.55	4196.91	339.288
107	2088.34	3259.11	4143.13	341.103
108	2088.34	3249.83	4077.37	326.585
109	2088.34	3248.07	4042.02	325.922
110	2088.34	3241.37	4213.58	316.085
111	2088.34	3229.59	4079.38	321.861
112	2088.34	3227.91	4022.16	321.147
113	2088.34	3218.91	4026.15	335.316
114	2088.34	3212.58	4031.93	331.673
115	2088.34	3201.79	4306.92	337.787
116	2086.15	3199.77	4192.19	330.162
117	2086.15	3196.58	4190.71	329.974
118	2086.15	3185.8 	4128.41	332.326
119	2086.15	3182.97	4209.3 	330.712
120	2086.15	3175.9 	4066.75	322.856
121	2061.98	3169.07	4066.75	330    
122	2061.98	3162.68	4034.16	322.046
123	2061.98	3156.66	4034.16	311.208
124	2061.98	3148.4 	3932.36	317.666
125	2061.98	3148.63	3935.39	315.106
126	2018.94	3143.49	3885.94	311.312
127	2018.94	3143.17	3942.88	299.845
128	2018.94	3137.54	4024.38	298.164
129	2018.94	3132.73	3929.6 	297.393
130	2018.94	3122.63	3945.95	291.097
131	2018.94	3116.94	4005.56	301.589
132	2018.94	3111.39	3886.32	297.491
133	2018.94	3107.56	3948.71	295.001
134	2018.94	3106.58	4044.92	296.636
135	2018.94	3103.05	3945   	315.047
136	2018.94	3096.66	4037.68	311.508
137	2018.94	3095.01	3869.08	307.122
138	2018.94	3088.79	3831.49	295.247
139	2018.94	3084.36	3864.9 	292.462
140	2018.94	3074.23	3915.02	288.654
141	2018.94	3067.59	3885.66	289.087
142	2018.94	3060.54	3900.93	297.195
143	2018.94	3059.72	3840.87	298.223
144	2018.94	3055.68	3928.54	298.765
145	2018.94	3051.51	3965.32	297.044
146	2018.94	3048.43	3867.1 	296.371
147	2018.94	3043.97	3786.79	283.818
148	2018.94	3041.66	3794.37	281.007
149	2018.94	3038.92	3871.21	280.664
150	2018.94	3036.02	3845.8 	289.534
151	2018.94	3033.68	3845.8 	285.493
152	2018.94	3029.63	3827.09	281.124
153	2018.94	3026.13	3753.83	281.773
154	1977.75	3023.93	3696.01	288.885
155	1977.75	3015.31	3764.87	285.629
156	1931.39	3009.28	3681.42	275.961
