gen	min    	avg    	max    	std  
0  	2808.37	4600.37	6102.77	498.7
1  	2808.37	4589.43	6081.38	489.965
2  	2808.37	4551.83	5775.16	500.167
3  	2808.37	4532.74	5789.79	509.097
4  	2808.37	4517.98	5824.44	502.672
5  	2808.37	4507.84	5725.78	509.503
6  	2808.37	4475.96	5654.1 	514.017
7  	2799.17	4469.44	5658.64	518.132
8  	2799.17	4443.81	5663.26	515.168
9  	2799.17	4413.4 	5737.65	486.892
10 	2799.17	4398.79	5584.32	486.82 
11 	2799.17	4378.77	5640.41	492.815
12 	2799.17	4367.87	5547.83	473.595
13 	2799.17	4352.26	5489.99	461.59 
14 	2799.17	4328.5 	5709.12	462.284
15 	2799.17	4319.55	5725.54	480.695
16 	2621.19	4315.92	5661   	491.979
17 	2552.89	4298.2 	5728.77	474.358
18 	2552.89	4279.54	5488.29	479.049
19 	2552.89	4264.55	5664.37	470.864
20 	2552.89	4261.93	5538.39	485.205
21 	2552.89	4234.9 	5507.32	479.56 
22 	2552.89	4206.6 	5557.49	497.801
23 	2552.89	4201.89	5389.23	473.16 
24 	2552.89	4177.87	5562.99	466.534
25 	2540.96	4158.5 	5173.56	467.738
26 	2540.96	4141.13	5325.09	465.927
27 	2540.96	4127.15	5308.1 	477.616
28 	2418.93	4122.62	5329.02	469.919
29 	2418.93	4109.18	5491.28	463.308
30 	2418.93	4090.39	5365.19	463.714
31 	2418.93	4076.93	5446.08	457.765
32 	2413.89	4055.7 	5266.89	446.068
33 	2280.85	4047.49	5273.14	470.242
34 	2280.85	4028.95	5402.1 	469.397
35 	2280.85	4019.65	5229.36	469.684
36 	2262.73	4000.87	5345.72	470.011
37 	2262.73	3985.86	5173.21	466.348
38 	2262.73	3980.35	5263.14	458.837
39 	2262.73	3967.77	5269.69	453.841
40 	2262.73	3955.8 	5151.21	456.208
41 	2262.73	3941.32	4968.64	454.726
42 	2262.73	3923.17	5003.63	449.327
43 	2224.54	3917.52	4960.75	453.126
44 	2224.54	3910.9 	5134.41	450.734
45 	2179.87	3901.13	5201.23	456.859
46 	2179.87	3892.6 	5027.93	451.07 
47 	2148.19	3882.71	5175.8 	447.533
48 	2148.19	3866.39	5052.08	449.581
49 	2148.19	3847.59	5041.28	436.819
50 	2148.19	3830.12	5042.86	446.662
51 	2148.19	3816.17	5120.01	446.637
52 	2148.19	3798.31	5088.68	450.447
53 	2148.19	3782.96	4853.39	440.76 
54 	2148.19	3771.04	4943.14	426.254
55 	2148.19	3766.22	4816.89	421.527
56 	2148.19	3754.43	4823.31	422.972
57 	2148.19	3749.17	4736.11	420.675
58 	2148.19	3733.66	4936.82	428.826
59 	2148.19	3721.4 	4726.13	426.17 
60 	2148.19	3714.24	4701.38	430.506
61 	2148.19	3697.79	4772.27	443.989
62 	2148.19	3689.34	4859.32	429.971
63 	2148.19	3672.89	4739.12	427.173
64 	2148.19	3654.06	4774.31	442.603
65 	2148.19	3643.61	4775.4 	440.616
66 	2148.19	3634.35	4864.97	434.86 
67 	2148.19	3633.4 	4749.04	422.872
68 	2147.29	3617.65	4714.7 	434.939
69 	2147.29	3608.67	4698.06	415.687
70 	2147.29	3590.48	4698.06	407.563
71 	2147.29	3580.36	4671.43	408.32 
72 	2147.29	3565.53	4737.31	422.444
73 	2147.29	3554.77	4696.2 	408.13 
74 	2147.29	3545.91	4579.39	412.083
75 	2147.29	3543.24	4555.12	405.667
76 	2066.88	3528.73	4609.8 	414.729
77 	2066.88	3516.63	4516.21	411.105
78 	2066.88	3513.77	4531.17	400.625
79 	2066.88	3496.5 	4523.21	405.536
80 	2066.88	3489.95	4691.32	389.14 
81 	2066.88	3485.72	4619.91	390.753
82 	2066.88	3469.55	4495.55	383.835
83 	2066.88	3468.3 	4543.92	385.807
84 	2066.88	3457.1 	4529.84	393.044
85 	2066.88	3447.35	4447.07	375.64 
86 	2066.88	3443.58	4470.94	364.298
87 	2066.88	3434.07	4416.71	360.898
88 	2066.88	3422.07	4455.03	381.523
89 	2066.88	3412.84	4531.41	382.613
90 	2066.88	3402.13	4394.51	385.41 
91 	2066.88	3394.93	4616.22	397.305
92 	2066.88	3385.22	4349.69	385.288
93 	2008.25	3384.22	4446.94	386.092
94 	1916.63	3375.39	4550.72	395.588
95 	1916.63	3365.7 	4442.59	384.038
96 	1916.63	3357.76	4465.51	383.011
97 	1916.63	3344.88	4472.13	379.804
98 	1916.63	3337.79	4429.91	374.2  
99 	1916.63	3331.39	4287.29	373.301
100	1916.63	3322.09	4278.26	359.982
101	1916.63	3314.53	4227.54	374.205
102	1916.63	3308.24	4361.28	362.229
103	1916.63	3290.06	4266.75	366.389
104	1916.63	3286.52	4352.7 	384.378
105	1916.63	3281.63	4238.99	370.797
106	1916.63	3273.48	4179.8 	375.413
107	1916.63	3264.52	4327.45	364.067
108	1916.63	3261.91	4302.07	359.233
109	1916.63	3250.19	4202.72	369.137
110	1916.63	3241.51	4242.11	347.778
111	1916.63	3230.77	4253.39	357.638
112	1916.63	3225.32	4140.89	344.153
113	1916.63	3223.5 	4418.61	346.835
114	1916.63	3216.74	4229.71	343.191
115	1893.26	3209.33	4301.78	350.584
116	1889.72	3195.37	4319.44	352.778
117	1889.72	3190.84	4216.41	346.944
118	1889.72	3179.33	4135.88	344.647
119	1889.72	3178.57	4127.94	345.696
120	1889.72	3170.6 	4253.72	345.155
121	1889.72	3169.15	4095.88	335.16 
122	1889.72	3163.52	4036.84	338.152
123	1889.72	3154.23	4147.13	336.049
124	1889.72	3147.3 	4097.78	338.705
125	1889.72	3140.7 	4122.9 	337.372
126	1889.72	3134   	4076.05	322.363
127	1889.72	3125.51	4094.81	325.625
128	1889.72	3114.36	4098.44	328.312
129	1889.72	3103.6 	3943.06	318.951
130	1889.72	3100.08	4015.07	323.31 
131	1889.72	3098.36	4136.78	332.455
132	1889.72	3092.39	4017.53	324.386
133	1889.72	3084.24	4079.29	322.387
