gen	min    	avg   	max  	std    
0  	2500.25	5258.2	13048	1390.19
1  	2500.25	5249.73	12488.3	1429.7 
2  	2500.25	5194.95	11930.3	1423.93
3  	2500.25	5103.28	11907  	1247.16
4  	2497.06	5128.87	12722.8	1302.46
5  	2497.06	5040.47	9681.08	1259.73
6  	2497.06	5006   	9099.86	1207.46
7  	2497.06	4969.59	12430.1	1235.43
8  	2381.1 	4962.53	9366.18	1228.77
9  	2381.1 	4919.05	10175.3	1229.42
10 	2381.1 	4858.22	9144.52	1159.26
11 	2381.1 	4871.5 	10225.4	1251.65
12 	2381.1 	4836.85	13604.5	1249.72
13 	2381.1 	4813.97	11381.7	1267.99
14 	2381.1 	4755.94	17242.1	1352.23
15 	2381.1 	4739.54	9717.48	1194.29
16 	2381.1 	4703.86	9902.92	1204.7 
17 	2381.1 	4702.83	9620.1 	1223.64
18 	2372.59	4666.42	9058.51	1147.22
19 	2134.42	4605.18	8699.16	1081.84
20 	2134.42	4587.7 	8181.1 	1085.82
21 	2134.42	4552.53	8197.4 	1005.42
22 	2134.42	4558.11	8516.5 	1092.06
23 	2134.42	4515.51	9117.47	1068.03
24 	1966.83	4515.01	12002.7	1173.38
25 	1966.83	4452.78	10622  	1056.43
26 	1966.83	4419.54	8894.1 	1010.83
27 	1966.83	4423.51	10331.1	1055.06
28 	1966.83	4363.29	8425.42	1022.83
29 	1966.83	4303.85	8516.3 	953.057
30 	1966.83	4316.33	7740.46	929.43 
31 	1966.83	4275.74	7376.01	920.312
32 	1966.83	4273.25	8294.61	986.173
33 	1966.83	4239.34	9467.26	964.694
34 	1966.83	4206.66	7706.63	918.78 
35 	1966.83	4181.26	7331.63	903.791
36 	1966.83	4132.64	7192.35	876.978
37 	1966.83	4100.55	7411.37	889.438
38 	1966.83	4081.89	6618.67	864.929
39 	1966.83	4058.32	7072.25	808.473
40 	1966.83	4059.94	8088.5 	899.879
41 	1966.83	4022.86	7706.68	856.155
42 	1793.26	4036.08	7047.26	872.102
43 	1793.26	4035.07	7383.92	892.287
44 	1793.26	3991.69	7335.44	891.581
45 	1793.26	3941.42	8077.16	854.288
46 	1793.26	3923.21	6683.73	801.635
47 	1793.26	3913.19	6644.02	779.407
48 	1793.26	3908.14	6563.32	808.378
49 	1793.26	3889.27	6653.77	792.049
50 	1793.26	3862.17	6813.01	759.11 
51 	1793.26	3846.77	7443.87	817.809
52 	1793.26	3820.79	7443.87	769.737
53 	1793.26	3804.99	6736.15	766.302
54 	1793.26	3787.93	6279.28	752.579
55 	1793.26	3778.72	7628.49	753.995
56 	1793.26	3749.05	6546.4 	723.631
57 	1793.26	3731.95	6282.55	687.981
58 	1793.26	3730.9 	6053.74	745.785
59 	1793.26	3722.34	6326.13	739.269
60 	1793.26	3690.38	5888.31	696.72 
61 	1793.26	3686.68	6363.82	696.983
62 	1793.26	3684.57	6998.05	763.655
63 	1793.26	3637.29	6219.71	701.946
64 	1793.26	3633.38	6011.01	680.107
65 	1793.26	3614.83	5942.78	645.647
66 	1793.26	3591.93	5935.89	639.018
67 	1793.26	3593.59	5652.15	656.346
68 	1793.26	3582.49	6054.59	675.262
69 	1793.26	3546.38	5716.85	642.387
70 	1793.26	3528.58	5679.36	665.979
