gen	min    	avg   	max   	std    
0  	114.227	151.77	199.71	15.8725
1  	109.893	151.568	198.144	15.817 
2  	109.893	152.761	200.81 	15.4697
3  	109.893	152.349	204.821	15.3757
4  	109.893	152.876	209.489	15.9041
5  	109.893	152.066	200.579	15.7007
6  	109.893	152.98 	214.296	15.5259
7  	109.261	151.557	203.273	15.6297
8  	109.261	151.791	193.554	14.8765
9  	109.261	151.362	193.159	15.2747
10 	109.261	152.58 	192.432	15.2364
11 	109.261	151.461	195.791	15.2832
12 	109.261	151.729	198.795	15.2977
13 	109.261	152.07 	196.312	16.1571
14 	109.261	153.516	202.644	16.248 
15 	109.261	152.456	202.381	14.2753
16 	109.261	152.508	198.5  	15.7281
17 	109.261	151.959	199.708	15.6298
18 	109.261	151.849	206.237	15.5395
19 	109.261	153.699	213.121	15.3269
20 	105.407	152.055	207.715	15.4029
21 	105.407	151.676	204.274	15.8903
22 	105.407	151.75 	199.576	16.6862
23 	105.407	151.019	199.467	15.5693
24 	105.407	150.582	206.18 	15.0686
25 	105.407	151.186	192.961	15.4114
26 	105.407	152.332	190.291	15.5938
27 	105.407	152.53 	195.848	15.675 
28 	105.407	152.839	201.699	15.4164
29 	105.407	153.111	203.368	15.5115
30 	105.407	151.874	201.174	16.0569
31 	105.407	151.925	194.047	15.3575
32 	105.407	152.846	203.104	15.4658
33 	105.407	152.7  	192.132	15.148 
34 	105.407	150.604	200.557	14.5842
35 	105.407	151.57 	204.821	15.4306
36 	105.407	152.549	189.342	14.7409
37 	105.407	152.385	195.802	15.0253
38 	105.407	151.302	197.54 	14.9648
39 	105.407	151.834	199.178	15.2164
40 	105.407	152.258	217.338	16.0685
41 	104.485	152.901	207.281	16.924 
42 	104.485	152.842	194.264	15.5395
43 	104.485	152.529	196.768	15.1789
44 	104.485	151.262	202.394	15.6999
45 	104.485	152.102	200.892	15.5225
46 	104.485	152.091	200.003	15.6198
47 	104.485	153.47 	211.779	16.1572
48 	104.485	151.306	198.444	14.7197
49 	104.485	152.018	212.414	15.3995
50 	104.485	152.232	208.475	14.8109
51 	104.485	152.828	201.106	16.2958
52 	104.485	151.66 	194.674	15.3116
53 	104.485	152.616	198.735	15.0357
54 	104.485	151.636	197.622	15.1318
55 	104.485	152.141	197.137	14.8525
56 	104.485	151.939	206.268	15.9823
57 	104.485	152.746	199.699	15.7295
58 	104.485	151.709	201.872	15.6497
59 	104.485	151.663	201.754	15.3227
60 	104.485	151.382	200.774	15.2224
61 	104.485	151.663	199.794	16.2502
62 	104.485	152.572	205.062	15.5579
63 	104.485	151.87 	200.374	16.1339
64 	104.485	153.337	206.375	15.343 
65 	104.485	152.88 	193.945	14.562 
66 	104.485	151.591	198.595	15.576 
67 	104.485	152.114	216.272	16.827 
68 	104.485	151.868	201.334	15.2387
69 	104.485	152.203	196.42 	14.989 
70 	104.485	152.466	202.887	15.4212
71 	101.29 	152.059	196.754	15.294 
72 	101.29 	150.882	195.086	15.9529
73 	101.29 	152.604	203.376	15.5622
74 	101.29 	152.593	197.845	15.1574
75 	101.29 	152.648	206.475	15.7783
76 	101.29 	151.478	206.625	15.3937
77 	101.29 	152.049	195.295	16.2161
78 	101.29 	151.394	194.118	14.6439
79 	101.29 	151.021	191.839	15.3309
80 	101.29 	150.634	202.616	15.1543
81 	101.29 	151.322	199.145	15.3021
82 	101.29 	151.077	192.754	14.9281
83 	101.29 	152.552	211.312	15.4382
84 	101.29 	151.876	211.312	15.7481
85 	101.29 	152.943	211.312	16.1486
86 	101.29 	152.551	200.558	15.2065
87 	101.29 	151.596	200.82 	14.7055
88 	101.29 	151.682	202.789	16.2655
89 	101.29 	151.109	205.993	16.7388
90 	101.29 	151.907	206.388	16.0346
91 	101.29 	151.8  	195.977	15.4206
92 	101.29 	151.618	195.435	14.7136
93 	101.29 	152.083	196.75 	15.8098
94 	101.29 	152.73 	201.267	16.3413
95 	101.29 	152.134	202.669	15.2453
96 	101.29 	151.707	200.308	16.0133
97 	101.29 	151.658	211.748	15.653 
98 	101.29 	151.686	200.076	14.9718
99 	101.29 	151.487	206.311	14.9299
100	101.29 	150.573	187.143	14.992 
101	101.29 	151.973	199.455	14.7896
102	101.29 	151.514	195.065	16.1418
103	101.29 	151.704	206.083	15.7689
104	101.29 	151.98 	201.112	15.5615
105	101.29 	151.415	203.804	15.1482
106	101.29 	151.29 	197.482	14.7197
107	101.29 	153.005	197.433	16.0799
108	101.29 	152.687	194.876	15.6981
109	101.29 	152.183	204.004	15.9106
110	101.29 	152.216	197.298	14.9388
111	101.29 	151.889	200.904	15.9494
112	101.29 	152.052	201.521	15.8758
113	101.29 	152.691	197.499	15.0898
114	101.29 	151.637	203.472	15.4258
115	101.29 	152.298	212.495	16.1425
116	101.29 	152.648	199.243	15.2834
117	101.29 	151.399	202.46 	15.12  
118	101.29 	151.717	198.47 	15.014 
119	101.29 	150.524	209.844	15.4436
120	101.29 	151.44 	207.347	15.805 
121	101.29 	152.02 	214.693	15.8683
122	101.29 	151.889	194.228	15.0609
123	101.29 	152.123	210.194	16.3071
124	101.29 	152.467	203.823	15.6985
125	101.29 	152.678	197.142	15.0196
126	101.29 	152.585	196.078	15.217 
127	101.29 	152.232	197.868	16.0118
128	101.29 	152.47 	202.178	15.3265
129	101.29 	153.153	197.529	16.0439
130	101.29 	152.407	201.972	15.5337
131	101.29 	152.585	198.458	14.9107
132	101.29 	152.608	202.018	15.4487
133	101.29 	152.111	199.075	15.8335
134	101.29 	152.456	203.892	15.359 
