gen	min     	avg   	max    	std    
0  	-1.98853	39.357	522.928	46.4283
1  	-1.98853	39.5236	313.701	40.1745
2  	-4.25006	37.7152	270.064	38.7814
3  	-4.25006	36.0221	222.5  	35.0328
4  	-4.25006	36.5984	368.54 	38.4926
5  	-4.84835	35.3339	233.815	34.053 
6  	-4.84835	34.3765	233.815	33.2205
7  	-6.25362	32.8218	206.642	30.1207
8  	-6.25362	31.0001	229.638	29.2049
9  	-7.06555	31.0554	168.41 	27.7788
10 	-7.06555	29.2963	219.164	27.4393
11 	-7.06555	29.2612	231.962	29.7573
12 	-7.06555	29.2559	208.681	28.4065
13 	-7.15089	28.7588	224.31 	28.6771
14 	-7.15089	28.0789	208.76 	27.9515
15 	-7.15089	27.5208	185.438	26.0438
16 	-7.15089	26.9303	184.801	24.6708
17 	-7.15089	27.0516	179.605	24.52  
18 	-7.43572	26.4399	130.661	24.4138
19 	-7.43572	26.843 	298.572	26.9321
20 	-7.43572	27.6856	215.378	28.5616
21 	-7.43572	27.009 	292.468	29.9905
22 	-7.43572	27.0967	196.404	29.0852
23 	-7.43572	26.4507	220.538	29.0035
24 	-7.43572	24.9575	199.899	25.5672
25 	-7.77002	24.1652	269.547	26.949 
26 	-7.77002	24.1088	177.501	24.9202
27 	-7.77002	23.6665	142.044	23.5282
28 	-7.77002	24.3217	204.398	25.2505
29 	-7.77002	23.0802	200.44 	24.855 
30 	-7.77002	22.5877	170.758	23.3976
31 	-7.77002	21.2939	193.898	22.0214
32 	-8.16761	20.2171	170.985	20.6628
33 	-8.16761	20.2115	115.406	19.666 
34 	-8.5138 	20.2583	184.041	20.5115
35 	-8.5138 	19.4707	182.077	20.4809
36 	-8.56068	19.9982	159.522	21.1077
37 	-8.56068	20.1272	172.664	22.9405
38 	-8.56068	21.1742	172.664	25.1644
39 	-8.56068	19.474 	169.394	20.7157
40 	-8.56068	18.626 	151.06 	19.1092
41 	-8.56068	18.2029	155.488	18.7931
42 	-8.56068	18.0383	109.507	17.5346
43 	-8.56068	17.0952	154.033	17.6423
44 	-8.56068	16.5981	124.555	16.5401
45 	-8.56068	17.2026	143.459	18.2568
46 	-8.56068	16.7603	98.5491	16.5709
47 	-8.56068	16.6634	156.441	17.5292
48 	-8.56068	15.943 	123.344	17.4943
49 	-8.89941	15.1111	125.978	16.8999
50 	-8.89941	14.7382	86.1408	15.7739
51 	-8.89941	14.665 	98.2291	16.6785
52 	-8.89941	14.4009	104.323	15.0451
53 	-8.89941	13.7144	99.6832	14.4567
54 	-8.89941	13.7196	86.682 	14.2205
55 	-8.89941	13.5644	96.052 	14.0266
56 	-8.89941	12.8329	96.5706	13.7791
57 	-8.89941	12.372 	117.777	13.7656
58 	-8.89941	11.969 	99.9994	12.649 
59 	-8.89941	12.5938	127.9  	15.4044
60 	-8.89941	12.0882	95.0325	13.6646
61 	-8.89941	11.7151	67.6407	12.6484
62 	-8.89941	11.5975	71.7385	12.699 
63 	-8.89941	11.6314	96.3257	12.9309
64 	-8.89941	11.167 	89.1457	12.0516
65 	-8.89941	11.224 	72.5661	11.9984
66 	-8.89941	11.687 	87.5724	13.5976
67 	-8.89941	11.8759	139.692	14.6087
68 	-8.89941	11.2284	125.648	13.5679
69 	-8.89941	11.4063	82.3056	13.5617
70 	-9.1811 	11.3509	65.2863	13.1419
71 	-9.1811 	10.5826	61.3042	12.2558
72 	-9.1811 	9.96209	84.3821	12.4102
73 	-9.1811 	9.96499	99.1064	12.613 
74 	-9.1811 	10.0278	82.6141	13.0622
75 	-9.1811 	9.66471	73.2982	12.2487
76 	-9.1811 	9.52273	75.9598	11.3407
77 	-9.1811 	9.826  	67.3847	12.0633
78 	-9.1811 	9.5495 	61.5776	11.5418
79 	-9.1811 	9.4072 	60.7652	11.2377
80 	-9.1811 	8.89738	58.6027	11.0652
81 	-9.1811 	8.57335	65.7658	10.773 
82 	-9.1811 	8.23601	60.5359	10.1958
83 	-9.1811 	8.31084	51.5874	9.99103
84 	-9.1811 	7.86803	71.2219	10.0792
85 	-9.549  	8.0355 	57.2227	10.5079
86 	-9.549  	8.1927 	63.4506	10.7803
87 	-9.549  	7.38774	59.5231	9.0184 
88 	-9.549  	7.25637	62.409 	9.13344
89 	-10.2207	7.37805	48.8313	9.72443
