gen	min     	avg    	max    	std   
0  	-1.82079	39.9097	420.825	41.204
1  	-1.82079	37.4037	227.097	34.0733
2  	-2.29593	37.3612	255.337	34.8743
3  	-4.87694	36.7771	238.652	34.9373
4  	-4.87694	37.6612	226.181	36.2619
5  	-4.87694	36.8556	240.268	35.4511
6  	-4.87694	36.5847	384.332	39.7279
7  	-4.87694	35.1496	241.101	34.1251
8  	-4.87694	35.3229	268.201	37.217 
9  	-4.87694	32.8884	183.275	29.8592
10 	-4.87694	32.1913	197.406	31.6195
11 	-4.87694	31.7707	189.516	30.4457
12 	-4.87694	30.736 	226.752	30.4989
13 	-4.87694	30.4272	197.685	29.9652
14 	-6.34495	29.8805	232.28 	29.2385
15 	-6.34495	29.4395	249.658	30.1504
16 	-6.34495	28.3048	184.154	25.613 
17 	-6.34495	28.0225	186.497	26.3652
18 	-6.34495	27.9516	182.739	26.2596
19 	-6.34495	28.2856	175.264	28.0643
20 	-6.34495	26.862 	148.054	25.0056
21 	-6.34495	26.656 	202.162	27.569 
22 	-6.34495	26.0216	223.699	27.0048
23 	-6.34495	24.9543	211.761	24.8024
24 	-6.34495	25.2194	256.184	26.7098
25 	-6.34495	24.399 	158.259	24.7769
26 	-6.34495	24.7365	207.831	24.3656
27 	-6.34495	24.1758	169.699	23.259 
28 	-6.34495	25.0143	211.634	25.3862
29 	-6.34495	23.5561	155.265	22.5479
30 	-6.34495	22.1567	157.822	21.2086
31 	-6.34495	22.5402	214.047	24.2549
32 	-6.34495	21.8106	139.774	21.1945
33 	-6.34495	21.8034	111.727	19.9597
34 	-6.34495	21.2529	134.307	20.2805
35 	-6.6099 	20.783 	103.224	19.2177
36 	-6.6099 	21.3659	161.251	21.5672
37 	-6.6099 	20.0126	115.771	19.0694
38 	-6.6099 	19.845 	131.985	20.4342
39 	-6.6099 	20.0613	128.751	19.8577
40 	-6.6099 	19.1802	115.2  	18.4488
41 	-7.86414	18.845 	138.226	17.8221
42 	-7.86414	19.1014	118.264	18.4184
43 	-7.86414	18.8456	178.609	20.529 
44 	-7.86414	18.9042	173.462	21.8677
45 	-7.86414	18.4103	118.632	19.6988
46 	-7.86414	17.1325	124.062	17.5586
47 	-7.86414	17.1777	140.543	17.7734
48 	-7.86414	16.2694	136.38 	17.4334
49 	-7.86414	16.2324	112.73 	16.4703
50 	-7.86414	16.3229	183.277	17.4068
51 	-7.86414	15.8306	110.529	16.0581
52 	-7.86414	15.7379	109.675	16.9136
53 	-7.86414	14.9341	98.4188	15.787 
54 	-7.86414	15.3758	87.4379	15.3837
55 	-7.86414	14.8162	99.9346	15.06  
56 	-7.86414	14.6428	117.894	16.1431
57 	-7.86414	15.0825	144.876	17.4809
58 	-7.86414	14.0499	86.4404	15.3324
59 	-7.86414	14.1951	99.4262	15.3401
60 	-7.86414	14.4202	114.373	16.3256
61 	-7.86414	13.7049	82.3108	15.0189
62 	-7.86414	13.573 	93.6771	14.8532
63 	-7.86414	13.3938	155.981	15.0606
64 	-7.86414	13.3324	139.596	15.9532
65 	-7.86414	13.2046	131.116	14.7409
66 	-7.86414	12.9098	84.5009	13.9257
67 	-7.86414	12.5219	86.4528	13.6677
68 	-7.86414	12.0609	73.1464	12.1843
69 	-7.86414	11.7361	86.5128	11.9062
70 	-7.86414	11.2546	86.1111	12.1938
71 	-7.86414	11.3537	81.4925	12.4578
72 	-7.86414	10.6211	70.1635	11.3682
73 	-7.86414	10.111 	90.635 	11.3757
74 	-7.86414	10.6165	80.4438	11.7893
75 	-7.86414	9.92885	86.9312	11.5259
76 	-7.86414	9.79476	77.0189	10.8736
77 	-7.86414	9.54382	60.2251	10.5787
78 	-7.86414	9.41828	64.6213	10.7286
79 	-7.86414	9.80631	82.5362	11.8657
80 	-7.86414	9.53464	65.642 	10.9543
81 	-7.86414	9.01585	53.969 	9.94496
82 	-7.86414	8.64094	51.8033	9.58344
83 	-7.86414	8.93214	55.9413	10.5119
84 	-7.86414	9.13835	68.3506	10.85  
85 	-7.86414	8.64923	58.7782	9.99475
86 	-7.86414	8.46014	59.2291	9.59605
87 	-7.86414	8.02624	51.0687	9.31257
