gen	min     	avg    	max    	std    
0  	-1.21251	42.0892	398.483	46.1875
1  	-1.21251	39.7531	387.555	40.4527
2  	-1.21251	38.8732	310.66 	41.731 
3  	-1.21251	37.125 	314.713	35.6563
4  	-3.71906	38.7553	504.484	44.8762
5  	-3.71906	36.6082	384.526	41.1047
6  	-3.71906	35.0006	234.116	35.571 
7  	-4.70909	33.3904	253.882	31.3723
8  	-4.88727	33.1418	229.544	32.6529
9  	-4.88727	33.5906	221.268	30.953 
10 	-4.88727	32.3514	197.413	27.937 
11 	-4.88727	31.3612	165.473	27.4696
12 	-4.88727	31.6605	204.386	31.0666
13 	-4.88727	30.0475	185.969	27.61  
14 	-5.39298	30.7618	223.54 	30.9794
15 	-5.39298	29.0589	186.838	27.8942
16 	-5.39298	29.5174	202.582	28.6115
17 	-5.39298	27.4298	154.533	25.7842
18 	-5.39298	26.2942	190.677	26.4694
19 	-5.39298	28.5785	191.315	29.9923
20 	-6.08311	26.354 	158.74 	25.4823
21 	-6.08311	25.2703	167.878	23.6903
22 	-6.08311	26.2582	162.109	26.1081
23 	-6.08311	27.6077	233.859	32.0509
24 	-6.08311	26.8815	263.066	30.4797
25 	-6.08311	25.8882	191.826	27.3831
26 	-6.52228	24.8419	191.826	26.3387
27 	-6.52228	24.6402	177.21 	25.5873
28 	-6.52228	24.1251	180.729	23.5011
29 	-6.94182	22.6114	125.153	21.7359
30 	-6.94182	22.281 	145.551	21.3056
31 	-6.94182	21.276 	146.204	21.2792
32 	-6.94182	21.8523	146.212	20.1647
33 	-6.94182	21.7023	184.492	23.2112
34 	-6.94182	20.9678	172.16 	21.483 
35 	-6.94182	21.1495	140.027	22.5906
36 	-6.94182	20.3115	107.791	20.4907
37 	-6.94182	19.5456	215.379	21.7808
38 	-6.94182	18.7947	132.197	18.6302
39 	-6.94182	18.453 	122.639	17.9191
40 	-6.94182	18.9606	118.102	17.7127
41 	-7.11804	19.2414	126.327	20.0703
42 	-7.11804	18.9403	138.859	20.0628
43 	-7.11804	17.9047	128.469	19.5389
44 	-7.11804	17.6475	143.233	18.8705
45 	-7.11804	17.4404	107.041	18.021 
46 	-7.11804	17.2421	110.891	18.2967
47 	-7.21786	17.871 	192.751	21.4744
48 	-7.21786	17.6085	192.751	22.7777
49 	-7.21786	16.357 	155.283	19.5915
50 	-7.21786	15.3963	98.7358	16.1659
51 	-7.21786	15.7062	91.3964	16.2038
52 	-7.21786	15.5375	115.585	16.5198
53 	-7.21786	13.9973	107.749	14.1844
54 	-7.21786	14.2867	89.4869	14.6828
55 	-7.21786	14.2356	96.7287	14.2322
56 	-7.21786	14.5487	93.5203	15.5027
57 	-7.21786	14.2277	109.379	14.6259
58 	-7.21786	14.6749	119.622	15.9216
59 	-7.21786	14.4264	118.107	17.1186
60 	-7.21786	13.5992	93.6983	14.9813
61 	-7.21786	13.4974	122.748	15.8435
62 	-7.21786	13.4163	83.8186	14.4773
63 	-7.21786	13.0988	87.5714	14.551 
64 	-7.21786	12.4305	74.3238	12.6889
65 	-7.21786	12.7902	79.3958	14.0855
66 	-7.21786	11.8976	82.014 	12.9102
67 	-7.21786	11.6772	67.569 	12.0118
68 	-7.21786	11.5833	88.4762	12.0873
69 	-7.21786	11.7122	92.1176	13.6385
70 	-7.21786	11.6128	79.8818	12.6287
71 	-7.21786	11.0428	76.3744	11.958 
72 	-7.21786	10.8193	117.565	13.2886
73 	-7.21786	10.8951	152.516	15.1229
74 	-7.21786	10.1461	134.091	12.6617
75 	-7.21786	10.0024	99.7306	12.1863
76 	-7.21786	9.47374	63.1883	10.24  
77 	-7.21786	9.58146	60.9155	10.609 
78 	-7.21786	9.57711	72.9359	11.795 
79 	-7.2497 	9.49072	75.2034	11.59  
80 	-7.2497 	9.13278	65.5485	10.8375
81 	-7.2497 	8.88974	57.7629	10.394 
82 	-7.2497 	9.32261	66.4719	10.9164
83 	-7.2497 	8.92273	49.9465	10.2421
84 	-7.2497 	9.17382	80.1142	10.9592
85 	-7.2497 	9.04925	50.8974	10.4986
86 	-7.2497 	8.44959	66.8685	10.7232
87 	-7.2497 	8.54367	80.8927	11.1062
88 	-7.43575	8.31666	79.1711	11.2257
89 	-7.43575	8.5863 	66.0231	11.2921
90 	-7.43575	8.18523	79.9929	11.6042
91 	-7.43575	8.06649	84.748 	11.4351
92 	-7.43575	7.22443	53.801 	9.17997
93 	-7.43575	7.19113	54.0948	9.63106
94 	-7.43575	7.15413	61.3109	10.2061
95 	-7.43575	6.67776	61.3109	9.00226
96 	-7.43575	7.08039	58.6414	9.68488
97 	-7.43575	7.00697	55.0731	9.50468
98 	-7.43575	6.62243	58.3171	9.21541
99 	-7.43575	6.52742	43.8425	8.89354
100	-7.43575	6.24785	44.3547	8.51624
101	-7.43575	6.49604	64.2057	9.11687
102	-7.43575	6.29804	66.2613	8.70842
103	-7.43575	6.00993	41.4426	8.42242
104	-7.43575	6.06673	58.4926	8.96092
105	-7.43575	5.86023	81.2424	8.85679
106	-7.43575	5.4992 	34.1799	7.47997
107	-7.43575	5.56671	44.3486	8.02667
108	-7.8413 	5.1998 	33.6943	7.01113
109	-7.8413 	5.06014	39.3906	7.06582
110	-7.8413 	5.10993	49.3328	7.50629
111	-8.27102	5.062  	57.8883	7.67847
112	-8.27102	4.60682	34.5408	7.12394
113	-8.27102	4.56109	45.1426	7.19192
114	-8.27102	4.29752	37.0958	6.92887
115	-8.31421	4.34343	42.539 	7.40831
116	-8.31421	4.49696	56.3981	7.58084
117	-8.31421	4.45374	36.0322	7.22076
118	-8.31421	4.1136 	33.8233	6.65009
119	-8.31421	4.10878	50.7745	6.70698
120	-8.31421	4.35652	80.7864	8.01747
121	-8.31421	3.98449	50.25  	7.14534
122	-8.31421	3.89271	40.8183	6.88738
123	-8.31421	3.71558	34.7299	6.60782
124	-8.31421	3.85482	36.8489	6.84279
125	-8.31421	3.84794	51.04  	6.94217
126	-8.31421	3.23406	33.5744	6.10713
127	-8.31421	3.22178	31.044 	6.18801
128	-8.31421	2.99469	36.9152	5.9399 
129	-8.31421	2.93084	29.0542	5.92152
130	-8.31421	3.08461	35.6307	6.35874
131	-8.31421	3.37635	36.1323	6.69279
132	-8.31421	2.88043	28.2037	6.04276
133	-8.31421	2.98259	32.7224	6.33151
134	-8.31421	2.89667	34.7063	5.9738 
