gen	min      	avg    	max    	std    
0  	-0.642472	36.3736	406.252	36.3515
1  	-1.37951 	36.3559	311.735	37.5288
2  	-1.37951 	36.0032	406.637	38.253 
3  	-1.37951 	34.9736	273.027	33.6456
4  	-1.37951 	35.3072	231.865	33.6713
5  	-1.55095 	36.4511	221.24 	34.268 
6  	-1.98361 	34.7094	326.175	35.5243
7  	-2.08052 	33.981 	258.754	33.684 
8  	-4.57223 	33.5743	262.9  	33.0422
9  	-4.57223 	31.6211	265.365	32.1565
10 	-4.57223 	30.0086	265.365	30.3594
11 	-4.57223 	31.1044	230.202	30.9138
12 	-4.57223 	30.4465	220.319	31.2938
13 	-4.57223 	28.4826	164.35 	24.9784
14 	-4.57223 	28.4086	204.405	27.0032
15 	-4.57223 	27.3947	204.405	26.9016
16 	-4.57223 	28.1311	206.112	27.3918
17 	-4.57223 	28.0308	147.126	25.4366
18 	-4.57223 	28.464 	233.667	29.8661
19 	-4.57223 	27.2873	216.426	28.15  
20 	-4.57223 	26.4111	220.964	26.3025
21 	-4.57223 	26.3932	160.984	26.502 
22 	-4.57223 	26.1801	165.741	25.7585
23 	-4.65361 	25.593 	229.845	25.8898
24 	-4.65361 	25.1544	172.873	23.8519
25 	-4.65361 	24.7162	204.151	22.937 
26 	-5.08379 	24.3313	157.335	23.7678
27 	-5.08379 	24.2086	161.654	24.0086
28 	-5.08379 	24.3731	172.419	23.7315
29 	-5.61915 	23.0328	186.17 	23.2164
30 	-5.61915 	22.3702	179.838	22.546 
31 	-5.61915 	21.638 	122.726	20.1771
32 	-5.61915 	21.1004	99.3463	18.7574
33 	-5.61915 	21.2157	125.341	21.2233
34 	-5.61915 	19.8403	118.878	18.3422
35 	-5.61915 	21.0397	172.952	22.5602
36 	-5.61915 	19.5433	120.704	18.235 
37 	-5.61915 	19.7812	156.305	19.3345
38 	-5.62119 	18.9043	133.46 	18.2366
39 	-5.62119 	18.6971	133.46 	18.824 
40 	-5.62119 	17.5901	92.803 	16.2056
41 	-5.62119 	17.2226	98.8356	15.8526
42 	-5.62119 	17.3483	92.8206	16.2238
43 	-5.64267 	17.7149	107.929	16.6502
44 	-5.64267 	17.0474	92.4727	15.4102
45 	-5.64267 	18.039 	172.002	18.7178
46 	-6.11029 	16.966 	121.715	16.5837
47 	-6.29227 	16.9504	116.842	16.9905
48 	-6.74935 	16.068 	99.0954	15.0804
49 	-6.74935 	16.7815	140.679	16.6325
50 	-6.74935 	16.165 	82.2455	15.6859
51 	-6.74935 	16.6812	153.802	19.5159
52 	-6.74935 	15.8637	119.611	16.9685
53 	-6.74935 	15.7937	151.791	17.939 
54 	-6.74935 	15.8369	158.575	19.0468
55 	-6.74935 	15.195 	135.744	17.2691
56 	-6.74935 	14.5884	90.7498	15.2441
57 	-6.74935 	14.3316	92.97  	15.4779
58 	-6.74935 	14.479 	90.5967	14.9656
59 	-6.74935 	14.427 	117.572	16.5123
60 	-6.74935 	13.668 	129.682	15.5199
61 	-6.74935 	13.7877	104.117	15.117 
62 	-6.74935 	13.8939	142.872	16.3137
63 	-6.74935 	13.5873	93.3559	14.7172
64 	-6.74935 	13.4484	107.355	15.1122
65 	-6.74935 	12.5688	71.7576	12.6179
66 	-6.74935 	12.7192	111.017	14.5824
67 	-6.74935 	13.068 	95.0776	14.7764
68 	-6.74935 	13.0514	93.7266	14.5918
69 	-7.29408 	12.677 	83.4813	13.9791
70 	-7.29408 	12.2715	88.2635	13.5611
71 	-7.29408 	11.6614	91.7484	13.635 
72 	-7.29408 	11.6553	106.603	14.7099
73 	-7.95739 	11.5398	99.9955	13.0731
74 	-7.95739 	10.8461	71.6175	11.9375
75 	-7.95739 	10.8478	79.649 	12.1731
76 	-7.95739 	10.9115	127.607	13.2175
77 	-7.95739 	10.4912	85.5431	12.7088
78 	-7.95739 	10.0951	73.6041	11.4667
79 	-7.95739 	9.77715	81.8185	11.1937
80 	-7.95739 	9.71074	87.6671	11.9214
81 	-7.95739 	8.79016	62.9366	9.75278
82 	-7.95739 	8.65919	64.2471	10.058 
