gen	min    	avg    	max    	std   
0  	37.3528	204.585	1433.39	152.59
1  	34.9043	203.799	1455.52	152.672
2  	34.9043	193.823	1533.56	137.33 
3  	34.9043	190.456	890.619	130.447
4  	34.9043	190.442	1279.76	141.666
5  	34.9043	185.291	825.358	127.264
6  	28.2171	191.909	1106.14	153.21 
7  	28.2171	193.179	1402.19	159.137
8  	28.2171	187.499	1243.84	143.44 
9  	28.2171	181.582	1015.51	141.035
10 	28.2171	181.944	1315.07	138.034
11 	28.2171	183.017	1101.42	136.942
12 	25.7768	185.282	1096.54	141.796
13 	25.7768	178.774	990.145	131.186
14 	25.7768	174.427	945.438	132.917
15 	25.7768	172.921	1010.11	141.002
16 	25.7768	169.306	954.432	130.427
17 	23.8388	168.54 	1154.8 	130.994
18 	23.8388	166.169	1217.53	132.38 
19 	19.5543	161.492	1012.79	122.49 
20 	19.5543	167.304	1430.93	142.39 
21 	19.5543	160.838	1224.05	133.308
22 	19.5543	156.212	909.884	117.884
23 	19.5543	157.008	948.892	119.672
24 	19.5543	155.105	785.162	119.552
25 	19.5543	156.132	738.94 	108.835
26 	19.5543	154.707	1426.81	120.72 
27 	19.5543	155.619	1196.59	115.97 
28 	19.5543	149.638	954.358	104.704
29 	19.5543	146.592	632.852	94.2863
30 	19.5543	146.272	688.218	99.9373
31 	19.5543	142.581	847.847	103.697
32 	19.5543	138.937	799.852	101.797
33 	19.5543	133.744	600.431	89.3572
34 	19.5543	132.521	673.727	80.4856
35 	19.5543	132.3  	869.702	85.9877
36 	19.5543	127.328	855.501	81.7287
37 	19.5543	124.592	486.373	71.8205
38 	19.506 	123.718	644.774	71.4735
39 	19.506 	120.733	386.246	64.9582
40 	19.506 	125.45 	500.872	72.6602
41 	19.506 	121.764	463.934	67.1167
42 	19.506 	120.806	456.883	68.6833
43 	19.506 	120.22 	626.525	70.9786
44 	19.506 	118.836	612.056	67.1945
45 	19.506 	120.167	676.305	79.1318
46 	19.506 	119.624	512.577	73.7505
47 	19.506 	119.382	601.285	75.5322
48 	19.506 	115.483	652.311	72.9709
49 	19.506 	116.828	652.311	77.4252
50 	18.1993	117.444	754.539	79.1757
51 	18.1993	114.949	569.411	69.6901
52 	18.1993	111.522	545.549	67.2532
53 	18.1993	110.629	699.684	71.9053
54 	18.1993	107.248	468.613	58.0427
55 	18.1993	108.558	555.377	63.5295
56 	18.1993	107.753	468.251	64.0044
57 	18.1993	104.007	339.947	53.7349
58 	18.1993	105.792	405.165	59.8266
59 	18.1993	102.481	405.165	55.5902
60 	18.1993	102.224	332.68 	52.1783
61 	18.1993	103.024	403.813	55.699 
62 	18.1993	99.0933	502.166	55.2674
63 	18.1993	99.5529	429.17 	51.9631
64 	18.1993	98.8913	307.64 	46.9338
65 	18.1993	96.3004	318.927	49.0188
66 	18.1993	95.1468	381.907	49.1077
67 	18.1993	99.5195	531.768	59.3328
68 	18.1993	95.1431	367.326	53.2744
69 	18.1086	94.731 	325.586	49.5117
70 	18.1086	94.849 	316.484	47.8713
71 	18.1086	91.4807	387.69 	46.8925
72 	18.1086	92.5676	396.196	49.3889
73 	18.1086	90.6171	284.263	48.3871
74 	18.1086	89.1486	338.04 	48.7145
75 	18.1086	89.4227	322.578	46.564 
76 	18.1086	89.1701	309.341	46.745 
77 	18.1086	86.7585	315.111	44.1959
78 	18.1086	86.6376	261.023	43.0212
79 	18.1086	85.0341	291.601	42.8568
80 	18.1086	85.1285	272.623	42.362 
81 	18.1086	85.0362	405.55 	46.6143
82 	18.1086	82.9914	255.691	37.8436
83 	18.1086	83.2823	418.679	43.9025
84 	18.1086	82.2733	258.206	40.9534
85 	18.1086	83.0487	291.273	41.993 
86 	18.1086	81.2197	294.522	40.5534
87 	18.1086	82.0359	310.639	42.9286
88 	18.1086	82.1373	293.553	41.6704
89 	18.1086	82.2203	313.733	41.1391
90 	18.1086	80.8493	368.252	42.1907
91 	16.7743	79.2288	403.276	41.2694
92 	16.7743	79.8263	322.623	38.6939
93 	16.7743	78.9881	263.192	36.0803
94 	16.7743	78.4009	246.453	35.0801
95 	16.7743	77.719 	303.574	37.8051
96 	16.7743	77.3737	262.395	37.5696
97 	16.7743	77.4525	261.196	39.402 
98 	16.7743	78.7933	318.381	40.9717
99 	16.7743	77.2744	373.541	39.4511
100	16.7743	74.8163	229.604	34.7288
101	16.7743	73.959 	233.149	33.2756
102	16.7743	74.1643	294.735	36.0386
103	16.7743	74.8773	263.269	34.5782
104	16.7743	74.6496	222.464	34.2199
105	16.7743	73.66  	288.918	34.18  
106	16.7743	72.2441	243.176	33.0945
