gen	min    	avg    	max   	std    
0  	43.9968	193.836	899.52	135.718
1  	43.9968	192.878	859.169	129.368
2  	39.8081	194.013	816.245	129.396
3  	39.8081	187.977	762.317	127.804
4  	37.4145	190.38 	1457.24	149.346
5  	37.4145	186.748	908.674	135.703
6  	37.4145	176.732	1019.4 	130.933
7  	37.4145	175.912	1124.78	129.336
8  	32.5606	175.234	782.32 	119.64 
9  	32.5137	176.068	935.247	122.71 
10 	32.5137	178.134	1027.46	131.472
11 	32.5137	171.308	926.321	116.572
12 	32.5137	168.252	807.78 	114.255
13 	32.5137	172.457	1219.22	135.67 
14 	32.5137	169.427	977.56 	119.712
15 	32.5137	169.342	997.284	127.083
16 	32.5137	163.592	957.668	111.996
17 	32.5137	155.759	818.939	106.04 
18 	32.5137	156.361	1093.22	114.435
19 	32.5137	155.306	806.746	110.263
20 	26.1609	151.558	844.58 	107.23 
21 	26.1609	155.57 	976.632	113.536
22 	26.1609	149.058	672.009	101.141
23 	26.1609	144.168	799.968	97.0202
24 	23.9633	144.909	718.678	98.2265
25 	23.9633	139.208	738.843	87.5883
26 	23.9633	142.841	970.096	100.98 
27 	23.9633	140.624	782.504	94.7365
28 	23.9633	142.512	924.55 	105.011
29 	23.9633	144.858	821.159	102.396
30 	23.9633	138.171	617.303	87.7966
31 	23.9633	137.738	585.885	88.8826
32 	23.9633	131.911	581.231	81.1316
33 	23.9633	127.056	578.903	79.0484
34 	23.9633	129.913	668.5  	94.0579
35 	21.3092	129.568	600.064	85.6125
36 	21.3092	130.938	654.571	89.7576
37 	20.1272	133.23 	752.328	95.3245
38 	20.1272	127.056	553.801	82.8165
39 	20.1272	123.577	537.685	77.954 
40 	20.1272	123.706	520.721	76.737 
41 	20.1272	122.807	589.475	80.6143
42 	20.1272	121.373	761.995	80.4379
43 	20.1272	119.68 	437.87 	71.1528
44 	20.1272	118.213	564.558	71.5609
45 	20.1272	116.44 	597.119	73.8849
46 	20.1272	121.722	728.752	86.8696
47 	20.1272	118.689	858.742	86.3781
48 	20.1272	115.564	760.744	75.2113
49 	20.1272	113.247	476.229	65.6882
50 	20.1272	109.658	451.737	61.8796
51 	20.1272	105.261	465.135	59.8583
52 	20.1272	108.073	470.195	62.5051
53 	20.1272	106.217	375.686	56.621 
54 	20.1272	105.277	418.915	54.5185
55 	20.1272	105.168	379.528	57.1953
56 	20.1272	105.075	405.144	57.8202
57 	20.1272	104.982	398.32 	59.4764
58 	20.1272	104.261	470.866	62.6674
59 	20.1272	102.254	421.283	57.525 
60 	20.1272	100.48 	424.129	55.2265
61 	20.1272	100.091	355.151	58.0602
62 	20.1272	99.5771	342.305	54.2844
63 	20.1272	100.942	354.277	57.3443
64 	20.1272	97.9245	453.993	54.9982
65 	20.1272	97.5713	454.212	58.6993
66 	15.438 	95.4914	684.395	58.2195
67 	15.438 	95.5329	373.187	53.849 
68 	15.438 	93.5429	377.145	50.728 
69 	15.438 	93.031 	350.678	52.278 
70 	15.438 	92.1921	377.585	51.2561
71 	15.438 	93.0675	387.64 	50.9768
72 	15.438 	90.5531	338.058	50.5498
73 	15.438 	89.8749	426.106	49.3818
74 	15.438 	92.3839	355.569	51.0609
75 	15.438 	89.2911	365.363	50.9834
76 	15.438 	90.3272	455.476	55.941 
77 	15.438 	89.7876	371.209	52.4587
78 	15.189 	87.5179	331.711	49.7991
79 	15.189 	86.7814	376.35 	46.271 
80 	15.189 	86.9839	331.711	46.0586
81 	15.189 	85.9508	379.365	46.5482
82 	15.189 	85.1194	359.367	45.5046
83 	15.189 	83.889 	316.353	43.8835
84 	15.189 	82.0605	313.993	43.0425
85 	14.812 	82.0127	295.296	42.7457
86 	14.812 	80.4599	296.746	41.45  
87 	14.812 	79.9038	329.837	41.7689
88 	14.812 	77.9969	475.077	42.0834
89 	14.812 	76.0216	321.142	38.0541
90 	14.812 	75.9916	262.954	34.2028
91 	14.812 	75.7656	269.333	35.6595
92 	14.812 	76.8212	243.429	37.2071
93 	14.812 	76.885 	254.128	36.9488
