gen	min   	avg     	max    	std    
0  	-74.36	-38.8603	48.2764	20.2029
1  	-76.493	-39.4344	26.7629	19.7463
2  	-77.586	-40.8359	30.7367	19.4808
3  	-78.5329	-41.5265	33.3972	19.6742
4  	-79.8968	-42.0912	23.4141	18.7841
5  	-79.8968	-44.172 	57.4989	20.6192
6  	-83.954 	-44.9824	32.6369	20.2506
7  	-83.954 	-46.4491	32.8515	17.4814
8  	-83.954 	-47.9782	15.7418	17.0749
9  	-83.954 	-48.8324	38.3261	18.5062
10 	-83.954 	-48.9848	52.6824	19.4117
11 	-83.954 	-50.3903	39.1834	18.3074
12 	-83.954 	-51.0855	38.1223	17.5778
13 	-87.4229	-52.4651	7.57258	15.601 
14 	-87.4229	-53.2647	-0.375968	15.6547
15 	-87.4229	-53.9218	1.46367  	16.3003
16 	-87.4229	-54.7788	0.248487 	14.8491
17 	-87.4229	-55.2592	7.97098  	15.5552
18 	-87.4229	-56.6031	15.9523  	14.7274
19 	-87.4229	-57.0505	-2.5215  	14.4829
20 	-87.4229	-56.1676	14.407   	15.9326
21 	-87.4229	-57.9786	3.30506  	15.0974
22 	-87.4229	-59.1052	1.785    	14.979 
23 	-87.4229	-59.7005	11.899   	14.6929
24 	-87.4229	-61.1012	-9.586   	12.9543
25 	-87.4229	-61.7015	-17.1683 	13.0874
26 	-87.4229	-62.3243	-17.8082 	13.1517
27 	-87.4229	-62.276 	-8.92113 	13.3854
28 	-87.4229	-63.0445	9.40855  	13.0986
29 	-89.2119	-63.7071	-13.9703 	12.8517
30 	-89.2119	-64.5589	-16.6899 	12.4587
31 	-89.2119	-64.881 	-19.3486 	12.6007
32 	-89.2119	-65.7056	-18.3538 	12.6382
33 	-89.2119	-66.1684	-9.06003 	12.6775
34 	-89.3241	-66.6867	-16.4854 	12.1576
35 	-89.3241	-67.4345	-12.3963 	11.7088
36 	-89.3241	-68.1358	-23.1804 	11.2938
37 	-90.364 	-68.4964	-28.8419 	11.0635
38 	-90.7849	-68.5872	-28.8419 	11.5645
39 	-90.7849	-69.3695	-30.2115 	11.1787
40 	-90.7849	-69.8004	-16.7091 	11.4854
41 	-90.7849	-70.5431	-8.46993 	10.9452
42 	-90.7849	-71.0194	-20.1977 	10.6915
43 	-90.7849	-71.5314	-24.1759 	10.6039
44 	-90.7849	-71.7167	-24.4038 	10.5125
45 	-90.7849	-72.2843	-31.8314 	9.79488
46 	-90.7849	-72.867 	-12.7382 	10.3428
47 	-90.7849	-72.9965	-17.1346 	9.90373
48 	-90.7849	-73.3702	-22.7675 	10.0963
49 	-90.7849	-73.6478	-22.0127 	10.1478
50 	-90.7849	-73.9354	-30.5031 	9.83102
51 	-90.7849	-74.6417	-35.114  	9.29803
52 	-92.4088	-75.1285	-36.3691 	8.77645
53 	-92.4088	-75.6517	-40.4079 	8.35425
54 	-92.4088	-76.2039	-47.5981 	8.1442 
55 	-92.4088	-76.6652	-41.5628 	7.55283
56 	-92.4088	-76.7752	-50.0924 	7.83735
57 	-92.4088	-77.1915	-40.8886 	7.78164
58 	-92.4088	-77.573 	-54.2097 	7.25946
59 	-92.4088	-77.7795	-44.8347 	7.52993
60 	-92.4088	-77.7543	-41.493  	7.97255
61 	-92.4088	-77.9901	-40.9991 	7.85858
62 	-92.4088	-78.3132	-24.9171 	8.20182
63 	-92.4088	-78.8635	-51.631  	7.20036
64 	-92.4088	-79.2008	-51.7753 	6.96832
65 	-92.4088	-79.3753	-52.8782 	6.81423
66 	-92.4088	-79.729 	-54.71   	6.65582
67 	-92.4088	-79.8779	-48.816  	7.06978
68 	-92.4088	-79.8542	-39.9906 	7.19756
69 	-92.4088	-80.3199	-49.9172 	6.53785
70 	-92.5318	-80.4398	-52.7509 	6.5707 
71 	-92.5318	-80.9309	-56.6038 	6.18479
72 	-92.5318	-81.0654	-52.9013 	6.40309
73 	-92.8494	-81.5577	-48.4515 	6.49234
74 	-92.8494	-81.7546	-58.3645 	5.85004
75 	-92.9217	-81.7744	-60.0855 	6.04316
76 	-92.9217	-81.9627	-60.4591 	5.88943
77 	-93.2933	-82.3637	-62.1176 	5.5009 
78 	-93.2933	-82.4141	-61.3735 	5.91528
79 	-93.9433	-82.6761	-56.0912 	5.91903
80 	-93.9433	-82.8982	-59.1547 	5.48183
81 	-93.9433	-83.0135	-56.7085 	5.55769
82 	-93.9433	-83.2216	-62.8446 	5.20435
83 	-93.9433	-83.626 	-65.7044 	4.97001
84 	-93.9433	-83.7675	-65.7044 	5.03879
85 	-93.9433	-83.8368	-63.6598 	4.92787
86 	-93.9433	-83.9985	-59.3391 	5.08044
87 	-93.9433	-84.1643	-62.2456 	5.24922
88 	-93.9433	-84.4513	-62.4707 	4.97444
89 	-93.9433	-84.5772	-61.416  	4.94618
90 	-93.9433	-84.7818	-63.6306 	4.75437
91 	-93.9433	-84.911 	-65.0236 	4.7258 
92 	-93.9433	-85.0029	-65.9319 	4.88014
93 	-94.6893	-85.164 	-62.2454 	4.8356 
94 	-94.6893	-85.1852	-60.768  	4.72544
95 	-94.6893	-85.3601	-60.768  	4.69746
96 	-94.6893	-85.31  	-69.1966 	4.52832
97 	-94.6893	-85.3614	-63.3676 	4.84483
98 	-94.6893	-85.6169	-63.607  	4.89358
99 	-94.6893	-85.8344	-67.0725 	4.33706
100	-94.6893	-86.0887	-67.368  	4.24861
101	-94.6893	-86.274 	-64.4236 	4.17553
102	-94.6893	-86.5142	-69.2398 	4.02403
103	-94.6893	-86.5288	-69.5594 	3.93219
104	-94.6893	-86.6198	-71.9239 	3.87588
105	-94.6893	-86.7999	-67.2252 	4.07351
106	-94.6893	-86.8907	-67.5762 	3.99653
107	-94.6893	-87.0349	-73.1655 	3.57503
108	-94.6893	-87.0995	-71.509  	3.7001 
109	-94.7137	-87.2499	-74.8675 	3.47167
110	-94.7137	-87.3281	-70.084  	3.65957
111	-94.7137	-87.4112	-70.8708 	3.61349
112	-94.7137	-87.6218	-74.3569 	3.38483
113	-94.9558	-87.7052	-72.0843 	3.51727
114	-94.9558	-87.9185	-71.9273 	3.2738 
115	-94.9558	-87.8721	-76.3873 	3.23362
116	-94.9558	-88.0537	-77.3938 	3.08358
117	-94.9558	-88.1342	-73.2127 	3.15021
118	-94.9558	-88.1476	-75.5257 	3.13412
119	-94.9558	-88.2356	-74.9255 	3.23877
120	-94.9558	-88.3369	-74.3915 	2.99258
121	-94.9558	-88.409 	-77.5396 	2.93902
122	-94.9558	-88.408 	-78.0307 	2.99671
123	-94.9558	-88.3981	-74.5276 	2.91598
124	-94.9558	-88.6552	-79.0299 	2.71822
125	-94.9558	-88.7937	-79.9049 	2.71556
126	-94.9558	-88.8541	-78.3429 	2.74397
127	-94.9558	-88.7648	-73.7749 	2.95664
128	-94.9558	-88.8968	-77.4673 	2.73386
129	-94.9558	-88.9747	-77.5744 	2.72522
130	-94.9558	-89.0455	-80.0565 	2.55063
131	-95.0363	-89.1572	-78.1578 	2.71152
132	-95.1194	-89.1167	-78.6748 	2.67636
133	-95.1194	-89.2689	-78.0462 	2.64104
134	-95.1194	-89.4719	-78.0039 	2.50931
135	-95.1934	-89.3374	-78.9924 	2.60525
136	-95.1934	-89.4866	-79.8308 	2.42092
137	-95.1934	-89.4645	-79.7842 	2.45569
138	-95.1934	-89.5633	-79.5967 	2.40548
139	-95.3771	-89.6712	-80.8135 	2.32134
140	-95.3771	-89.6161	-81.3349 	2.32467
141	-95.3771	-89.6973	-78.0943 	2.43133
142	-95.3771	-89.7828	-80.1485 	2.30457
143	-95.6195	-89.8361	-78.9267 	2.24969
144	-95.6195	-89.8849	-81.4454 	2.30656
145	-95.834 	-89.9081	-80.5961 	2.41939
146	-95.834 	-90.0562	-81.2718 	2.22699
147	-95.834 	-90.1255	-81.8757 	2.16848
148	-95.834 	-90.1095	-82.7235 	2.08488
149	-95.834 	-90.219 	-82.5779 	2.1481 
150	-95.834 	-90.2117	-81.4264 	2.15282
151	-95.834 	-90.2502	-81.953  	2.13749
152	-95.834 	-90.3031	-80.3238 	2.10121
153	-95.834 	-90.3393	-80.5219 	2.03763
154	-95.834 	-90.3707	-78.3068 	2.12647
155	-95.834 	-90.3612	-80.4316 	2.08254
156	-95.834 	-90.4333	-77.9266 	2.15576
157	-96.8432	-90.5265	-83.8714 	1.96927
158	-96.8432	-90.5678	-82.0394 	1.93252
159	-96.8432	-90.5975	-82.0394 	1.95759
160	-96.8432	-90.6985	-82.2871 	1.88141
161	-96.8432	-90.6418	-82.4175 	1.86675
162	-96.8432	-90.8104	-84.0745 	1.86328
163	-96.8432	-90.7364	-84.3466 	1.81492
164	-96.8432	-90.7862	-83.0653 	1.80237
165	-96.8432	-90.8913	-83.6183 	1.75314
166	-96.8432	-90.8281	-81.9742 	1.79429
167	-96.8432	-90.9251	-84.1714 	1.79232
168	-96.8432	-90.9335	-84.8534 	1.63581
169	-96.8432	-91.0286	-84.2081 	1.68048
170	-96.8432	-91.1065	-84.839  	1.58471
171	-96.8432	-91.0674	-85.6234 	1.56385
172	-96.8432	-91.0868	-84.6271 	1.54633
173	-96.8432	-91.0748	-85.3396 	1.582  
174	-96.8432	-91.094 	-85.6388 	1.63196
175	-96.8432	-91.102 	-86.0341 	1.66484
176	-96.8432	-91.211 	-85.3307 	1.62027
177	-96.8432	-91.119 	-85.5958 	1.61936
178	-96.8432	-91.154 	-83.9663 	1.57443
179	-96.8432	-91.1482	-86.4237 	1.5044 
180	-96.8432	-91.2789	-85.5165 	1.59616
181	-96.8432	-91.2565	-85.8007 	1.55506
182	-96.8432	-91.2926	-85.8093 	1.5929 
183	-96.8432	-91.3583	-86.9753 	1.56759
184	-96.8432	-91.3281	-85.7457 	1.52849
185	-96.8432	-91.3802	-86.3795 	1.50184
186	-96.8432	-91.3691	-85.3959 	1.5243 
187	-96.8432	-91.3942	-86.5895 	1.42071
188	-96.8432	-91.44  	-85.7491 	1.49758
189	-96.8432	-91.4473	-85.0577 	1.48795
190	-96.8432	-91.5265	-86.4001 	1.47886
191	-96.8432	-91.479 	-85.4627 	1.49862
192	-96.8432	-91.4581	-86.3416 	1.43422
193	-96.8432	-91.5216	-86.79   	1.43999
194	-96.8432	-91.5968	-87.3486 	1.39714
195	-96.8432	-91.6323	-87.1057 	1.43897
196	-96.8432	-91.5721	-87.2514 	1.47191
197	-96.8432	-91.6103	-85.6585 	1.45304
198	-96.8432	-91.515 	-86.4834 	1.40974
199	-96.8432	-91.6699	-87.1507 	1.41225
Result of algorithm run: SUCCESS, 0, 0, -96.843206, 0
