gen	min    	avg     	max   	std    
0  	-84.754	-40.7694	32.461	19.7992
1  	-84.754	-40.396 	34.6716	19.7167
2  	-84.754	-41.2107	43.1628	20.387 
3  	-84.754	-42.0892	38.7818	20.0241
4  	-84.754	-43.6982	46.6651	19.5519
5  	-84.754	-45.0041	27.7987	19.9344
6  	-84.754	-46.408 	38.8956	19.4437
7  	-84.754	-47.7585	25.1062	18.5486
8  	-84.754	-48.2101	25.5996	18.3728
9  	-84.754	-48.921 	11.6142	17.0339
10 	-84.754	-49.8156	3.29852	16.556 
11 	-85.2221	-51.526 	15.9597	15.9352
12 	-85.2221	-51.5888	10.4321	16.6946
13 	-85.2221	-52.398 	37.6155	17.4427
14 	-85.2221	-52.5619	43.5062	16.6985
15 	-85.2221	-54.6554	4.24508	15.4907
16 	-85.2221	-55.1892	1.90167	15.385 
17 	-88.0953	-55.835 	20.1824	15.9191
18 	-88.0953	-56.7325	25.9677	15.6614
19 	-88.0953	-57.1586	4.33959	15.3476
20 	-88.1663	-57.8538	10.3002	14.7049
21 	-88.1663	-58.839 	-7.34607	14.9502
22 	-88.1663	-59.471 	-7.34607	15.0662
23 	-89.2338	-60.3726	0.806485	15.0399
24 	-89.2338	-61.4299	8.49961 	14.6593
25 	-89.2338	-61.5331	10.7808 	14.8973
26 	-89.2338	-62.4727	-3.32647	13.7714
27 	-89.2694	-63.3161	-1.47173	13.6651
28 	-89.2694	-63.9153	-14.3035	13.4952
29 	-89.2694	-64.4457	-9.94794	13.4165
30 	-89.2694	-64.8725	-0.158011	12.6507
31 	-89.2694	-65.8982	-9.28644 	12.8746
32 	-89.3741	-67.2123	-14.2852 	12.0346
33 	-89.3741	-67.5072	-18.2185 	11.5458
34 	-89.3741	-67.7976	-21.7194 	11.6936
35 	-89.3741	-68.0637	-23.206  	11.1973
36 	-89.3741	-69.1184	-19.4824 	10.8748
37 	-89.3741	-69.2896	-18.1973 	11.3974
38 	-89.3741	-69.1401	-3.60215 	12.1901
39 	-89.3741	-69.4886	-5.01653 	12.1852
40 	-89.88  	-70.3412	-6.93242 	10.6432
