gen	min     	avg     	max    	std    
0  	-78.7814	-38.3713	84.1903	22.5798
1  	-78.7814	-39.7333	32.3795	19.6422
2  	-82.456 	-40.3292	51.8618	19.8609
3  	-82.456 	-40.9381	63.093 	20.9887
4  	-82.456 	-42.2345	52.7193	19.6114
5  	-82.456 	-43.4522	52.7193	19.7387
6  	-82.456 	-43.8071	33.7936	19.6451
7  	-82.456 	-45.7283	17.8782	18.5994
8  	-82.456 	-47.244 	25.7092	19.0344
9  	-82.456 	-48.0536	34.6774	18.6003
10 	-83.5268	-48.5916	22.412 	17.6187
11 	-84.8522	-49.228 	7.19407	16.5846
12 	-84.8522	-50.4118	14.2721	16.8369
13 	-87.0564	-50.7575	21.2329	17.8523
14 	-87.0564	-52.5112	7.41634	16.8123
15 	-87.0564	-53.4444	7.41634	16.063 
16 	-87.0564	-54.2123	15.7884	16.9604
17 	-87.0564	-55.1963	6.1089 	16.5554
18 	-87.0564	-56.3649	10.6195	15.686 
19 	-87.2705	-57.4319	21.4941	15.3212
20 	-87.2705	-58.3131	1.41928	14.632 
21 	-87.9855	-58.6321	-1.67665	14.2905
22 	-87.9855	-58.5857	-2.8839 	14.6634
23 	-87.9855	-59.3764	-3.91391	14.1595
24 	-87.9855	-59.3675	15.225  	16.1805
25 	-89.1848	-60.3129	0.685003	15.0619
26 	-89.1848	-61.7568	1.59437 	13.9722
27 	-89.1848	-62.5367	-7.90399	13.2832
28 	-89.1848	-63.073 	-18.2078	12.7209
29 	-89.1848	-62.892 	8.7974  	14.0131
30 	-89.1848	-64.1964	-23.3342	12.412 
31 	-89.1848	-64.7678	-20.9507	11.4984
32 	-89.1848	-64.9904	-17.2221	11.7401
33 	-89.5283	-65.6707	-17.2221	11.3813
34 	-89.5283	-66.0287	-17.1315	11.4904
35 	-92.4261	-67.1652	-8.36852	10.9073
36 	-92.4261	-67.2285	-14.1058	11.4803
37 	-92.4261	-67.8106	-20.335 	11.3373
38 	-92.4261	-68.572 	-25.969 	11.6252
39 	-92.4261	-69.0963	-26.1975	11.1517
40 	-92.4261	-69.5586	-23.65  	11.4347
41 	-92.4261	-70.2519	-32.4934	10.3871
42 	-92.4261	-70.8312	-30.2156	10.2098
43 	-92.4261	-70.6839	-20.1148	10.6084
44 	-92.4261	-71.366 	-31.9867	10.3402
45 	-92.4261	-71.4506	-20.2175	11.2457
46 	-92.4261	-71.9571	-22.4436	10.5303
47 	-92.4261	-72.2819	-34.8354	9.78726
48 	-92.4261	-73.1214	-26.0901	9.67523
49 	-92.4261	-73.6163	-31.9803	9.63266
50 	-92.4261	-73.7998	-31.6795	9.51646
51 	-92.4261	-74.3093	-30.406 	9.30829
52 	-92.4261	-74.9087	-39.1842	8.83061
53 	-92.4261	-75.1233	-45.8317	8.80142
54 	-92.4261	-75.458 	-44.7671	8.74366
55 	-92.4261	-76.1915	-42.9561	7.93858
56 	-92.4261	-76.2446	-44.3969	8.31048
57 	-92.4261	-76.6684	-40.239 	8.33816
58 	-92.4261	-77.1014	-43.618 	8.21043
59 	-92.4261	-77.3291	-44.6234	7.99738
60 	-92.4261	-77.8061	-47.1268	7.8498 
61 	-92.4261	-78.028 	-48.1271	7.85402
62 	-92.4261	-78.4428	-50.5006	7.44686
63 	-92.4261	-78.8895	-50.1572	7.5404 
64 	-92.4261	-79.127 	-39.369 	8.00937
65 	-92.4261	-79.4411	-47.3532	7.48228
66 	-92.4482	-79.992 	-52.3317	7.27495
