gen	min     	avg    	max   	std    
0  	-79.6775	-38.087	52.797	20.6242
1  	-79.6775	-39.059	44.247	20.1444
2  	-79.6775	-40.4112	53.9616	20.2519
3  	-79.6775	-41.4174	41.342 	20.8885
4  	-81.4631	-42.5639	34.4681	19.2268
5  	-81.4631	-43.4097	32.7865	19.1618
6  	-81.4631	-44.6911	36.2668	18.2157
7  	-81.4631	-45.1971	33.0559	17.8232
8  	-82.8106	-45.7126	21.0726	17.7793
9  	-82.8106	-46.1269	34.4754	19.2526
10 	-82.8106	-47.3206	32.3185	18.4203
11 	-83.6914	-48.1305	18.7085	18.2673
12 	-83.6914	-49.3864	11.8094	17.2763
13 	-84.0015	-50.3951	19.5211	17.1197
14 	-84.6761	-51.6334	19.0076	17.1813
15 	-84.6761	-52.5769	12.5055	16.2861
16 	-84.6761	-52.8714	53.6547	16.3506
17 	-84.6761	-54.3529	-2.22309	15.3407
18 	-84.6761	-54.7689	0.859664	15.7159
19 	-85.6095	-55.0925	13.5097 	17.0169
20 	-88.6087	-55.9389	12.5092 	16.7868
21 	-88.6087	-57.0403	-2.82381	15.5607
22 	-89.0503	-58.0323	-4.38661	14.7999
23 	-89.0503	-58.9364	-1.45912	14.9505
24 	-89.7741	-60.1561	-5.64929	13.9623
25 	-89.7741	-59.7758	12.8549 	15.1776
26 	-89.7741	-60.8312	14.1219 	14.3288
27 	-89.7741	-60.8094	-0.673124	14.1198
28 	-89.7741	-62.3841	2.83292  	13.2837
29 	-89.7741	-62.5277	-14.2716 	13.2749
30 	-90.2144	-62.1277	-20.1891 	13.4949
31 	-90.2144	-63.6645	-11.392  	12.9494
32 	-90.2144	-64.0502	-14.0301 	12.6598
33 	-90.2144	-64.9753	-19.5779 	12.6343
34 	-90.2144	-65.7154	-21.2099 	11.8703
35 	-90.2144	-66.0444	-10.2897 	12.1062
36 	-90.4877	-66.4079	-20.431  	11.8131
37 	-90.4877	-67.2784	-9.37547 	12.0957
38 	-90.4877	-68.092 	-11.3961 	11.8696
39 	-90.4877	-68.5993	7.07992  	12.0337
40 	-90.4877	-69.2088	-25.195  	11.1617
41 	-90.4877	-69.5782	-27.1576 	10.8308
42 	-90.4877	-70.1343	-34.9722 	10.5127
43 	-90.6145	-70.6292	-34.4246 	10.374 
44 	-90.6145	-71.1858	-26.3278 	10.3779
45 	-90.6145	-71.5839	-33.2348 	10.3123
46 	-90.8137	-71.7427	-36.6728 	10.2037
47 	-90.8137	-71.9054	-29.7205 	10.4498
48 	-90.8137	-72.7258	-27.6817 	9.80973
49 	-90.8137	-72.9375	-28.8114 	9.54307
50 	-90.9187	-73.2535	-29.6547 	9.47531
51 	-90.9187	-73.8116	-33.9849 	9.40723
52 	-90.9187	-74.3603	-34.4144 	9.20611
53 	-90.9187	-74.8268	-21.1512 	9.54123
54 	-90.9187	-75.3966	-37.1445 	8.68266
55 	-90.9187	-75.452 	-41.3615 	8.90896
56 	-90.9187	-75.8703	-39.2249 	8.50819
57 	-90.9187	-76.1948	-42.9162 	8.64629
58 	-90.976 	-76.5041	-40.0261 	8.6375 
59 	-90.976 	-77.0609	-47.6726 	7.60884
60 	-92.7256	-77.4598	-49.5161 	7.27488
61 	-92.7256	-77.6108	-45.9844 	7.68074
62 	-92.8182	-77.8711	-45.2792 	8.28164
63 	-92.8182	-77.9208	-39.8317 	8.11838
64 	-92.8182	-78.5366	-45.8184 	7.66486
65 	-93.1193	-78.9633	-54.8721 	7.21521
66 	-93.1193	-79.4475	-53.8927 	7.01744
67 	-93.1193	-79.2194	-39.4477 	7.31556
68 	-93.1193	-79.5316	-45.3839 	7.20166
69 	-93.1193	-80.0827	-50.9953 	6.75095
70 	-93.1193	-80.153 	-53.2235 	6.94064
71 	-93.1193	-80.5606	-56.0452 	6.78457
72 	-93.1193	-80.6886	-55.9355 	6.9282 
73 	-93.1193	-81.0715	-58.5193 	6.4753 
74 	-93.1193	-81.0882	-56.3418 	6.66174
75 	-93.1193	-81.4012	-60.0235 	6.11879
76 	-93.3291	-81.7014	-52.3137 	6.5282 
77 	-93.3291	-81.7809	-55.6628 	6.29821
78 	-93.8553	-82.2241	-57.6828 	6.16999
79 	-93.8553	-82.419 	-51.2382 	6.29937
80 	-93.8553	-82.6654	-47.0421 	6.11012
81 	-93.8553	-82.7971	-56.7785 	6.08026
82 	-93.8553	-83.0813	-59.9726 	5.74651
83 	-93.8553	-83.0916	-54.5099 	6.01571
84 	-93.8553	-83.2519	-60.7367 	5.58652
85 	-93.8553	-83.689 	-60.4599 	5.36022
86 	-93.8553	-83.7831	-62.525  	5.01969
87 	-93.8553	-84.0258	-63.944  	5.00085
88 	-93.8553	-84.1764	-63.2967 	5.18279
89 	-94.0633	-84.4442	-65.5084 	4.88081
90 	-94.0633	-84.404 	-57.1271 	4.91528
91 	-94.0633	-84.7155	-64.3234 	4.73928
92 	-94.0633	-84.8291	-65.1959 	4.84757
93 	-94.0633	-84.983 	-59.5008 	4.93589
94 	-94.0633	-84.9023	-66.2063 	5.0933 
95 	-94.0633	-85.2593	-67.7283 	4.76352
96 	-94.0633	-85.4671	-67.2278 	4.62098
97 	-94.0633	-85.5986	-66.7496 	4.46997
98 	-94.0633	-85.8701	-71.5907 	3.89825
99 	-94.094 	-85.9778	-60.1514 	4.2707 
100	-94.094 	-85.8315	-62.3781 	4.39623
101	-95.5207	-86.0143	-66.1379 	4.45681
102	-95.5207	-86.3333	-64.9749 	4.17571
103	-95.5207	-86.3199	-66.9378 	4.13771
104	-95.5207	-86.5868	-65.1814 	4.16614
105	-95.5207	-86.4943	-65.3083 	4.38728
106	-95.5207	-86.6109	-67.6445 	4.17105
107	-95.5207	-86.7117	-67.6445 	4.12318
108	-95.5207	-86.9057	-66.6681 	3.84205
109	-95.5207	-87.034 	-74.4882 	3.82514
110	-95.5207	-87.2716	-73.6075 	3.71367
111	-95.5207	-87.2932	-68.4472 	3.74509
112	-95.5207	-87.4896	-68.1807 	3.53309
113	-95.5207	-87.7118	-72.1476 	3.42989
114	-95.5207	-87.7067	-67.7058 	3.2659 
115	-95.5207	-87.7911	-70.5305 	3.29257
