gen	min     	avg     	max    	std   
0  	-79.0482	-39.9668	82.4668	21.159
1  	-79.0482	-40.6609	39.7866	19.8026
2  	-79.0482	-42.3828	35.1571	18.1633
3  	-79.0482	-43.3692	32.3141	17.9532
4  	-81.8625	-43.7047	46.9121	18.546 
5  	-84.5631	-44.8218	12.6809	17.6627
6  	-84.5631	-46.7092	29.0282	17.6679
7  	-84.5631	-47.8068	29.1834	17.9511
8  	-84.5631	-48.6126	30.7281	17.7899
9  	-84.5631	-49.0025	8.39345	17.1164
10 	-84.5631	-50.1984	30.5674	17.724 
11 	-84.9679	-50.9705	36.9271	17.8266
12 	-84.9679	-51.2927	27.4216	17.5291
13 	-88.3232	-51.5107	27.4216	17.5059
14 	-88.3232	-53.7794	5.50447	15.543 
15 	-88.3232	-54.8462	15.9842	15.1245
16 	-88.3232	-55.2723	1.34316	14.7739
17 	-88.3232	-56.1719	20.6954	15.6731
18 	-88.3232	-56.8566	20.2058	14.5466
19 	-88.3232	-57.3064	8.43215	14.3823
20 	-88.3232	-58.4866	-10.9677	14.1915
21 	-88.3232	-59.6496	5.30004 	13.8535
22 	-88.3232	-59.6   	-14.2041	13.3492
23 	-88.8178	-60.2312	-5.59176	14.843 
24 	-88.8178	-60.7306	-2.8452 	14.26  
25 	-88.8178	-61.1674	-15.1948	13.8414
26 	-88.8178	-62.3014	-15.7758	12.9242
27 	-88.8178	-62.9296	-8.12446	13.4529
28 	-88.8178	-63.5659	-7.45023	13.2206
29 	-88.8178	-64.3906	-7.61256	12.266 
30 	-89.6648	-65.0379	-14.1202	12.4995
31 	-90.6947	-65.2771	-14.1202	12.3169
32 	-90.6947	-66.1603	-18.7099	11.662 
33 	-90.6947	-66.4867	-20.2253	12.0587
34 	-90.6947	-66.9624	-25.3275	11.8842
35 	-90.6947	-67.4192	-16.3917	11.9992
36 	-90.6947	-67.6153	-19.2123	12.649 
37 	-90.6947	-68.6087	-22.2403	10.7793
38 	-90.6947	-68.9905	-28.7792	10.5024
39 	-90.6947	-69.1743	-27.8326	10.7938
40 	-90.6947	-69.8607	-31.5993	10.484 
41 	-90.6947	-69.9216	-30.6714	11.1583
42 	-90.6947	-70.312 	-25.1357	11.4434
43 	-90.6947	-71.193 	-27.7433	10.7885
44 	-92.0542	-71.4792	-25.8276	10.3928
45 	-92.0542	-72.1111	-31.5667	9.97788
46 	-92.0542	-72.7943	-37.9403	9.25743
47 	-92.0542	-73.3655	-36.0126	9.29299
48 	-92.0542	-73.5052	-38.2983	9.0451 
49 	-92.0542	-73.0562	-27.6978	10.3217
50 	-92.0542	-73.8851	-38.3258	9.2978 
51 	-92.8268	-74.4148	-39.5188	9.08784
52 	-92.8268	-74.7267	-42.0199	8.99444
53 	-92.8268	-75.1938	-42.3647	8.75657
54 	-92.8268	-75.9025	-46.2455	8.18754
55 	-92.8268	-76.1304	-37.567 	8.5161 
