gen	min    	avg   	max    	std    
0  	330.258	590.16	822.299	88.1042
1  	298.766	586.053	819.761	91.4763
2  	298.766	582.193	826.021	90.5465
3  	297.411	577.883	872.143	90.5042
4  	297.411	573.414	819.488	90.2452
5  	291.3  	569.056	854.489	89.0312
6  	288.477	564.626	832.539	88.6837
7  	288.477	559.614	829.174	87.5159
8  	260.492	555.337	835.731	88.4121
9  	254.849	551.11 	823.737	89.243 
10 	254.849	546.517	797.695	90.9061
11 	254.849	542.828	794.716	90.5025
12 	254.849	538.309	811.785	91.7836
13 	254.849	534.706	804.994	88.4449
14 	254.849	530.995	778.339	87.0298
15 	254.849	527.368	752.616	84.7878
16 	254.849	523.759	746.715	86.5871
17 	244.027	521.04 	760.956	82.9178
18 	244.027	517.635	729.444	80.1526
19 	244.027	513.75 	752.635	83.1756
20 	244.027	509.929	757.547	85.9419
21 	235.778	506.194	761.783	82.648 
22 	235.778	502.824	718.261	84.1701
23 	235.778	499.692	742.589	86.0108
24 	235.778	495.695	742.589	85.321 
25 	235.778	492.371	750.25 	84.7724
26 	235.778	489.031	693.806	82.1066
27 	235.778	486.065	727.18 	79.4582
28 	207.082	483.004	720.434	80.9606
29 	207.082	479.322	708.967	83.3285
30 	207.082	476.003	692.993	81.4625
31 	207.082	472.955	688.989	78.8301
32 	207.082	470.289	697.144	78.3843
33 	207.082	467.648	694.101	80.689 
34 	207.082	464.806	718.906	78.7762
35 	207.082	462.066	711.281	80.8769
36 	207.082	459.3  	730.039	79.5888
37 	207.082	456.504	657.72 	78.1845
38 	207.082	454.156	692.815	76.8792
39 	207.082	451.122	697.466	76.3603
40 	207.082	447.793	697.466	76.6688
41 	207.082	445.496	646.989	73.9115
42 	207.082	441.879	661.327	73.0085
43 	207.082	438.97 	661.932	75.858 
44 	207.082	435.976	621.559	72.8382
45 	207.082	433.154	626.071	72.8895
46 	207.082	429.978	638.792	72.0853
47 	207.082	427.082	637.807	74.8846
48 	207.082	423.728	655.467	74.1733
49 	207.082	420.712	643.495	73.2018
50 	207.082	418.269	666.58 	73.6328
51 	207.082	415.401	614.898	70.7203
52 	207.082	413.315	584.757	70.2172
53 	207.082	410.78 	584.417	70.0827
54 	200.515	408.242	606.503	68.743 
55 	200.515	405.627	586.697	67.0412
56 	200.515	403.139	625.179	70.3037
57 	200.515	400.569	591.06 	69.7269
58 	200.515	398.166	625.567	69.389 
59 	200.515	395.574	606.921	68.7134
60 	182.883	393.313	602.848	68.4268
61 	182.883	390.864	593.315	68.7076
62 	182.883	388.45 	559.303	68.1763
63 	168.933	385.997	553.915	68.3565
64 	168.933	383.794	546.89 	66.8047
65 	168.933	381.244	573.382	66.6307
66 	168.933	378.983	591.683	66.0462
67 	168.933	376.937	593.449	61.956 
68 	168.933	374.401	578.446	61.8475
69 	168.933	372.534	558.137	60.7747
70 	168.933	370.356	534.068	63.0413
71 	168.933	368.082	531.63 	62.3836
72 	168.933	365.739	562.828	63.8678
73 	168.933	364.008	563.334	64.1366
74 	168.933	362.221	525.924	61.0777
75 	168.933	360.509	522.525	58.1986
76 	168.933	358.88 	554.735	58.2872
77 	157.543	357.402	523.226	55.9021
78 	157.543	355.925	521.039	56.0203
79 	157.543	354.028	529.202	56.711 
80 	157.543	352.056	507.958	57.3509
81 	157.543	350.019	502.692	57.0071
82 	157.543	347.885	500.502	58.9895
83 	157.543	346.186	493.891	61.2124
84 	157.543	344.161	498.944	57.1605
85 	157.543	342.749	502.764	55.7029
86 	157.543	340.913	517.497	56.0557
87 	157.543	338.785	509.205	55.8606
88 	157.543	337.362	502.023	56.1991
89 	157.543	335.89 	497.045	52.9184
90 	157.543	334.269	497.045	53.8922
91 	157.543	332.65 	500.772	51.6004
92 	157.543	331.167	477.213	52.9805
93 	157.543	329.644	488.875	53.6847
94 	157.543	328.11 	464.541	52.6272
95 	157.543	326.759	484.903	53.1731
96 	157.543	325.101	473.538	50.8988
97 	157.543	323.85 	470.193	51.1744
98 	157.543	322.594	486.776	53.4139
99 	157.543	321.215	471.471	52.9685
100	157.543	319.543	473.739	52.6085
