gen	min  	avg    	max    	std    
0  	283.6	581.078	847.248	96.4043
1  	283.6	576.707	861.638	93.2232
2  	283.6	571.854	847.248	94.3374
3  	283.6	567.84 	849.114	89.6773
4  	279.802	564.3  	818.881	89.1624
5  	258.921	558.844	810.256	90.9718
6  	258.921	555.244	784.866	88.6871
7  	258.921	551.272	804.935	89.3249
8  	258.921	546.877	786.22 	85.5936
9  	258.921	542.279	784.993	84.0739
10 	258.921	538.17 	778.753	86.2525
11 	258.921	533.179	756.188	83.4197
12 	258.921	529.805	779.671	81.9781
13 	258.921	526.273	759.541	85.2463
14 	258.921	522.573	755.91 	86.1518
15 	258.921	518.652	739.374	82.5805
16 	258.921	515.624	750.008	82.0191
17 	258.921	512.606	742.166	81.7563
18 	258.921	508.233	730.292	83.4008
19 	258.921	505.231	730.565	81.2878
20 	258.921	502.078	734.814	81.6587
21 	258.921	497.559	751.478	83.5257
22 	253.507	493.579	718.187	82.2154
23 	253.507	490.396	708.988	81.374 
24 	247.769	486.16 	720.671	82.801 
25 	247.769	482.722	735.157	83.968 
26 	230.184	479.111	713.693	80.8197
27 	227.243	475.41 	700.359	78.9273
28 	227.243	472.588	687.974	80.4427
29 	227.243	469.003	684.317	81.344 
30 	225.77 	465.697	701.634	82.7492
31 	225.77 	462.741	723.962	81.5701
32 	225.77 	459.409	717.019	80.8147
33 	225.77 	455.624	685.813	81.1603
34 	225.77 	452.538	681.088	80.3335
35 	225.77 	449.846	671.475	76.5849
36 	221.06 	447.437	664.319	76.2446
37 	221.06 	444.999	635.576	76.1182
38 	221.06 	441.687	681.566	74.7564
39 	221.06 	438.669	679.73 	74.1855
40 	221.06 	436.372	653.6  	71.1245
41 	214.999	433.453	619.166	71.4213
42 	214.999	430.379	629.763	71.6533
43 	211.213	427.8  	657.837	71.3301
44 	211.213	425.268	654.008	68.1564
45 	211.213	422.75 	630.538	69.1029
46 	211.213	419.898	639.576	71.2711
47 	211.213	417.513	608.663	67.6443
48 	211.213	414.362	617.609	68.2264
49 	211.213	412.108	619.963	70.7245
50 	211.213	409.546	629.49 	69.3847
51 	211.213	406.279	608.475	70.4608
52 	211.213	403.421	603.648	73.0624
53 	211.213	400.898	604.268	68.276 
54 	211.213	398.222	592.109	66.8056
55 	211.213	395.929	591.627	68.2517
56 	211.213	393.502	600.236	67.2355
57 	211.213	391.536	607.522	68.312 
58 	211.213	389.063	581.767	66.4541
59 	211.213	386.44 	588.99 	67.2725
60 	211.213	384.394	563.31 	63.0852
61 	211.213	382.107	548.64 	63.5502
62 	203.685	379.804	563.504	62.1412
63 	195.025	377.509	530.927	60.4232
64 	195.025	375.518	549.296	60.0901
65 	195.025	373.907	541.521	59.1624
66 	195.025	371.483	543.258	61.8668
67 	195.025	369.784	560.524	61.6983
68 	195.025	367.904	538.044	60.7129
69 	195.025	366.199	526.121	58.4399
70 	195.025	364.441	533.204	59.9859
71 	190.691	362.616	530.642	59.8162
72 	187.691	360.889	527.328	58.9711
73 	186.931	358.338	539.893	59.1878
74 	186.931	355.874	560.597	57.0936
75 	186.931	354.208	540.835	56.8819
76 	186.931	351.843	517.814	57.6127
77 	186.931	349.597	502.91 	57.9487
78 	186.931	347.96 	503.53 	58.0458
79 	179.302	346.079	540.171	59.7487
80 	179.302	344.55 	529.305	58.9808
81 	179.302	342.754	503.329	56.0628
82 	177.464	340.766	512.945	55.7347
83 	177.464	339.089	500.229	53.7587
84 	177.464	337.713	493.721	54.0864
85 	177.464	336.29 	492.038	54.2564
86 	177.464	334.587	486.973	51.9552
87 	177.464	332.47 	492.901	52.6953
88 	177.464	331.122	475.912	52.7164
89 	177.464	329.238	483.319	51.8708
90 	177.464	327.871	467.435	52.0616
91 	177.464	326.306	469.579	49.6275
92 	177.464	324.858	467.4  	48.6063
93 	177.464	323.386	472.787	50.6147
94 	177.464	321.978	470.408	51.9642
95 	177.464	320.118	481.088	53.1317
96 	177.464	318.875	481.088	51.0932
97 	177.464	317.006	482.49 	49.8247
98 	177.464	315.547	486.603	50.5686
99 	177.464	314.078	477.428	50.1106
100	177.464	312.417	465.446	50.1228
101	177.464	311.236	481.734	49.0542
102	177.464	309.923	464.911	47.9596
103	177.464	308.423	456.002	48.0131
104	177.464	307.053	453.006	47.7963
105	177.464	305.911	444.601	46.608 
106	177.464	305.032	459.772	46.0634
107	177.464	304.141	440.639	45.2405
108	177.464	302.64 	440.066	45.8493
109	177.464	301.694	443.824	46.3784
110	171.605	300.198	447.994	46.1374
111	171.605	299.194	446.818	46.3139
112	168.624	297.873	441.46 	44.9654
113	168.624	296.555	440.405	42.7817
114	165.432	294.821	419.974	42.3261
115	165.432	293.843	412.69 	42.1161
116	164.212	292.396	402.557	39.812 
117	164.212	291.717	422.454	41.5576
118	164.212	290.856	440.487	42.4463
119	164.212	290.035	411.879	41.5502
120	164.212	289.163	390.507	41.0231
121	164.212	288.282	410.096	40.3366
122	160.25 	287.443	404.301	41.3332
123	160.25 	286.5  	406.409	40.3863
124	160.25 	285.396	420.878	40.9007
125	160.25 	284.373	414.856	40.9404
126	160.25 	283.525	402.994	39.4763
127	160.25 	282.605	399.981	38.7367
128	160.25 	281.727	408.028	38.279 
129	160.25 	280.718	406.918	39.5019
130	160.25 	279.897	391.775	39.6508
131	160.25 	279.244	400.473	37.5754
132	155.908	278.353	385.998	37.1961
133	149.013	277.687	382.714	39.775 
134	149.013	276.079	387.164	37.8802
135	149.013	275.456	381.974	38.1293
136	149.013	274.725	388.951	37.9705
137	149.013	273.858	407.218	38.2744
138	149.013	273.036	381.297	37.8404
139	149.013	272.314	380.042	37.6036
140	149.013	271.366	380.593	38.7651
141	149.013	270.479	377.572	37.5595
142	148.889	269.971	363.739	37.051 
143	148.889	269.465	369.62 	35.8883
144	148.889	268.651	374.434	36.5055
145	148.889	267.936	375.518	35.2633
146	148.889	267.386	374.645	35.9381
147	148.889	266.341	376.748	35.1639
148	148.889	265.71 	368.582	35.5736
149	148.889	265.125	367.946	33.8724
150	148.334	264.452	352.948	34.7066
151	148.334	263.842	359.18 	33.2243
152	148.334	263.272	362.921	33.3552
153	148.334	262.584	371.519	33.5884
154	148.334	262.117	378.302	32.8971
155	148.334	261.521	378.302	31.9271
156	148.334	260.909	378.956	31.8075
157	148.334	260.151	364.911	31.4736
158	148.334	259.637	355.492	31.9219
159	148.334	259.086	367.618	32.2323
160	146.836	258.274	388.338	32.2131
161	146.836	257.511	363.774	31.297 
162	146.836	256.922	352.535	31.4172
163	146.836	256.293	352.206	31.2398
164	144.883	255.81 	355.311	31.2861
165	144.883	254.961	348.741	31.2259
166	144.883	254.324	360.416	31.1447
167	144.883	253.689	343.88 	30.0059
168	144.883	253.331	355.019	29.345 
169	144.883	252.32 	352.761	29.7761
170	144.883	251.97 	346.28 	29.0158
171	144.883	251.562	349.49 	28.7748
172	144.883	250.959	340.069	30.0919
173	144.883	250.388	349    	29.2546
174	144.883	249.759	337.069	29.9925
175	144.883	249.135	337.391	29.3387
176	144.883	248.656	336.905	28.4326
177	144.883	248.259	331.882	27.801 
178	144.883	247.684	341.325	27.7029
179	144.883	247.077	328.032	27.5322
180	144.883	246.536	323.992	27.017 
181	144.883	246.065	323.992	27.8271
182	144.883	245.602	322.337	27.5919
183	144.883	245.145	314.775	26.997 
184	144.883	244.789	324.756	28.2043
185	144.883	244.391	335.444	27.8413
186	144.883	243.877	327.369	27.9388
187	144.883	243.508	317.708	26.4711
188	142.674	243.004	321.429	27.2198
189	142.674	242.59 	325.316	27.0036
190	142.674	242.127	342.688	28.1883
191	142.674	241.575	313.83 	27.8308
192	142.674	241.1  	326.925	28.6104
193	142.674	240.728	326.925	27.9548
194	142.674	240.408	325.148	27.7194
195	142.674	240.086	322.689	26.9257
196	142.674	239.573	324.23 	26.1501
197	142.674	239.264	317.133	25.8279
198	142.674	238.763	315.384	24.9848
199	142.674	238.266	313.811	23.5625
Result of algorithm run: SUCCESS, 0, 0, 142.673549, 0
