gen	min   	avg   	max   	std   
0  	127018	394304	943814	136061
1  	87758.5	389926	975117	137816
2  	87758.5	386161	979350	134323
3  	87758.5	381198	924796	134001
4  	87758.5	377188	864650	131968
5  	87758.5	373945	745459	131854
6  	84389.1	370259	725527	131970
7  	52975.1	364648	786716	126667
8  	52975.1	361282	734398	125869
9  	52975.1	356801	683755	120540
10 	52975.1	352654	673489	119123
11 	52975.1	350307	665092	117301
12 	41897.8	345913	707352	120402
13 	41897.8	341186	673357	123462
14 	41897.8	336020	688080	121308
15 	41897.8	331075	725234	120340
16 	41897.8	326016	716333	120651
17 	41897.8	322165	678627	122452
18 	41897.8	319066	681242	122179
19 	41897.8	315655	653869	117973
20 	41897.8	311653	696894	116705
21 	41897.8	307030	708628	115708
22 	41897.8	303732	740926	113419
23 	41897.8	299985	640596	110945
24 	33015.8	297259	606884	109758
25 	33015.8	293445	760301	113046
26 	33015.8	290128	690363	113489
27 	33015.8	287334	663268	110787
28 	33015.8	283573	662582	109079
29 	33015.8	280166	751750	109637
30 	33015.8	275193	641988	108119
31 	33015.8	272771	614978	105314
32 	33015.8	269895	668164	110340
33 	33015.8	266809	667493	108443
34 	33015.8	263791	675770	106143
35 	33015.8	260927	625436	104730
36 	26362.5	257198	622602	103519
37 	26362.5	255428	619245	105460
38 	26362.5	252848	613338	105270
39 	26362.5	249696	584367	103353
40 	24400.9	246560	578618	100679
41 	24400.9	243282	552382	102536
42 	24400.9	240442	552382	100258
43 	24400.9	238880	533088	96480.3
44 	24400.9	236315	526967	97115.2
45 	24400.9	232643	647259	101124 
46 	24400.9	229552	588634	99428.6
47 	24400.9	226255	566493	98998.2
48 	24400.9	223025	507358	95086.4
49 	24400.9	219871	518485	93442.7
50 	24400.9	217339	486238	90185  
51 	24400.9	215207	475145	89052.1
52 	24400.9	212902	494718	91806.2
53 	24400.9	211229	477644	89032.9
54 	24400.9	208482	519345	92830.8
55 	24400.9	205407	499701	90035.6
56 	24400.9	202772	499961	89927.3
57 	24400.9	200377	502420	88058.5
58 	23476.4	197662	474922	87245.2
59 	23476.4	194818	454302	82983.8
60 	23476.4	192882	473888	81915.5
61 	19239.4	190510	496979	84279.1
62 	19239.4	188399	424784	82006  
63 	19239.4	185891	514090	84332  
64 	19239.4	183799	414266	81058.3
65 	19239.4	181721	459781	82318  
66 	19239.4	179893	469607	83398.7
