gen	min    	avg   	max   	std   
0  	98474.8	405483	890729	132996
1  	93960.5	398901	891269	134781
2  	83398  	393803	876954	135828
3  	52143.2	389246	857010	134500
4  	52143.2	384545	809632	132156
5  	52143.2	378961	783442	130757
6  	52143.2	373987	797691	131289
7  	52143.2	368811	762678	132221
8  	52143.2	363551	831023	127631
9  	52143.2	359124	741277	128985
10 	52143.2	354038	765747	128147
11 	52143.2	349397	762412	129336
12 	36244.7	344689	747415	126994
13 	36244.7	340595	783500	126268
14 	31490.2	337807	701661	123482
15 	31490.2	334260	695393	123069
16 	26578.3	327785	651936	116819
17 	26578.3	324817	642666	118187
18 	26578.3	319892	770928	119942
19 	26578.3	316339	720160	117063
20 	26578.3	312175	738232	117458
21 	26578.3	308115	609885	112319
22 	26578.3	303344	646464	117090
23 	26578.3	299424	631044	112900
24 	23784.5	294280	630730	112061
25 	17514.5	291509	626269	113338
26 	17514.5	288617	632817	113500
27 	17496.4	284779	646307	112024
28 	17496.4	281236	628477	114772
29 	17113.8	277862	649067	114749
30 	14146.7	273775	649067	115462
31 	14146.7	270146	614369	109296
32 	14146.7	267000	594790	108062
33 	14146.7	264534	592445	104782
34 	14146.7	260474	614299	104517
35 	14146.7	257673	587641	106265
36 	14146.7	254958	568074	104124
37 	14146.7	252066	597585	103941
38 	14146.7	249810	567222	105639
39 	14146.7	246911	555617	104393
40 	14146.7	244137	534037	102049
41 	14146.7	240313	540693	100037
42 	14146.7	237951	525526	96878.4
43 	14146.7	234435	535999	92864.5
44 	14146.7	233211	522614	93804.5
45 	14146.7	230065	574425	95349.9
46 	14146.7	227710	545749	93236.6
47 	14146.7	224497	514970	92421.1
48 	14146.7	221633	494913	91557.4
49 	14146.7	218571	500353	93528.8
50 	14146.7	216037	475205	90623.7
51 	14146.7	212623	519576	92075.5
52 	14146.7	209839	495980	90416.5
53 	14146.7	207393	498614	89379.8
54 	14146.7	205012	495964	87128.5
55 	14146.7	203065	491499	85693.6
56 	14146.7	200285	518196	85740.2
57 	10692.8	197505	483335	83981.2
58 	10692.8	194854	457668	83191.4
59 	10692.8	193167	461398	85698  
60 	10692.8	190317	461398	87199.6
61 	10692.8	188333	452360	86982.9
62 	10692.8	186150	431896	86326.4
63 	10692.8	183853	437129	83947.6
64 	10692.8	181136	436692	81225.1
65 	10692.8	178800	431876	80985.3
66 	10692.8	175788	436979	81245.6
67 	10692.8	172992	456078	79199.5
68 	10692.8	170880	440935	80486.6
69 	10692.8	169037	445778	80011.3
70 	10692.8	167054	398930	76889.5
71 	10692.8	164548	407599	75395  
72 	10692.8	162283	383060	73861.7
73 	10692.8	160123	398430	73134.2
74 	10692.8	158136	421540	73478.2
75 	10692.8	156793	428131	73798.4
76 	9704.71	155270	420697	72869.2
77 	8324.1 	153679	406743	73340.8
78 	8141.97	152302	419164	71512  
79 	8136   	150742	381492	70713.8
80 	8136   	148444	362401	71419.4
81 	8136   	146810	361240	69096.1
82 	8136   	144525	361240	68145.6
83 	8136   	143349	359986	68267.1
84 	8136   	141078	363367	67699.5
85 	8136   	139366	342013	65869.7
86 	8136   	137897	341520	66972  
87 	8136   	136910	337524	65572.2
88 	8136   	135672	336644	65843.6
89 	8136   	134027	387776	66898.5
90 	8136   	132041	349270	64998  
91 	8136   	130030	403617	65081.7
92 	8136   	128857	360766	63318.7
93 	8136   	127873	336440	61363.1
94 	8136   	126379	333335	62286.7
95 	8136   	124557	338947	62103  
96 	8136   	122828	313201	59740.6
97 	8136   	121453	313895	60922.2
98 	8136   	119757	313648	57557.6
99 	8135.77	118894	296130	57245  
100	8135.77	117940	298940	55983.4
101	6963.62	116345	338244	55455.8
102	6963.62	114690	338149	54460.5
103	6963.62	114025	312098	54634.9
104	6963.62	112354	287795	52337.4
105	6963.62	110659	303390	52644.6
106	6963.62	109703	291911	52671.2
107	6963.62	108927	285748	52886.6
108	6963.62	107912	293808	54170.1
109	6963.62	107215	270988	52931.9
110	6963.62	105821	272327	53329.3
111	6963.62	104369	294045	52129.9
112	6963.62	103220	277899	52656.4
113	6963.62	102269	283699	51419.5
114	6963.62	101519	300423	49511.2
115	6963.62	100308	281590	49007.1
116	6963.62	99103.6	281590	49598.6
117	6963.62	98406.3	283580	50279.8
118	6963.62	97544.5	282189	51065.6
119	6963.62	96159.4	259817	49619.9
120	6963.62	95193.6	265776	48391.5
121	6959.49	94504.3	265920	47013.4
122	6955.82	93749.8	266167	46288.4
123	6955.82	93012.7	252194	45969.9
124	6955.82	91959.8	241827	44876.2
125	6955.82	91130.4	242733	44265.2
126	6955.82	90074.8	240902	44337.1
127	6955.82	89182.5	262121	43224.4
128	6955.82	88667  	240601	43229.7
129	6955.82	87394.2	252376	43609.2
130	6955.82	86480  	243963	42668.9
131	6955.82	85691.1	230468	43121.3
132	6955.82	85040.5	230468	42389.7
133	6955.82	83937.5	217115	42083.2
134	6955.82	83355.4	233234	43694.7
135	6955.82	82829.9	250650	43718.3
136	6955.82	82006.2	229444	41671.6
137	6955.82	80875.4	250529	41593.4
138	6955.82	80307.3	211921	39861.8
139	6955.82	79443.8	215330	39107.9
140	6955.82	78492.5	215908	38437.2
141	6955.82	77777.3	209763	38706.1
142	6955.82	76915.3	202018	38456  
143	6955.82	75730.3	198110	38268.6
144	6955.68	74806.3	198417	36155.4
145	6955.68	74222.2	203424	36506.8
146	6955.68	73756.2	211630	36901.4
147	6955.68	72851.7	233377	35710.9
148	6955.68	72150.3	213261	36834.7
149	5719.67	71209.4	204813	35923.2
150	5719.67	70497.3	202934	35156.7
151	5719.67	69704.1	212415	34699.7
152	5719.67	69173.1	209541	33825.4
153	5719.65	68363.4	176907	32207.4
154	5719.65	67593.8	189266	31516.3
155	5719.65	66844.8	198253	31248.8
156	5190.65	65956.8	199729	31522.4
157	5190.65	65392.8	217941	31539.7
158	5190.65	64823.1	180599	31185.1
159	5190.65	64343.8	179146	30551.9
160	5190.65	63835  	183321	29510.5
161	5190.65	63134  	209671	28946.1
162	5190.65	62448  	199771	28379.5
163	5190.65	61729.5	168012	27855.1
164	5190.65	61321.9	174046	28437.1
165	5190.65	60881  	160045	28380  
166	5143.41	60342.3	168591	28557.7
167	5143.41	59857.9	168027	28753.4
168	5143.41	59321.1	157401	26732  
169	5143.41	58811  	152469	26474.1
170	5143.41	58202.2	153883	25690.4
171	5143.41	57864.4	147851	25200.4
172	5143.41	57396.4	153923	25843.4
173	5143.41	56983.3	148617	25002.8
174	5143.41	56601.6	145653	24564.5
175	5143.41	56157  	146399	25420.6
176	5143.41	55758.5	138570	25325.7
177	5143.41	55319.8	134409	23956.9
178	5143.41	55132.7	134409	24298.3
179	5143.41	54634.4	135631	23876.3
180	5143.41	54286.2	144816	24026.2
181	5143.41	54117.5	134922	23405.1
182	5143.41	53805.7	140338	23742.5
183	5143.41	53289.5	141918	22443.7
184	5143.41	52988.7	131302	21753.3
185	5143.41	52393  	140460	21629.9
186	5143.41	52152  	126722	21862.3
187	5143.41	51658  	136647	21688.2
188	5143.41	51190.4	133464	21074.2
189	5143.41	50812.9	140935	21471.1
190	5143.41	50358.3	144771	20403.1
191	5143.41	49903.4	126253	20674.9
192	5143.41	49707.5	119928	20383.1
193	5143.41	49432.5	129575	20603.8
194	5143.41	49168.3	119508	20478.4
195	5143.41	48944.6	137475	19929.7
196	5143.41	48523.6	120148	19951.7
197	5143.41	48209  	117485	19602  
198	5143.41	48115.2	108928	19378.8
199	5143.41	47750.6	116104	19155  
Result of algorithm run: SUCCESS, 0, 0, 5143.410516, 0
