gen	min  	avg   	max   	std   
0  	99022	399583	961237	135281
1  	99022	394506	823166	132944
2  	99022	389017	765118	129961
3  	99022	385604	857423	128814
4  	84876.2	379111	804636	125538
5  	84876.2	375163	801554	122616
6  	84876.2	370505	766280	124478
7  	84876.2	367575	779320	122206
8  	66160.5	364467	775698	118704
9  	66160.5	360870	674443	115618
10 	64579.2	355864	675616	115829
11 	64579.2	351062	659120	113266
12 	64579.2	346079	649683	115536
13 	64579.2	341570	695238	115009
14 	64579.2	337135	657033	112374
15 	63156  	333710	698348	114714
16 	63156  	330119	677617	111926
17 	63156  	326484	729743	113347
18 	63156  	322999	711284	112832
19 	32257.9	318693	622880	112531
20 	32257.9	315018	617854	109630
21 	32257.9	312493	684197	115065
22 	32257.9	307403	638578	108934
23 	32257.9	303199	613005	107967
24 	32257.9	298692	617522	106039
25 	32257.9	295197	628917	102868
26 	32257.9	292512	653375	108226
27 	32257.9	289884	585808	105770
28 	32257.9	284447	587094	103167
29 	28678.4	280512	588371	104391
30 	28678.4	277733	658118	105971
31 	28678.4	273818	651874	106144
32 	28678.4	269942	616364	104606
33 	28678.4	266498	607046	100054
34 	28678.4	263493	545945	101961
35 	28678.4	260875	581678	106503
36 	26396.7	257020	604586	108187
37 	19328.7	253892	533437	100959
38 	15021.4	250434	531360	101608
39 	15021.4	246925	551157	97729.2
40 	15021.4	244206	513103	97433.2
41 	15021.4	241390	521883	96237.2
42 	15021.4	237431	540937	93916.8
43 	15021.4	234597	494283	93829.9
44 	15021.4	231105	483512	93826.5
45 	15021.4	228533	483512	93897.3
46 	15021.4	224514	481880	93097.7
47 	15021.4	221347	474703	91775.6
48 	15021.4	218921	470993	89667.5
49 	15021.4	215273	499181	89543.8
50 	15021.4	212756	499181	89128.8
51 	15021.4	210226	469527	90131.8
52 	15021.4	206818	468210	85451.7
53 	15021.4	204481	442163	86325.6
54 	15021.4	201457	499519	84184.6
55 	15021.4	198346	446764	83231.5
56 	12763.8	196472	431903	83427.8
57 	12763.8	194582	432981	83939.7
58 	12763.8	191052	420972	84226.2
59 	12763.8	189310	455930	81794.4
60 	12763.8	187066	467926	84346.6
61 	12763.8	184891	454078	82345.6
62 	12763.8	182576	439689	80754.7
63 	12763.8	180070	438296	81326.5
64 	12763.8	177867	481107	78310.8
65 	12763.8	175834	424942	78377.4
66 	12763.8	173461	473861	78226.6
67 	12763.8	170581	453027	77082.7
68 	12763.8	168586	409492	74829.5
69 	12763.8	166507	394283	75470.9
70 	10544.1	164724	429776	77589.8
71 	10544.1	163113	451381	76341.5
72 	10544.1	160733	406813	74460.3
73 	10544.1	158534	398183	71727.4
74 	10544.1	156524	404683	71780.8
75 	10544.1	155180	375128	72204.2
76 	10544.1	153974	383386	71702.1
77 	10544.1	152182	400333	73038.5
78 	10544.1	150401	382509	73330.3
79 	10544.1	148386	382741	72952.2
