gen	min    	avg    	max    	std     
0  	120.709	126.788	127.298	0.612485
1  	120.709	126.736	127.277	0.700601
2  	120.553	126.756	127.306	0.65148 
3  	120.553	126.73 	127.282	0.675062
4  	120.553	126.703	127.284	0.708358
5  	120.553	126.735	127.301	0.61198 
6  	120.553	126.703	127.278	0.637059
7  	120.553	126.685	127.308	0.619945
8  	120.553	126.635	127.288	0.718951
9  	120.553	126.6  	127.276	0.788929
10 	120.553	126.583	127.284	0.80513 
11 	117.236	126.505	127.299	0.967582
12 	117.236	126.531	127.253	0.881274
13 	117.236	126.466	127.265	0.977455
14 	117.236	126.431	127.268	0.950906
15 	117.236	126.385	127.231	1.01332 
16 	117.236	126.384	127.248	0.964715
17 	117.236	126.404	127.251	0.935476
18 	117.236	126.39 	127.259	0.904787
19 	117.236	126.364	127.279	0.920887
20 	117.236	126.372	127.268	0.911902
21 	116.68 	126.307	127.262	1.02194 
22 	116.68 	126.341	127.213	1.05407 
23 	116.68 	126.351	127.288	0.928078
24 	116.68 	126.3  	127.246	1.02813 
25 	116.68 	126.289	127.257	0.916475
26 	116.68 	126.236	127.208	1.06565 
27 	116.68 	126.227	127.229	1.02237 
28 	116.68 	126.193	127.211	0.991681
29 	116.68 	126.088	127.211	1.21171 
30 	116.68 	126.115	127.224	1.15808 
31 	116.68 	126.103	127.224	1.09813 
32 	116.68 	126.113	127.212	1.10339 
33 	116.68 	126.079	127.161	1.04332 
34 	116.68 	126.036	127.214	1.07568 
35 	116.68 	125.993	127.184	1.15792 
36 	116.68 	125.946	127.159	1.2226  
37 	116.68 	125.92 	127.199	1.14611 
38 	116.68 	125.863	127.19 	1.20264 
39 	116.68 	125.914	127.158	1.1494  
40 	116.68 	125.832	127.186	1.23706 
41 	116.68 	125.857	127.135	1.16546 
42 	116.68 	125.861	127.142	1.11773 
43 	116.68 	125.85 	127.178	1.15911 
44 	116.68 	125.899	127.146	1.14077 
45 	116.68 	125.831	127.146	1.21475 
46 	116.68 	125.74 	127.106	1.26104 
47 	116.68 	125.69 	127.119	1.29513 
48 	116.68 	125.607	127.074	1.29656 
49 	113.829	125.626	127.108	1.37047 
50 	113.829	125.627	127.136	1.27378 
51 	113.829	125.566	127.062	1.43973 
52 	112.825	125.565	127.105	1.53123 
53 	112.825	125.557	127.088	1.36793 
54 	112.825	125.563	127.115	1.3298  
55 	112.825	125.506	127.073	1.31865 
56 	112.825	125.443	127.077	1.37956 
57 	112.825	125.451	127.082	1.3769  
58 	111.642	125.374	127.06 	1.56263 
59 	111.642	125.316	127.073	1.60526 
60 	111.642	125.323	127.053	1.47831 
61 	111.642	125.309	127.146	1.39356 
62 	111.642	125.305	127.041	1.40894 
63 	111.642	125.184	127.102	1.44821 
64 	111.642	125.193	126.99 	1.4795  
65 	111.642	125.151	126.987	1.48353 
66 	111.642	125.134	127.106	1.62976 
67 	111.642	125.075	127.06 	1.66599 
68 	111.642	125.059	127.025	1.56    
69 	111.642	124.958	126.992	1.76959 
70 	111.642	124.963	126.928	1.72488 
71 	111.642	124.929	126.9  	1.59011 
72 	111.642	124.857	126.972	1.68444 
73 	111.642	124.825	126.954	1.60309 
74 	111.642	124.847	126.919	1.68268 
75 	111.642	124.818	126.919	1.69605 
76 	111.311	124.847	126.978	1.67624 
77 	111.311	124.766	126.91 	1.72395 
78 	111.311	124.732	126.819	1.72735 
79 	111.311	124.648	126.862	1.74343 
80 	111.311	124.622	126.869	1.69397 
81 	111.311	124.624	126.837	1.66065 
82 	111.311	124.63 	126.8  	1.6158  
83 	111.311	124.648	126.744	1.70192 
84 	111.311	124.59 	126.773	1.69296 
85 	111.311	124.559	126.887	1.61293 
86 	111.311	124.54 	126.932	1.79743 
87 	111.311	124.429	126.807	1.98761 
88 	111.311	124.36 	126.767	1.87356 
89 	111.311	124.269	126.809	1.93818 
90 	111.311	124.278	126.768	1.80783 
91 	111.311	124.246	126.7  	1.82892 
92 	111.311	124.176	126.779	1.89002 
93 	111.311	124.23 	126.61 	1.82673 
94 	111.311	124.239	126.812	1.76099 
95 	111.311	124.253	126.816	1.8047  
96 	111.311	124.191	126.772	1.86875 
97 	109.482	124.084	126.78 	1.93823 
98 	109.482	124.059	126.778	1.98041 
99 	109.482	123.994	126.589	2.02931 
100	109.482	123.991	126.636	1.90482 
101	109.482	123.979	126.624	1.90156 
102	109.482	123.884	126.646	2.01078 
103	109.482	123.84 	126.667	1.97821 
104	109.482	123.843	126.477	2.02174 
105	109.482	123.772	126.722	2.0262  
106	109.482	123.723	126.717	2.03743 
107	109.482	123.663	126.55 	2.03379 
108	109.482	123.679	126.583	2.02081 
109	109.482	123.756	126.607	1.939   
