gen	min    	avg   	max    	std     
0  	123.196	126.84	127.316	0.444937
1  	120.86 	126.75	127.307	0.608389
2  	120.86 	126.752	127.301	0.574407
3  	120.86 	126.717	127.296	0.625322
4  	120.86 	126.758	127.287	0.562885
5  	120.86 	126.733	127.311	0.544177
6  	120.86 	126.718	127.293	0.567838
7  	120.86 	126.69 	127.279	0.607841
8  	120.86 	126.669	127.274	0.607702
9  	120.86 	126.609	127.299	0.722378
10 	120.86 	126.628	127.279	0.656135
11 	118.962	126.556	127.282	0.849727
12 	118.962	126.538	127.279	0.774362
13 	118.962	126.552	127.282	0.770373
14 	118.609	126.528	127.269	0.818649
15 	118.609	126.5  	127.272	0.861448
16 	118.609	126.453	127.275	0.87957 
17 	118.609	126.434	127.237	0.85083 
18 	118.609	126.405	127.243	0.85598 
19 	118.609	126.364	127.248	0.923972
20 	118.609	126.367	127.216	0.900127
21 	118.609	126.34 	127.258	0.944004
22 	118.609	126.33 	127.199	0.929325
23 	118.609	126.325	127.235	0.887547
24 	118.334	126.272	127.233	0.976654
25 	118.334	126.221	127.25 	1.01295 
26 	118.11 	126.187	127.202	1.071   
27 	118.11 	126.179	127.204	1.01152 
28 	117.945	126.117	127.222	1.16706 
29 	117.945	126.091	127.266	1.19633 
30 	116.554	126.086	127.265	1.21169 
31 	116.554	126.045	127.223	1.21978 
32 	116.554	126.028	127.212	1.2082  
33 	115.593	126.042	127.191	1.17744 
34 	115.593	126.117	127.218	1.02863 
35 	115.593	126.07 	127.213	1.01536 
36 	115.593	126.044	127.19 	0.996556
37 	115.593	125.982	127.213	1.06425 
38 	115.593	125.906	127.153	1.25627 
39 	115.593	125.946	127.149	1.18841 
40 	115.593	125.921	127.183	1.20637 
41 	115.593	125.918	127.167	1.04787 
42 	115.593	125.824	127.129	1.13517 
43 	115.593	125.771	127.201	1.23894 
44 	110.859	125.745	127.125	1.43089 
45 	110.859	125.707	127.242	1.3748  
46 	110.859	125.627	127.176	1.51135 
47 	110.859	125.678	127.134	1.36333 
48 	110.859	125.625	127.158	1.46709 
49 	110.859	125.601	127.185	1.41816 
50 	110.859	125.584	127.158	1.42813 
51 	110.859	125.563	127.09 	1.5017  
52 	110.859	125.569	127.133	1.50828 
53 	110.859	125.484	127.101	1.54685 
54 	110.859	125.526	127.121	1.31304 
55 	110.859	125.426	127.096	1.46135 
56 	110.859	125.339	127.056	1.57474 
57 	110.859	125.261	127.056	1.70425 
58 	110.859	125.211	127.006	1.69087 
59 	110.859	125.24 	127.066	1.5083  
60 	109.627	125.084	127.065	1.79715 
61 	109.627	125.211	127.005	1.647   
62 	109.627	125.232	127.001	1.59453 
63 	109.627	125.191	126.951	1.66244 
64 	109.627	125.18 	126.983	1.625   
65 	109.627	125.122	126.985	1.70706 
66 	109.071	125.111	126.911	1.7937  
67 	109.071	125.085	126.98 	1.69788 
68 	109.071	125.082	127.033	1.69471 
69 	109.071	125.033	127.021	1.81377 
70 	109.071	124.969	126.995	1.70702 
71 	109.071	124.901	126.995	1.85745 
72 	109.071	124.83 	127.022	1.85984 
73 	109.071	124.841	127.016	1.78717 
74 	109.071	124.811	127.028	1.73253 
75 	109.071	124.781	126.918	1.74011 
76 	109.071	124.748	127.053	1.7928  
77 	109.071	124.692	126.87 	1.81699 
78 	109.071	124.627	127.041	1.82812 
79 	109.071	124.603	126.895	2.00769 
