gen	min     	avg     	max     	std    
0  	-917.887	-913.702	-913.441	0.33806
1  	-917.887	-913.734	-913.446	0.407967
2  	-918.461	-913.75 	-913.447	0.450079
3  	-918.461	-913.776	-913.453	0.503669
4  	-920.196	-913.781	-913.449	0.519487
5  	-920.196	-913.786	-913.454	0.536756
6  	-920.196	-913.782	-913.454	0.496422
7  	-920.196	-913.817	-913.457	0.499615
8  	-920.196	-913.828	-913.458	0.484921
9  	-920.196	-913.842	-913.452	0.547186
10 	-920.196	-913.841	-913.456	0.505471
11 	-920.196	-913.859	-913.452	0.509486
12 	-920.196	-913.894	-913.458	0.599279
13 	-920.196	-913.882	-913.458	0.563255
14 	-920.224	-913.898	-913.453	0.617451
15 	-920.224	-913.933	-913.455	0.647052
16 	-920.807	-913.944	-913.459	0.661922
17 	-920.807	-913.988	-913.459	0.707192
18 	-920.807	-913.997	-913.457	0.703315
19 	-920.807	-913.99 	-913.454	0.641644
20 	-920.807	-914.009	-913.462	0.65174 
21 	-920.807	-914.031	-913.469	0.690246
22 	-920.807	-914.047	-913.487	0.729434
23 	-920.807	-914.058	-913.466	0.70407 
24 	-920.807	-914.093	-913.49 	0.768223
25 	-920.807	-914.104	-913.483	0.788411
26 	-920.807	-914.136	-913.484	0.806163
27 	-920.807	-914.112	-913.491	0.743964
28 	-923.212	-914.167	-913.489	0.869657
29 	-923.212	-914.157	-913.472	0.802844
30 	-923.212	-914.184	-913.471	0.84688 
31 	-923.212	-914.218	-913.477	0.971283
32 	-923.212	-914.184	-913.498	0.812895
33 	-923.212	-914.23 	-913.479	0.929911
34 	-923.212	-914.275	-913.485	0.944037
35 	-924.267	-914.328	-913.493	1.04421 
36 	-924.267	-914.327	-913.503	1.01032 
37 	-924.267	-914.404	-913.494	1.08651 
38 	-924.267	-914.408	-913.513	1.06714 
39 	-924.267	-914.398	-913.503	1.02765 
40 	-924.267	-914.428	-913.485	1.05101 
41 	-924.267	-914.427	-913.5  	0.970262
42 	-924.267	-914.445	-913.499	0.978018
43 	-924.267	-914.49 	-913.499	1.09424 
44 	-924.267	-914.482	-913.51 	1.00196 
45 	-924.267	-914.498	-913.515	1.0053  
46 	-924.267	-914.513	-913.517	0.99388 
47 	-924.267	-914.564	-913.541	1.1986  
48 	-924.267	-914.645	-913.531	1.24805 
49 	-924.267	-914.635	-913.518	1.16517 
50 	-924.267	-914.642	-913.514	1.10129 
51 	-924.267	-914.654	-913.508	1.08072 
52 	-924.267	-914.699	-913.529	1.12808 
53 	-924.267	-914.75 	-913.575	1.23    
54 	-924.267	-914.737	-913.527	1.16396 
55 	-924.267	-914.755	-913.563	1.2547  
56 	-924.397	-914.792	-913.578	1.32044 
57 	-924.397	-914.773	-913.559	1.09691 
58 	-924.397	-914.795	-913.588	1.08338 
59 	-924.397	-914.815	-913.611	1.08676 
60 	-924.397	-914.868	-913.611	1.1413  
61 	-924.397	-914.935	-913.588	1.19929 
62 	-924.397	-914.988	-913.599	1.20957 
63 	-924.397	-915.015	-913.611	1.31254 
64 	-924.397	-915.039	-913.601	1.27501 
65 	-924.399	-915.082	-913.649	1.40965 
66 	-924.437	-915.077	-913.621	1.35582 
67 	-924.437	-915.072	-913.605	1.28764 
68 	-924.437	-915.069	-913.632	1.2558  
69 	-924.437	-915.102	-913.62 	1.29072 
70 	-924.437	-915.118	-913.609	1.31026 
71 	-924.437	-915.176	-913.672	1.35071 
72 	-924.437	-915.168	-913.687	1.26924 
73 	-924.437	-915.162	-913.632	1.17013 
74 	-924.437	-915.243	-913.655	1.31919 
75 	-924.437	-915.271	-913.619	1.40448 
76 	-924.437	-915.321	-913.623	1.41081 
77 	-924.437	-915.34 	-913.603	1.37116 
78 	-924.437	-915.406	-913.611	1.45873 
79 	-925.354	-915.439	-913.628	1.50296 
80 	-927.186	-915.455	-913.692	1.5662  
81 	-927.186	-915.472	-913.673	1.65217 
82 	-927.186	-915.501	-913.668	1.52958 
83 	-927.186	-915.524	-913.635	1.54815 
84 	-927.581	-915.558	-913.739	1.56237 
85 	-927.581	-915.62 	-913.722	1.63171 
86 	-927.581	-915.621	-913.715	1.56141 
87 	-928.116	-915.641	-913.74 	1.66088 
88 	-928.116	-915.668	-913.708	1.549   
89 	-928.116	-915.697	-913.695	1.51728 
90 	-928.667	-915.754	-913.715	1.65724 
91 	-928.667	-915.778	-913.775	1.63345 
92 	-928.667	-915.798	-913.816	1.68036 
93 	-928.667	-915.834	-913.784	1.64078 
94 	-928.667	-915.85 	-913.803	1.62058 
95 	-928.925	-915.898	-913.763	1.67274 
96 	-928.925	-915.923	-913.749	1.60207 
97 	-928.925	-915.973	-913.856	1.72073 
98 	-928.925	-915.998	-913.819	1.72188 
99 	-928.925	-916.022	-913.819	1.69396 
100	-928.925	-916.084	-913.811	1.79807 
101	-928.925	-916.091	-913.823	1.77545 
102	-928.925	-916.095	-913.909	1.60504 
103	-930.933	-916.155	-913.949	1.77654 
104	-930.933	-916.175	-913.866	1.78219 
105	-930.933	-916.228	-913.866	1.81692 
106	-932.247	-916.267	-913.734	1.91224 
107	-932.247	-916.315	-913.734	1.82247 
108	-932.247	-916.326	-913.823	1.84009 
109	-932.247	-916.342	-913.92 	1.83624 
110	-932.247	-916.404	-913.967	1.75282 
111	-932.247	-916.418	-914.035	1.8724  
112	-932.247	-916.449	-914.008	1.8272  
113	-932.247	-916.451	-913.882	1.79648 
114	-932.247	-916.503	-913.937	1.84561 
115	-932.247	-916.508	-913.833	1.7228  
116	-932.247	-916.586	-913.881	1.84533 
117	-932.247	-916.597	-913.796	1.78568 
118	-932.247	-916.631	-913.851	1.83862 
119	-932.451	-916.702	-913.991	1.89576 
120	-932.451	-916.693	-913.991	1.88324 
121	-932.451	-916.691	-913.992	1.83818 
122	-932.451	-916.747	-913.939	1.84018 
123	-932.451	-916.799	-914.08 	1.96949 
124	-932.451	-916.793	-914.071	1.86811 
125	-932.451	-916.868	-913.91 	2.02727 
126	-932.451	-916.926	-913.939	2.09582 
127	-932.451	-916.913	-913.974	1.95781 
128	-932.451	-916.98 	-914.086	2.06568 
129	-932.451	-916.99 	-914.056	1.95344 
130	-932.451	-917.039	-914.087	1.94845 
131	-932.451	-917.063	-914.123	1.9694  
132	-932.451	-917.098	-914.306	1.96763 
133	-932.451	-917.107	-914.24 	1.90307 
134	-932.451	-917.14 	-914.226	1.90445 
135	-932.451	-917.181	-914.067	1.95812 
136	-932.451	-917.249	-914.158	2.0305  
137	-932.451	-917.295	-914.221	2.0757  
138	-932.451	-917.306	-914.258	2.1103  
139	-932.451	-917.307	-913.85 	2.03876 
140	-932.451	-917.293	-914.23 	1.96378 
141	-932.451	-917.336	-914.165	2.09437 
142	-932.557	-917.321	-914.595	2.08925 
143	-932.557	-917.324	-914.314	2.03267 
144	-932.557	-917.373	-914.3  	2.0589  
145	-932.557	-917.419	-914.254	2.05292 
146	-932.557	-917.409	-914.442	1.91252 
147	-932.557	-917.43 	-914.326	1.97505 
148	-932.557	-917.531	-914.369	2.11507 
149	-932.557	-917.558	-914.39 	1.9915  
150	-932.557	-917.54 	-914.465	1.94934 
151	-932.557	-917.571	-914.465	2.0063  
152	-932.557	-917.606	-914.173	2.05645 
153	-932.557	-917.633	-914.474	2.0728  
154	-932.557	-917.638	-914.474	1.96416 
155	-932.557	-917.677	-914.507	1.98515 
156	-932.557	-917.711	-914.317	2.03256 
157	-932.557	-917.738	-914.457	2.03118 
158	-932.557	-917.762	-914.522	2.01824 
159	-932.557	-917.782	-914.522	2.0403  
160	-932.557	-917.815	-914.609	2.11036 
161	-932.557	-917.862	-914.401	2.03506 
162	-932.557	-917.864	-914.496	1.94697 
163	-932.557	-917.913	-914.569	2.04796 
164	-932.557	-917.975	-914.603	2.10104 
165	-932.557	-917.967	-914.542	1.98156 
166	-932.557	-918    	-914.635	1.99036 
167	-933.134	-918.02 	-914.407	2.12223 
168	-933.134	-918.016	-914.848	1.97329 
169	-933.134	-918.077	-914.728	2.12729 
170	-933.134	-918.082	-914.818	2.0785  
171	-933.134	-918.128	-914.846	2.07103 
172	-933.134	-918.151	-914.726	2.16357 
173	-933.134	-918.19 	-914.538	2.13534 
174	-933.134	-918.194	-914.748	2.12633 
175	-933.134	-918.213	-914.776	2.13836 
176	-933.289	-918.243	-914.697	2.13075 
177	-933.289	-918.247	-914.776	2.06384 
178	-933.914	-918.324	-914.459	2.24071 
179	-933.914	-918.289	-914.784	2.07833 
180	-933.914	-918.328	-914.865	2.04985 
181	-933.914	-918.358	-915.02 	2.08041 
182	-933.914	-918.38 	-914.994	2.07176 
183	-933.914	-918.395	-915.132	2.05586 
184	-933.914	-918.438	-914.955	2.12328 
185	-933.914	-918.46 	-915.1  	2.10148 
186	-933.914	-918.488	-914.987	2.13871 
187	-933.914	-918.492	-914.984	2.07762 
188	-933.914	-918.513	-915.089	2.04993 
189	-933.914	-918.552	-914.919	2.03242 
190	-933.914	-918.583	-914.939	2.13233 
191	-933.914	-918.624	-915.147	2.16313 
192	-933.914	-918.596	-914.966	2.01893 
193	-933.914	-918.605	-915.156	1.97705 
194	-933.914	-918.63 	-915.09 	1.92335 
195	-933.914	-918.688	-915.123	2.09526 
196	-933.914	-918.713	-915.021	2.08922 
197	-933.914	-918.735	-915.201	2.09666 
198	-933.914	-918.772	-915.281	2.05844 
199	-933.914	-918.809	-915.512	2.14739 
Result of algorithm run: SUCCESS, 0, 0, -933.914128, 0
