gen	min   	avg     	max     	std     
0  	-921.6	-913.779	-913.448	0.566402
1  	-921.6	-913.747	-913.448	0.467117
2  	-921.6	-913.783	-913.452	0.568956
3  	-921.6	-913.818	-913.452	0.619238
4  	-921.6	-913.816	-913.454	0.573025
5  	-921.6	-913.821	-913.451	0.582194
6  	-923.458	-913.861	-913.449	0.75136 
7  	-923.458	-913.885	-913.455	0.876899
8  	-923.458	-913.878	-913.455	0.74754 
9  	-923.632	-913.919	-913.453	0.806817
10 	-926.942	-913.942	-913.453	0.941533
11 	-926.942	-913.916	-913.455	0.776132
12 	-926.942	-913.939	-913.454	0.774323
13 	-926.942	-913.953	-913.46 	0.822637
14 	-926.942	-914.012	-913.463	0.941754
15 	-926.942	-914.035	-913.46 	1.0169  
16 	-926.942	-914.045	-913.461	1.01684 
17 	-926.942	-914.064	-913.465	1.17907 
18 	-926.942	-914.098	-913.462	1.1715  
19 	-926.942	-914.093	-913.461	0.963722
20 	-926.942	-914.089	-913.459	0.959254
21 	-926.942	-914.093	-913.476	0.893657
22 	-926.942	-914.092	-913.476	0.849377
23 	-926.942	-914.14 	-913.481	1.00219 
24 	-926.942	-914.171	-913.469	1.11862 
25 	-926.942	-914.147	-913.472	0.911984
26 	-926.942	-914.154	-913.487	0.932622
27 	-926.942	-914.193	-913.48 	0.948256
28 	-926.942	-914.234	-913.495	1.00775 
29 	-926.942	-914.233	-913.494	0.954502
30 	-926.942	-914.279	-913.507	1.08733 
31 	-926.942	-914.304	-913.516	1.13286 
32 	-926.942	-914.311	-913.486	1.02482 
33 	-926.942	-914.323	-913.487	0.986751
34 	-926.942	-914.397	-913.487	1.17427 
35 	-926.942	-914.366	-913.499	1.14171 
36 	-926.942	-914.396	-913.499	1.11352 
37 	-926.942	-914.395	-913.511	1.10682 
38 	-926.942	-914.345	-913.513	1.03365 
39 	-926.942	-914.414	-913.501	1.09589 
40 	-926.942	-914.437	-913.508	1.06646 
41 	-926.942	-914.456	-913.531	1.03293 
42 	-926.942	-914.517	-913.524	1.18824 
43 	-926.942	-914.493	-913.524	1.04864 
44 	-926.942	-914.557	-913.55 	1.1177  
45 	-926.942	-914.553	-913.55 	1.14728 
46 	-927.141	-914.612	-913.527	1.24881 
47 	-927.602	-914.617	-913.547	1.29458 
48 	-927.602	-914.677	-913.519	1.3788  
49 	-928.45 	-914.674	-913.51 	1.30889 
50 	-928.45 	-914.691	-913.532	1.20575 
51 	-928.45 	-914.717	-913.565	1.19804 
52 	-928.45 	-914.746	-913.541	1.2248  
53 	-928.45 	-914.763	-913.564	1.26575 
54 	-928.45 	-914.771	-913.611	1.32097 
55 	-928.45 	-914.791	-913.597	1.19314 
56 	-928.45 	-914.819	-913.585	1.26769 
57 	-929.71 	-914.878	-913.583	1.36459 
58 	-929.71 	-914.89 	-913.578	1.42332 
59 	-930.149	-914.974	-913.578	1.61026 
60 	-932.088	-915.003	-913.607	1.60616 
61 	-932.088	-915.016	-913.613	1.66685 
62 	-932.088	-915.026	-913.632	1.52134 
63 	-932.088	-915.053	-913.639	1.48088 
64 	-932.088	-915.056	-913.589	1.48997 
65 	-932.743	-915.086	-913.592	1.57792 
66 	-933.116	-915.166	-913.61 	1.72524 
67 	-933.116	-915.199	-913.651	1.71327 
68 	-933.116	-915.219	-913.583	1.76969 
69 	-933.116	-915.27 	-913.601	1.69914 
70 	-933.116	-915.278	-913.632	1.67668 
71 	-933.116	-915.295	-913.645	1.59313 
72 	-933.116	-915.35 	-913.716	1.57484 
73 	-933.116	-915.369	-913.669	1.75335 
74 	-933.116	-915.384	-913.68 	1.6958  
75 	-933.116	-915.413	-913.589	1.67099 
76 	-933.116	-915.425	-913.716	1.62839 
77 	-933.116	-915.516	-913.771	1.7014  
78 	-933.116	-915.551	-913.683	1.7334  
79 	-933.116	-915.593	-913.71 	1.73659 
80 	-933.116	-915.633	-913.733	1.818   
81 	-933.116	-915.672	-913.699	1.94287 
82 	-933.116	-915.673	-913.647	1.84029 
83 	-933.116	-915.704	-913.677	1.86038 
84 	-933.116	-915.769	-913.652	1.86114 
85 	-933.116	-915.82 	-913.77 	1.95575 
86 	-933.116	-915.756	-913.796	1.76493 
87 	-933.116	-915.818	-913.71 	1.81015 
88 	-933.116	-915.828	-913.702	1.78383 
89 	-933.116	-915.871	-913.698	1.81644 
90 	-933.116	-915.911	-913.777	1.88127 
91 	-933.116	-915.951	-913.81 	1.84943 
92 	-933.116	-915.97 	-913.782	1.7902  
93 	-933.116	-916.017	-913.75 	1.86495 
94 	-933.116	-916.013	-913.764	1.77774 
95 	-933.116	-916.064	-913.736	1.95378 
96 	-933.116	-916.097	-913.837	1.85008 
97 	-933.116	-916.156	-913.772	1.99961 
98 	-933.116	-916.212	-913.806	1.98034 
99 	-933.116	-916.211	-913.844	1.99393 
100	-933.116	-916.246	-913.948	1.92076 
101	-933.116	-916.275	-913.823	1.90804 
102	-933.116	-916.347	-913.862	2.03191 
103	-933.116	-916.381	-913.786	1.95132 
104	-933.116	-916.408	-913.867	1.92172 
105	-933.116	-916.441	-913.965	2.05051 
106	-933.116	-916.455	-913.88 	2.06728 
107	-933.116	-916.492	-913.865	1.93859 
108	-933.116	-916.499	-913.88 	1.90787 
109	-933.116	-916.581	-913.856	2.00574 
110	-933.116	-916.532	-913.925	1.83821 
111	-933.116	-916.59 	-913.941	1.94562 
112	-933.116	-916.636	-913.886	2.0711  
113	-934.04 	-916.738	-914.034	2.15817 
114	-935.191	-916.763	-914.012	2.24447 
115	-935.191	-916.805	-914.056	2.10066 
116	-935.191	-916.803	-914.102	2.12695 
117	-935.191	-916.847	-914.102	2.17401 
118	-935.195	-916.88 	-914.243	2.21302 
119	-935.195	-916.86 	-914.161	1.92984 
120	-935.195	-916.901	-914.261	2.03395 
121	-935.195	-916.981	-914.151	2.10319 
122	-935.195	-917.012	-914.15 	2.17031 
123	-935.195	-917.03 	-913.982	2.03218 
124	-935.195	-917.056	-914.143	2.03478 
125	-935.195	-917.068	-914.129	2.09172 
126	-935.195	-917.099	-914.151	2.07758 
127	-935.529	-917.131	-914.167	2.22301 
128	-935.529	-917.153	-914.442	2.18091 
129	-935.529	-917.162	-914.193	2.16288 
130	-935.529	-917.229	-914.019	2.22115 
131	-935.529	-917.271	-914.286	2.24258 
132	-935.529	-917.251	-914.322	2.0559  
133	-935.529	-917.322	-914.504	2.12139 
134	-935.529	-917.405	-914.31 	2.14346 
135	-935.529	-917.427	-914.213	2.10416 
136	-935.643	-917.511	-914.305	2.31185 
137	-935.643	-917.494	-914.403	2.08479 
138	-935.643	-917.525	-914.403	2.18852 
139	-935.643	-917.583	-914.181	2.15686 
140	-936.378	-917.616	-914.418	2.21387 
141	-936.378	-917.641	-914.418	2.22567 
142	-936.378	-917.684	-914.377	2.34486 
143	-936.378	-917.676	-914.459	2.20962 
144	-936.378	-917.711	-914.288	2.23956 
145	-936.378	-917.741	-914.288	2.33322 
146	-936.378	-917.763	-914.436	2.14497 
147	-936.378	-917.843	-914.436	2.16651 
148	-936.378	-917.872	-914.597	2.24703 
149	-936.378	-917.891	-914.513	2.20873 
150	-936.378	-917.909	-914.471	2.16096 
151	-936.378	-917.925	-914.494	2.1198  
152	-936.378	-917.952	-914.655	2.14869 
153	-936.378	-917.985	-914.619	2.15177 
154	-936.378	-918.032	-914.633	2.22414 
155	-936.378	-918.067	-914.666	2.28978 
156	-936.378	-918.079	-914.624	2.33364 
157	-936.378	-918.119	-914.637	2.30299 
158	-936.378	-918.16 	-914.488	2.28098 
159	-937.348	-918.209	-914.735	2.29454 
160	-937.348	-918.256	-914.735	2.3019  
161	-937.348	-918.252	-914.748	2.12493 
162	-938.8  	-918.292	-914.348	2.25996 
163	-938.8  	-918.331	-914.611	2.2292  
164	-938.8  	-918.348	-914.667	2.18902 
165	-938.8  	-918.381	-914.98 	2.22285 
166	-938.8  	-918.378	-914.556	2.15463 
167	-938.8  	-918.442	-914.967	2.19025 
168	-938.8  	-918.452	-915    	2.14626 
169	-938.8  	-918.459	-915.082	2.12396 
170	-938.8  	-918.471	-914.863	2.16488 
171	-938.8  	-918.519	-915.219	2.21525 
172	-938.8  	-918.577	-914.884	2.24664 
173	-938.8  	-918.575	-914.922	2.27004 
174	-938.8  	-918.612	-914.893	2.26325 
175	-938.8  	-918.617	-914.886	2.12822 
176	-938.8  	-918.656	-915.047	2.16226 
177	-938.8  	-918.667	-914.363	2.06401 
178	-938.8  	-918.702	-915.172	2.19092 
179	-938.8  	-918.738	-915.267	2.32171 
180	-938.8  	-918.785	-914.835	2.16214 
181	-938.8  	-918.802	-914.993	2.19943 
182	-938.8  	-918.83 	-915.157	2.2408  
183	-938.8  	-918.86 	-914.989	2.27662 
184	-938.8  	-918.921	-915.216	2.36087 
185	-938.8  	-918.961	-915.09 	2.43895 
186	-938.8  	-919.006	-915.244	2.44498 
187	-938.8  	-919.001	-915.328	2.36901 
188	-938.8  	-919.001	-915.327	2.25029 
189	-938.8  	-919.025	-915.437	2.2952  
190	-938.8  	-919.038	-915.149	2.20467 
191	-938.8  	-919.079	-915.318	2.27269 
192	-938.8  	-919.097	-915.151	2.23099 
193	-938.8  	-919.108	-915.327	2.16812 
194	-938.8  	-919.149	-915.238	2.2265  
195	-938.8  	-919.155	-914.877	2.15671 
196	-938.8  	-919.167	-915.512	2.13601 
197	-938.8  	-919.191	-915.445	2.15076 
198	-938.8  	-919.219	-915.566	2.24421 
199	-938.8  	-919.25 	-915.565	2.25195 
Result of algorithm run: SUCCESS, 0, 0, -938.800130, 0
