gen	min    	avg     	max     	std     
0  	-918.09	-913.694	-913.444	0.343054
1  	-918.09	-913.727	-913.441	0.416302
2  	-918.09	-913.732	-913.443	0.392303
3  	-918.329	-913.76 	-913.441	0.444437
4  	-918.329	-913.752	-913.445	0.454481
5  	-918.329	-913.768	-913.448	0.451097
6  	-918.329	-913.759	-913.451	0.41651 
7  	-918.329	-913.778	-913.453	0.488028
8  	-918.329	-913.78 	-913.447	0.461162
9  	-918.329	-913.794	-913.452	0.450325
10 	-918.329	-913.818	-913.453	0.450192
11 	-918.329	-913.824	-913.453	0.492882
12 	-918.329	-913.852	-913.455	0.525701
13 	-918.329	-913.853	-913.456	0.485883
14 	-918.62 	-913.869	-913.46 	0.521034
15 	-918.706	-913.873	-913.457	0.522677
16 	-920.005	-913.885	-913.456	0.567016
17 	-920.005	-913.909	-913.463	0.564142
18 	-920.005	-913.95 	-913.463	0.598385
19 	-920.005	-913.958	-913.459	0.560361
20 	-923.689	-913.97 	-913.468	0.688468
21 	-923.689	-913.968	-913.467	0.698608
22 	-923.689	-914.015	-913.461	0.743672
23 	-923.689	-914.019	-913.471	0.734547
24 	-923.689	-914.048	-913.474	0.741324
25 	-923.689	-914.067	-913.461	0.803501
26 	-923.689	-914.06 	-913.466	0.748652
27 	-923.689	-914.081	-913.469	0.793421
28 	-924.492	-914.109	-913.465	0.857672
29 	-924.492	-914.101	-913.454	0.824213
30 	-924.492	-914.113	-913.487	0.769826
31 	-924.492	-914.114	-913.477	0.839417
32 	-924.492	-914.156	-913.484	0.866389
33 	-924.492	-914.203	-913.482	1.06316 
34 	-924.492	-914.243	-913.475	0.948315
35 	-927.054	-914.277	-913.472	1.09126 
36 	-927.054	-914.262	-913.492	1.03421 
37 	-927.054	-914.296	-913.474	1.09546 
38 	-927.054	-914.302	-913.482	0.992502
39 	-927.054	-914.352	-913.475	1.02572 
40 	-927.054	-914.327	-913.494	1.04    
41 	-927.054	-914.376	-913.483	1.15766 
42 	-927.054	-914.395	-913.51 	1.13122 
43 	-927.054	-914.411	-913.497	1.08267 
44 	-927.054	-914.406	-913.519	1.13667 
45 	-927.054	-914.446	-913.532	1.25876 
46 	-927.054	-914.479	-913.513	1.25151 
47 	-927.165	-914.484	-913.507	1.29102 
48 	-927.165	-914.481	-913.511	1.11074 
49 	-927.165	-914.532	-913.531	1.21674 
50 	-927.165	-914.491	-913.53 	1.06185 
51 	-927.165	-914.564	-913.533	1.15336 
52 	-927.165	-914.566	-913.52 	1.21753 
53 	-927.165	-914.601	-913.548	1.16699 
54 	-927.165	-914.65 	-913.549	1.22428 
55 	-927.165	-914.688	-913.558	1.33603 
56 	-927.165	-914.687	-913.53 	1.27777 
57 	-927.165	-914.719	-913.531	1.35377 
58 	-927.165	-914.736	-913.554	1.26728 
59 	-927.165	-914.798	-913.541	1.34093 
60 	-927.165	-914.805	-913.568	1.32574 
61 	-927.165	-914.772	-913.554	1.20092 
62 	-927.165	-914.785	-913.558	1.18755 
63 	-928.203	-914.872	-913.542	1.35217 
64 	-928.43 	-914.901	-913.541	1.50478 
65 	-929.385	-914.913	-913.542	1.44301 
66 	-929.385	-914.967	-913.579	1.50364 
67 	-929.385	-915.037	-913.588	1.54657 
68 	-929.385	-915.04 	-913.637	1.48703 
69 	-929.385	-915.038	-913.526	1.45405 
70 	-929.385	-915.122	-913.586	1.64737 
71 	-929.385	-915.091	-913.551	1.48949 
72 	-929.385	-915.1  	-913.625	1.46441 
73 	-929.385	-915.128	-913.613	1.53735 
74 	-929.385	-915.198	-913.613	1.55186 
75 	-929.385	-915.243	-913.614	1.47564 
76 	-929.385	-915.262	-913.63 	1.45877 
77 	-929.385	-915.297	-913.647	1.5041  
78 	-929.385	-915.35 	-913.658	1.59297 
79 	-929.385	-915.39 	-913.634	1.66513 
80 	-929.385	-915.412	-913.6  	1.58841 
81 	-929.385	-915.375	-913.603	1.47032 
82 	-929.385	-915.38 	-913.676	1.53473 
83 	-929.385	-915.398	-913.668	1.47533 
84 	-929.385	-915.464	-913.691	1.55134 
85 	-929.385	-915.502	-913.654	1.66031 
86 	-931.121	-915.536	-913.712	1.725   
87 	-931.121	-915.562	-913.699	1.66041 
88 	-931.121	-915.564	-913.665	1.6873  
89 	-931.121	-915.644	-913.712	1.64623 
90 	-931.121	-915.641	-913.72 	1.66066 
91 	-931.121	-915.686	-913.677	1.73779 
92 	-931.121	-915.755	-913.69 	1.85592 
93 	-931.121	-915.774	-913.751	1.83949 
94 	-931.121	-915.799	-913.742	1.83912 
95 	-931.121	-915.84 	-913.759	1.84878 
96 	-931.121	-915.815	-913.774	1.74693 
97 	-931.121	-915.869	-913.832	1.70642 
98 	-931.121	-915.887	-913.793	1.78733 
99 	-931.29 	-915.919	-913.792	1.88707 
100	-931.29 	-915.911	-913.79 	1.8288  
101	-931.29 	-915.998	-913.848	1.88925 
102	-931.29 	-916.008	-913.759	1.85425 
103	-931.29 	-915.983	-913.762	1.86499 
104	-931.29 	-916.086	-913.819	1.89149 
105	-931.29 	-916.086	-913.862	1.76226 
106	-931.29 	-916.089	-913.817	1.72085 
107	-931.29 	-916.099	-913.93 	1.70634 
108	-932.873	-916.174	-913.859	1.83184 
109	-932.873	-916.237	-913.76 	1.79191 
110	-932.873	-916.269	-913.78 	1.87074 
111	-932.873	-916.311	-913.752	2.01996 
112	-932.873	-916.379	-913.83 	1.97764 
113	-932.873	-916.457	-913.852	1.97327 
114	-933.009	-916.469	-913.887	1.9615  
115	-933.009	-916.502	-913.966	1.97029 
116	-933.009	-916.539	-914.058	1.93185 
117	-933.009	-916.552	-914.1  	1.91049 
118	-933.009	-916.496	-914.094	1.81326 
119	-933.009	-916.58 	-914.051	1.94799 
120	-933.009	-916.606	-914.161	1.94278 
121	-933.009	-916.677	-914.075	1.9598  
122	-933.009	-916.75 	-914.003	2.00737 
123	-933.009	-916.788	-914.078	2.16845 
124	-933.009	-916.819	-914.141	2.09643 
125	-933.009	-916.832	-914.031	2.0237  
126	-933.009	-916.87 	-914.061	1.99584 
127	-933.009	-916.863	-914.112	1.99425 
128	-933.009	-916.912	-914.118	2.01952 
129	-933.009	-916.978	-914.054	2.0855  
130	-933.009	-917.01 	-914.16 	2.11946 
131	-933.212	-917.076	-913.989	2.18473 
132	-933.212	-917.087	-914.185	2.15805 
133	-933.212	-917.116	-914.105	2.22044 
134	-933.212	-917.101	-914.054	2.0808  
135	-933.212	-917.12 	-914.225	2.08191 
136	-933.212	-917.136	-914.239	2.03828 
137	-933.212	-917.206	-914.073	1.97927 
138	-933.212	-917.262	-914.136	2.10069 
139	-933.212	-917.28 	-914.157	2.02041 
140	-933.212	-917.296	-914.265	1.99773 
141	-933.212	-917.373	-914.269	2.071   
142	-933.212	-917.347	-914.269	1.99693 
143	-933.212	-917.363	-914.275	2.06093 
144	-933.212	-917.391	-914.338	2.02324 
145	-933.212	-917.477	-914.076	2.09528 
146	-933.212	-917.521	-914.194	2.16642 
147	-933.212	-917.538	-914.401	2.20185 
148	-933.212	-917.585	-914.575	2.13818 
149	-933.212	-917.586	-914.563	2.05242 
150	-933.212	-917.621	-914.36 	2.00941 
151	-933.212	-917.669	-914.302	2.05423 
152	-933.212	-917.662	-914.302	2.00067 
153	-933.212	-917.716	-914.541	2.13019 
154	-933.212	-917.724	-914.517	2.08858 
155	-933.212	-917.748	-914.491	2.08553 
156	-933.212	-917.779	-914.669	2.13128 
157	-933.212	-917.83 	-914.361	2.15062 
158	-933.212	-917.86 	-914.322	2.13749 
159	-933.212	-917.855	-914.528	2.15802 
160	-933.958	-917.914	-914.398	2.27747 
161	-933.958	-917.952	-914.335	2.15594 
162	-933.958	-918.01 	-914.536	2.21441 
163	-933.958	-918.037	-914.743	2.19615 
164	-933.958	-918.051	-914.553	2.17399 
165	-933.958	-918.055	-914.491	2.18104 
166	-933.958	-918.061	-914.825	2.22482 
167	-933.958	-918.068	-914.741	2.09913 
168	-933.958	-918.132	-914.71 	2.14711 
169	-933.958	-918.163	-914.844	2.09634 
170	-933.958	-918.169	-914.907	2.11125 
171	-933.958	-918.186	-915.002	2.0289  
172	-933.958	-918.236	-914.711	2.02667 
173	-933.958	-918.272	-914.703	2.08014 
174	-933.958	-918.315	-914.893	2.18999 
175	-933.958	-918.319	-914.878	2.2085  
176	-933.958	-918.343	-914.811	2.29303 
177	-933.958	-918.369	-914.678	2.19023 
178	-933.958	-918.388	-914.901	2.1334  
179	-938.213	-918.41 	-914.803	2.19978 
180	-938.213	-918.425	-915.139	2.10718 
181	-938.213	-918.495	-914.946	2.17291 
182	-938.213	-918.523	-914.874	2.15754 
183	-938.213	-918.573	-915.003	2.25966 
184	-938.213	-918.583	-915.339	2.18903 
185	-938.213	-918.629	-915.139	2.28874 
186	-938.213	-918.645	-914.924	2.26163 
187	-938.213	-918.679	-915.165	2.30563 
188	-938.213	-918.729	-915.149	2.40743 
189	-938.213	-918.769	-915.134	2.3878  
190	-938.213	-918.787	-915.353	2.32497 
191	-938.213	-918.805	-914.815	2.27854 
192	-938.213	-918.814	-915.185	2.29395 
193	-938.213	-918.855	-915.046	2.35621 
194	-938.213	-918.845	-915.213	2.30435 
195	-938.213	-918.864	-914.847	2.13002 
196	-938.213	-918.876	-915.286	2.13559 
197	-938.213	-918.906	-915.371	2.13831 
198	-938.213	-918.944	-915.294	2.20221 
199	-938.213	-918.957	-915.24 	2.18905 
Result of algorithm run: SUCCESS, 0, 0, -938.212954, 0
