gen	min     	avg    	max     	std     
0  	-918.166	-913.76	-913.446	0.483987
1  	-918.166	-913.769	-913.449	0.48409 
2  	-918.166	-913.782	-913.455	0.476557
3  	-918.166	-913.795	-913.45 	0.500287
4  	-918.166	-913.761	-913.447	0.397966
5  	-918.166	-913.783	-913.447	0.478182
6  	-918.166	-913.784	-913.46 	0.431501
7  	-918.166	-913.822	-913.451	0.46721 
8  	-918.166	-913.82 	-913.454	0.462969
9  	-918.166	-913.827	-913.455	0.461468
10 	-918.166	-913.835	-913.458	0.485154
11 	-918.166	-913.835	-913.46 	0.454503
12 	-918.166	-913.843	-913.462	0.434645
13 	-918.199	-913.889	-913.46 	0.55174 
14 	-918.206	-913.883	-913.449	0.519626
15 	-918.216	-913.912	-913.463	0.556123
16 	-918.339	-913.919	-913.462	0.604758
17 	-918.339	-913.953	-913.467	0.597291
18 	-918.936	-913.956	-913.47 	0.574554
19 	-918.936	-913.964	-913.47 	0.591244
20 	-918.936	-913.995	-913.478	0.588912
21 	-918.936	-914.039	-913.468	0.68948 
22 	-921.691	-914.086	-913.468	0.838846
23 	-921.691	-914.08 	-913.473	0.761801
24 	-921.691	-914.078	-913.479	0.694893
25 	-921.691	-914.099	-913.491	0.783266
26 	-921.691	-914.118	-913.47 	0.750728
27 	-921.691	-914.135	-913.495	0.755445
28 	-921.691	-914.122	-913.48 	0.738315
29 	-921.691	-914.14 	-913.486	0.757442
30 	-921.691	-914.189	-913.482	0.904547
31 	-921.742	-914.202	-913.471	0.878765
32 	-921.742	-914.214	-913.496	0.899682
33 	-921.742	-914.254	-913.479	0.857419
34 	-921.742	-914.276	-913.489	0.819624
35 	-922.016	-914.305	-913.489	0.921547
36 	-922.016	-914.298	-913.461	0.826457
37 	-922.016	-914.32 	-913.5  	0.804811
38 	-923.63 	-914.368	-913.478	0.925713
39 	-923.63 	-914.39 	-913.523	0.918843
40 	-923.63 	-914.396	-913.465	0.946032
41 	-923.63 	-914.427	-913.513	1.02546 
42 	-923.63 	-914.439	-913.514	0.993215
43 	-923.63 	-914.479	-913.511	1.02625 
44 	-923.63 	-914.464	-913.549	1.0239  
45 	-923.63 	-914.483	-913.534	1.0309  
46 	-923.63 	-914.506	-913.518	1.01806 
47 	-923.63 	-914.546	-913.502	1.07507 
48 	-923.63 	-914.588	-913.502	1.12224 
49 	-925.996	-914.647	-913.554	1.19746 
