gen	min     	avg     	max     	std     
0  	-922.279	-913.737	-913.447	0.581078
1  	-922.279	-913.731	-913.445	0.518183
2  	-922.279	-913.73 	-913.447	0.50306 
3  	-922.279	-913.739	-913.451	0.49278 
4  	-922.279	-913.736	-913.451	0.473788
5  	-922.279	-913.776	-913.456	0.548756
6  	-922.279	-913.794	-913.447	0.602772
7  	-922.279	-913.801	-913.447	0.578781
8  	-922.279	-913.795	-913.451	0.551386
9  	-922.279	-913.811	-913.455	0.540771
10 	-922.279	-913.836	-913.452	0.6784  
11 	-922.279	-913.843	-913.459	0.589144
12 	-922.279	-913.859	-913.46 	0.594209
13 	-922.279	-913.866	-913.459	0.670202
14 	-922.279	-913.861	-913.452	0.546684
15 	-922.279	-913.877	-913.451	0.63543 
16 	-922.279	-913.893	-913.461	0.604612
17 	-922.279	-913.934	-913.46 	0.665751
18 	-922.279	-913.93 	-913.452	0.651581
19 	-922.279	-913.964	-913.455	0.661872
20 	-922.279	-913.924	-913.46 	0.558449
21 	-922.279	-913.965	-913.464	0.621981
22 	-922.279	-913.978	-913.473	0.61891 
23 	-922.279	-913.989	-913.465	0.632241
24 	-924.814	-914.033	-913.457	0.795577
25 	-924.814	-914.039	-913.467	0.841333
26 	-924.814	-914.064	-913.469	0.790582
27 	-924.814	-914.076	-913.482	0.784439
28 	-924.814	-914.096	-913.472	0.851115
29 	-924.814	-914.123	-913.473	0.876267
30 	-924.814	-914.154	-913.483	0.912018
31 	-924.814	-914.173	-913.468	0.900793
32 	-924.814	-914.163	-913.477	0.794663
33 	-924.814	-914.187	-913.467	0.84886 
34 	-924.814	-914.173	-913.476	0.804623
35 	-924.814	-914.247	-913.491	0.959989
36 	-924.814	-914.258	-913.514	0.969385
37 	-924.814	-914.261	-913.475	0.957252
38 	-924.814	-914.282	-913.477	0.990203
39 	-925.183	-914.359	-913.488	1.19292 
40 	-925.183	-914.337	-913.488	1.07211 
41 	-925.183	-914.333	-913.494	0.989075
42 	-925.183	-914.348	-913.494	0.96686 
43 	-925.183	-914.338	-913.499	0.949584
44 	-925.183	-914.402	-913.501	1.07696 
45 	-925.183	-914.448	-913.507	1.12214 
46 	-925.183	-914.467	-913.504	1.0587  
47 	-925.183	-914.453	-913.521	1.07636 
48 	-925.183	-914.457	-913.477	0.99978 
49 	-925.183	-914.495	-913.495	1.03711 
50 	-925.183	-914.516	-913.51 	1.18508 
51 	-925.183	-914.542	-913.531	1.08842 
52 	-925.183	-914.561	-913.529	1.10384 
53 	-925.183	-914.609	-913.546	1.22    
54 	-925.183	-914.625	-913.528	1.13263 
55 	-925.183	-914.647	-913.538	1.17946 
56 	-925.183	-914.669	-913.55 	1.1242  
57 	-925.183	-914.713	-913.529	1.23997 
58 	-925.183	-914.719	-913.55 	1.23657 
59 	-925.183	-914.726	-913.579	1.14769 
60 	-925.183	-914.754	-913.558	1.1472  
61 	-925.183	-914.796	-913.521	1.22159 
62 	-925.183	-914.812	-913.575	1.17961 
63 	-925.183	-914.84 	-913.578	1.23807 
64 	-925.183	-914.822	-913.582	1.19248 
65 	-925.183	-914.812	-913.578	1.03442 
66 	-925.183	-914.906	-913.555	1.16266 
67 	-925.183	-914.907	-913.555	1.19161 
68 	-925.183	-914.91 	-913.584	1.23325 
69 	-925.183	-914.912	-913.617	1.16043 
70 	-925.183	-914.985	-913.581	1.21697 
71 	-925.183	-914.963	-913.581	1.17659 
72 	-925.545	-915.006	-913.611	1.28534 
73 	-925.545	-915.037	-913.594	1.24897 
74 	-925.545	-915.008	-913.619	1.15823 
75 	-925.545	-915.069	-913.613	1.24606 
76 	-925.545	-915.148	-913.632	1.37052 
77 	-925.545	-915.154	-913.634	1.32008 
78 	-925.545	-915.193	-913.598	1.27514 
79 	-925.545	-915.17 	-913.624	1.33643 
80 	-925.67 	-915.226	-913.599	1.37807 
81 	-925.67 	-915.277	-913.653	1.37869 
82 	-927.644	-915.327	-913.604	1.51342 
83 	-927.644	-915.351	-913.701	1.49229 
84 	-927.644	-915.346	-913.675	1.51026 
85 	-927.644	-915.383	-913.69 	1.47439 
86 	-927.644	-915.44 	-913.646	1.5344  
87 	-927.644	-915.42 	-913.649	1.50883 
88 	-927.644	-915.409	-913.677	1.34883 
89 	-927.644	-915.415	-913.669	1.37959 
90 	-927.644	-915.482	-913.699	1.44534 
91 	-927.644	-915.539	-913.606	1.578   
92 	-927.644	-915.536	-913.607	1.47544 
93 	-927.644	-915.56 	-913.668	1.55022 
94 	-927.644	-915.588	-913.79 	1.43766 
95 	-927.644	-915.641	-913.697	1.49123 
96 	-927.644	-915.674	-913.753	1.52019 
97 	-927.644	-915.694	-913.723	1.49357 
98 	-927.644	-915.728	-913.867	1.4657  
99 	-927.644	-915.765	-913.786	1.46963 
100	-927.644	-915.782	-913.828	1.51798 
101	-927.644	-915.822	-913.757	1.55734 
102	-927.644	-915.85 	-913.741	1.56909 
103	-927.644	-915.887	-913.808	1.57113 
104	-927.668	-915.953	-913.708	1.66118 
105	-927.668	-915.943	-913.817	1.53761 
106	-927.668	-916.014	-913.915	1.6668  
107	-927.668	-916.058	-913.873	1.68676 
108	-927.668	-916.068	-913.943	1.72976 
109	-927.668	-916.123	-913.887	1.68566 
110	-927.668	-916.162	-913.914	1.7208  
111	-928.693	-916.163	-913.914	1.74081 
112	-928.693	-916.205	-913.768	1.749   
113	-928.693	-916.245	-913.887	1.70328 
114	-928.693	-916.273	-913.931	1.65694 
115	-928.693	-916.328	-913.863	1.81837 
116	-928.693	-916.352	-913.988	1.77673 
117	-929.552	-916.36 	-913.919	1.88664 
118	-929.552	-916.364	-913.941	1.77684 
119	-929.552	-916.407	-914.03 	1.81243 
120	-929.552	-916.438	-914.089	1.7833  
121	-929.552	-916.429	-914.006	1.78257 
122	-931.128	-916.456	-914.009	1.80435 
123	-931.128	-916.539	-913.995	1.91436 
124	-931.128	-916.602	-913.961	1.93052 
125	-931.128	-916.602	-913.935	1.95326 
126	-931.128	-916.58 	-913.941	1.87532 
127	-931.128	-916.625	-914.089	1.81147 
128	-931.128	-916.649	-914.129	1.84838 
129	-931.128	-916.627	-914.004	1.75107 
130	-931.128	-916.732	-914.105	1.8164  
131	-931.128	-916.736	-914.044	1.84107 
132	-931.128	-916.76 	-913.987	1.81091 
133	-931.128	-916.793	-914.102	1.85801 
134	-931.128	-916.836	-914.111	1.94131 
135	-931.128	-916.888	-914.232	2.01435 
136	-931.128	-916.898	-914.182	1.92432 
137	-931.128	-916.939	-914.248	1.93263 
138	-931.128	-916.983	-914.207	2.00152 
139	-931.128	-916.953	-914.35 	1.88199 
140	-931.128	-916.985	-914.308	1.86435 
141	-931.128	-917.027	-914.276	1.86982 
142	-931.128	-917.058	-914.295	1.85046 
143	-931.128	-917.077	-914.365	1.84899 
144	-931.128	-917.136	-914.187	1.8895  
145	-931.128	-917.169	-914.193	1.95008 
146	-931.128	-917.191	-914.206	1.9129  
147	-931.128	-917.229	-914.354	2.00164 
148	-931.128	-917.264	-914.343	2.07291 
149	-931.128	-917.312	-914.237	2.13274 
150	-931.128	-917.341	-914.218	2.11551 
151	-931.128	-917.374	-914.184	1.9922  
152	-931.128	-917.435	-914.256	2.09353 
153	-931.128	-917.407	-914.269	2.03068 
154	-931.128	-917.429	-914.186	1.9619  
155	-931.128	-917.471	-914.246	1.95373 
156	-931.128	-917.468	-914.357	1.86224 
157	-931.128	-917.528	-914.44 	1.93461 
158	-931.128	-917.542	-914.241	1.90254 
159	-931.128	-917.558	-914.295	1.90926 
160	-931.128	-917.572	-914.441	1.91622 
161	-931.128	-917.593	-914.468	1.97209 
162	-931.128	-917.638	-914.509	2.05074 
163	-931.128	-917.661	-914.427	1.96524 
164	-931.364	-917.679	-914.652	2.01274 
165	-931.364	-917.663	-914.756	1.92314 
166	-931.364	-917.702	-914.635	1.9544  
167	-931.364	-917.707	-914.583	1.88085 
168	-931.364	-917.738	-914.629	1.93525 
169	-931.364	-917.796	-914.613	2.01742 
170	-931.364	-917.853	-914.38 	1.96325 
171	-931.364	-917.879	-914.48 	1.99974 
172	-931.364	-917.918	-914.791	2.07977 
173	-931.364	-917.927	-914.601	1.95092 
174	-931.364	-917.928	-914.901	1.90806 
175	-931.364	-917.953	-914.804	1.86855 
176	-931.364	-917.982	-914.682	1.94707 
177	-931.364	-918.022	-914.557	1.99545 
178	-931.97 	-918.036	-914.72 	2.01738 
179	-931.97 	-918.061	-914.682	2.10452 
180	-931.97 	-918.111	-914.689	2.05346 
181	-931.97 	-918.121	-914.914	2.04521 
182	-931.97 	-918.131	-914.872	1.99145 
183	-933.055	-918.161	-914.641	1.99039 
184	-933.055	-918.211	-914.76 	2.04039 
185	-933.055	-918.231	-914.889	1.9459  
186	-933.055	-918.246	-914.868	1.97894 
187	-933.055	-918.301	-914.667	2.08588 
188	-933.055	-918.326	-914.833	2.11205 
189	-933.055	-918.341	-914.801	2.05005 
190	-933.055	-918.353	-914.925	1.94882 
191	-933.055	-918.371	-915.053	1.98709 
192	-933.055	-918.401	-915.172	2.02186 
193	-933.055	-918.404	-914.717	1.8946  
194	-934.006	-918.449	-915.117	2.02291 
195	-934.006	-918.493	-915.225	1.99945 
196	-934.006	-918.545	-914.926	2.02402 
197	-935.16 	-918.582	-915.013	2.0938  
198	-935.16 	-918.613	-914.984	2.09277 
199	-935.16 	-918.644	-915.042	2.12204 
Result of algorithm run: SUCCESS, 0, 0, -935.160462, 0
