gen	min   	avg   	max    	std    
0  	11.761	21.414	32.2632	3.94029
1  	11.761	21.5986	34.4691	4.10322
2  	10.419	21.4303	34.3231	3.87623
3  	10.419	21.2731	33.018 	3.73431
4  	10.419	21.7151	34.0947	3.95246
5  	10.419	21.3111	32.8633	3.71493
6  	10.419	21.3313	32.7856	3.81016
7  	10.419	21.3325	31.8409	3.79146
8  	10.419	21.3898	32.4964	3.92392
9  	10.419	21.6369	34.5135	3.91611
10 	10.419	21.5025	33.0229	3.74644
11 	10.419	21.4232	34.4801	3.8561 
12 	10.419	21.323 	35.1406	3.65027
13 	10.419	21.6279	32.1541	3.87276
14 	10.419	21.2014	34.7979	3.84903
15 	10.419	21.458 	33.5963	3.82466
16 	10.419	21.4302	32.4103	3.81237
17 	10.419	21.3409	31.4055	3.83672
18 	10.419	21.4852	31.4055	3.7666 
19 	10.419	21.2057	31.706 	3.75649
20 	10.419	21.5759	33.2847	3.95766
21 	10.419	21.2445	32.3949	3.82128
22 	10.419	21.453 	34.9554	3.84414
23 	10.419	21.5034	32.8806	3.91079
24 	10.419	21.3261	32.9218	3.85228
25 	10.419	21.3502	37.0158	3.91461
26 	10.419	21.1753	33.2265	3.74068
27 	10.419	21.6043	33.1587	3.97036
28 	10.419	21.6157	34.1744	3.94945
29 	10.419	21.5607	34.6616	3.87338
30 	10.419	21.3968	34.2328	3.94711
31 	10.419	21.6802	35.0074	3.8411 
32 	10.419	21.3193	35.0219	3.84478
33 	10.419	21.4752	35.0074	3.89085
34 	10.419	21.3298	36.8793	4.14823
35 	10.419	21.384 	33.168 	3.93305
36 	10.419	21.7283	35.0212	3.93084
37 	10.419	21.6422	35.0194	3.90419
38 	10.419	21.0638	33.6608	3.75327
39 	10.419	21.4248	34.2047	3.76459
40 	10.419	21.2829	36.1248	3.83154
41 	10.419	21.3514	34.6208	3.9047 
42 	10.419	21.4683	34.2626	4.12918
43 	10.419	21.5004	34.406 	4.11467
44 	10.419	21.6615	33.5491	3.60727
45 	10.419	21.3726	34.3635	3.90942
