gen	min 	avg    	max   	std    
0  	1261	1836.02	2396.2	196.109
1  	1076.22	1822.86	2538.18	200.557
2  	1045.78	1812.12	2308.09	198.719
3  	1045.78	1793.72	2334.35	200.616
4  	1045.78	1782.52	2299.07	197.619
5  	1045.78	1775.56	2410.5 	205.331
6  	1020.95	1758.44	2353.4 	212.185
7  	1020.95	1744.32	2366.7 	205.244
8  	1020.95	1740.13	2269.37	192.385
9  	1020.95	1718.85	2299.09	200.562
10 	1020.95	1706.35	2234.55	199.527
11 	1020.95	1692.67	2234.4 	195.328
12 	1020.95	1681.3 	2195.52	199.963
13 	1020.95	1669.59	2233.94	197.51 
14 	1020.95	1655.75	2154.29	193.304
15 	1020.95	1644.81	2159.97	195.917
16 	1020.95	1630.76	2110.82	187.677
17 	1020.95	1617.97	2127.1 	194.682
18 	1020.95	1611.58	2110.91	184.77 
19 	1020.95	1604.58	2136.5 	183.974
20 	1020.95	1586.28	2105.68	190.629
21 	1020.95	1576.89	2105.68	191.101
22 	1020.95	1565   	2080.19	191.536
23 	1020.95	1548.4 	2053.03	195.958
24 	947.822	1541.83	2053.03	188.92 
25 	947.822	1537.09	2009.35	186.692
26 	947.822	1523.61	2079.08	173.571
27 	947.822	1515.75	2079.08	180.924
28 	947.822	1504.46	2059.71	185.432
29 	947.822	1499.8 	2028.1 	196.209
30 	947.822	1489.96	2132.17	196.255
31 	947.822	1480.69	2202.72	186.223
32 	887.172	1472.44	2042.89	179.163
33 	887.172	1460.95	1965.82	177.348
34 	887.172	1453.82	1973.98	178.754
35 	887.172	1437.95	1941.12	174.226
36 	887.172	1433.82	1883.44	171.776
37 	887.172	1427.56	1892.27	172.713
38 	887.172	1414.6 	1876.07	168.033
39 	887.172	1408.27	1884.4 	168.01 
40 	887.172	1405.02	1916.97	165.654
41 	887.172	1394.26	1845.17	166.359
42 	819.749	1385.37	1981.53	173.452
43 	819.749	1374.73	1873.54	166.417
44 	819.749	1366.97	1885.49	169.306
45 	819.749	1362.14	1854.63	177.183
46 	819.749	1355.07	1947.84	172.261
47 	819.749	1341.39	1842.83	168.26 
48 	797.136	1341.77	1739.83	172.006
49 	792.936	1329.93	1865.44	182.875
50 	792.936	1319.96	1785.69	179.196
51 	739.379	1310   	1814.86	182.014
52 	739.379	1303.11	1801.39	180.386
53 	739.379	1299.33	1808.94	176.545
54 	739.379	1292.99	1774.62	173.435
55 	739.379	1286.11	1821.1 	170.2  
56 	739.379	1274.77	1748.77	166.394
57 	715.869	1269.14	1718.21	165.877
58 	715.869	1259.38	1754   	169.478
59 	715.869	1254.09	1754   	169.928
60 	715.869	1245.9 	1797.39	166.354
61 	668.093	1239.36	1704.61	167.338
62 	668.093	1233.63	1754.2 	161.307
63 	668.093	1222.33	1714.64	159.556
64 	668.093	1217.13	1684.17	158.208
65 	668.093	1215.95	1617.01	155.82 
66 	668.093	1206.58	1652.45	150.752
67 	668.093	1199.31	1624.76	153.82 
68 	668.093	1198.25	1709.57	154.358
69 	668.093	1196.1 	1725.42	156.641
70 	668.093	1186.11	1717.19	144.947
71 	668.093	1182.83	1596.08	143.337
72 	668.093	1179.73	1603.03	146.766
73 	668.093	1172.63	1645.42	146.516
74 	668.093	1161.47	1525.59	135.652
75 	668.093	1152.2 	1556.02	137.873
76 	668.093	1152.28	1524.02	146.952
77 	668.093	1153.88	1575.08	144.922
78 	668.093	1148.09	1615.44	138.525
79 	668.093	1146   	1588.43	146.066
80 	668.093	1139.33	1556.16	143.452
81 	668.093	1130.33	1513.74	142.266
82 	668.093	1123.77	1513.74	142.64 
83 	668.093	1123.57	1545.25	143.319
84 	668.093	1116.96	1475.63	144.201
85 	668.093	1111.17	1505.07	143.149
86 	668.093	1107.46	1603.51	140.728
87 	668.093	1101.29	1545.64	136.95 
88 	668.093	1097.36	1510.4 	140.606
89 	668.093	1097.79	1539.13	136.529
90 	668.093	1096.48	1508.54	135.77 
91 	668.093	1088.66	1461.92	135.253
92 	668.093	1087.63	1442.79	131.426
93 	668.093	1077   	1471.59	133.844
94 	668.093	1072.87	1481.22	131.327
95 	668.093	1067.93	1486.43	129.872
96 	668.093	1065.56	1435   	127.669
97 	668.093	1058.31	1449.73	135.496
98 	668.093	1054.7 	1428.1 	133.752
99 	668.093	1053.78	1429.5 	119.471
100	668.093	1045.96	1436.68	123.256
101	668.093	1042.8 	1456.24	127.154
102	668.093	1039.89	1391.49	117.023
103	668.093	1038.82	1376.71	119.115
104	668.093	1035.09	1403.32	122.346
105	668.093	1030.51	1403.11	123.875
106	668.093	1031.54	1361.4 	121.372
107	668.093	1024.85	1413.47	118.445
108	668.093	1025.47	1323.4 	116.852
109	668.093	1025.63	1363.07	119.161
110	668.093	1022.14	1324.63	115.691
111	668.093	1017.2 	1329.18	120.158
112	668.093	1011.98	1414.8 	115.508
113	668.093	1009.69	1326.96	108.359
114	668.093	1005.17	1370.79	112.152
115	668.093	1006.33	1291.55	108.668
116	668.093	1000.36	1349.02	109.396
117	668.093	996.359	1354.09	114.191
118	668.093	991.565	1348.48	112.059
119	668.093	989.926	1333.4 	106.692
120	668.093	989.707	1302.61	109.636
121	668.093	988.564	1323.07	109.558
122	668.093	984.22 	1313.71	111.969
123	668.093	981.103	1283.91	107.195
124	668.093	980.313	1281.91	104.501
125	668.093	978.162	1263.03	111.44 
126	668.093	977.195	1280.18	110.344
127	668.093	967.734	1254.56	106.702
128	668.093	969.354	1303.7 	106.484
129	668.093	963.731	1239.43	103.375
130	668.093	962.782	1260.97	101.914
131	668.093	959.725	1267.63	106.825
132	662.062	953.7  	1404.84	106.082
133	662.062	956.658	1287.54	103.578
134	662.062	952.46 	1286.05	103.65 
135	662.062	954.809	1287.68	111.65 
136	662.062	949.366	1251.72	104.631
137	662.062	943.692	1272.73	103.137
138	662.062	945.533	1249.03	104.808
139	662.062	942.371	1275.83	100.52 
140	662.062	938.554	1258   	100.506
141	662.062	939.047	1293.01	100.853
142	662.062	938.41 	1262.27	103.461
143	662.062	938.371	1256.05	102.258
144	662.062	928.86 	1216.56	95.283 
145	662.062	933.084	1215.62	100.774
146	662.062	924.774	1275.7 	101.773
147	662.062	925.2  	1197.45	99.1242
148	662.062	922.273	1226.01	102.531
149	649.611	923.25 	1233.29	100.246
150	649.611	919.232	1194.27	96.4791
151	649.611	915.978	1173.37	91.0441
152	649.611	911.673	1177.71	88.9284
153	649.611	914.187	1217.77	90.1798
154	649.611	906.748	1215.31	91.8309
155	649.611	909.166	1162.22	88.0099
156	649.611	903.838	1214.44	90.1641
157	634.674	907.724	1181.14	89.8809
158	634.674	901.555	1139.5 	89.0603
159	634.674	899.609	1147.09	85.2372
160	634.674	896.763	1200.96	88.8958
161	634.674	896.596	1169.7 	84.0228
162	634.674	892.815	1161.64	86.7624
163	634.674	889.036	1153.91	86.9096
164	634.674	885.643	1234.09	88.8682
165	634.674	887.097	1170.81	86.354 
166	634.674	886.012	1122.7 	85.2107
167	634.674	882.651	1155.28	87.9367
168	634.674	881.46 	1155.28	81.8225
169	634.674	878.154	1097.22	84.0209
170	623.589	878.573	1114.28	85.1899
171	623.589	873.885	1100.85	84.9917
172	623.589	872.043	1127.93	78.2112
173	623.589	868.16 	1107.4 	80.427 
174	602.387	874.175	1133.23	81.5405
175	602.387	875.327	1182.2 	82.3321
176	602.387	871.051	1120.91	81.1582
177	602.387	867.931	1119.1 	81.4106
178	602.387	866.997	1147.09	77.6973
179	602.387	866.759	1088.18	80.5443
180	602.387	864.686	1097.52	75.6976
181	602.387	864.571	1111.52	78.0655
182	602.387	866.888	1125.41	76.2513
183	602.387	864.362	1110.14	80.7226
184	602.387	862.461	1161.52	81.3016
185	602.387	864.743	1119.74	80.1231
186	602.387	859.216	1105.19	79.6614
187	602.387	859.213	1119.42	74.3812
188	602.387	858.464	1165.54	77.0628
189	602.387	855.438	1165.54	79.1314
190	602.387	852.302	1061.03	77.8817
191	602.387	853.735	1144.77	73.6709
192	602.387	845.622	1067.26	75.2855
193	602.387	848.838	1093.57	73.1048
194	602.387	849.832	1089.41	71.8203
195	602.387	850.568	1103.03	76.4032
196	602.387	847.375	1096.73	74.6635
197	602.387	846.129	1069.41	71.4099
198	602.387	842.418	1052.7 	72.2561
199	602.387	841.087	1034.9 	71.8856
Result of algorithm run: SUCCESS, 0, 0, 602.387237, 0
