gen	min    	avg 	max    	std    
0  	1169.96	1834	2453.16	205.688
1  	1169.96	1820.05	2443.09	200.25 
2  	1169.96	1805.4 	2377.42	198.293
3  	1169.96	1792.04	2342.01	199.27 
4  	1169.96	1777.83	2294.92	205.961
5  	1169.96	1771.71	2259.64	199.153
6  	1121.26	1764.89	2323.57	201.393
7  	1121.26	1748.71	2276.09	203.06 
8  	1121.26	1738.28	2189.28	189.162
9  	1080.73	1722.56	2245.76	194.475
10 	1080.73	1701.88	2307.82	199.976
11 	1080.73	1703.5 	2210.63	195.07 
12 	947.636	1685.06	2187.27	197.993
13 	947.636	1676.09	2228.83	202.672
14 	947.636	1669.39	2228.83	195.847
15 	947.636	1655.36	2156.56	195.136
16 	947.636	1642.54	2190.87	203.486
17 	947.636	1634.99	2173.42	205.686
18 	947.636	1627.8 	2206.98	207.117
19 	947.636	1619.33	2168.02	205.936
20 	947.636	1607.86	2137.23	198.678
21 	947.636	1599   	2081.89	200.063
22 	947.636	1585.68	2132.63	198.127
23 	947.636	1576.89	2101.24	201.884
24 	903.403	1566.81	2085.25	201.861
25 	903.403	1559.37	2107.47	202.119
26 	881.582	1545.94	2093.16	205.165
27 	881.582	1535.15	2049.62	189.361
28 	881.582	1524.61	2076.33	194.449
29 	881.582	1520.58	2074.79	194.493
30 	881.582	1506.35	2049.06	183.104
31 	881.582	1493.93	2008.55	181.459
32 	881.582	1489.31	2105.11	188.322
33 	881.582	1476.8 	1984.65	190.063
34 	881.582	1470.08	1923.01	198.66 
35 	881.582	1463.86	1941.54	194.074
36 	845.004	1449.16	1981.39	185.033
37 	845.004	1439.07	1985.41	187.469
38 	845.004	1433.67	1930.16	182.411
39 	845.004	1419.3 	2067.2 	179.985
40 	845.004	1415.39	1875.05	191.473
41 	838.541	1414.99	1878.87	179.58 
42 	838.541	1406.42	1888.17	186.468
43 	833.029	1391.97	1924.55	178.032
44 	833.029	1384.87	1902.78	184.47 
45 	833.029	1379.95	1961.29	189.206
46 	833.029	1369.79	1994.13	186.124
47 	833.029	1355.9 	1883.22	179.711
48 	833.029	1348.55	1851.85	176.959
49 	833.029	1340.99	1845.98	173.096
50 	833.029	1331.65	1757.4 	170.633
51 	833.029	1328.23	1804.9 	168.695
52 	833.029	1319.84	1778.74	167.297
53 	785.325	1315.13	1850.58	169.766
