gen	min        	avg        	max       	std        
0  	4.10483e+06	3.23513e+07	7.0204e+07	1.32071e+07
1  	4.10483e+06	3.18046e+07	7.0204e+07	1.32193e+07
2  	4.10483e+06	3.13149e+07	6.80133e+07	1.31145e+07
3  	4.06318e+06	3.08553e+07	6.85821e+07	1.28819e+07
4  	3.69854e+06	3.04052e+07	6.5748e+07 	1.27396e+07
5  	3.13989e+06	3.00656e+07	6.38683e+07	1.25639e+07
6  	3.13989e+06	2.95794e+07	6.41984e+07	1.26089e+07
7  	3.13989e+06	2.93251e+07	6.37675e+07	1.27844e+07
8  	3.13989e+06	2.9021e+07 	6.36319e+07	1.27614e+07
9  	2.99378e+06	2.86734e+07	6.35769e+07	1.27102e+07
10 	2.98576e+06	2.83798e+07	6.1792e+07 	1.27608e+07
11 	1.52157e+06	2.79874e+07	6.22142e+07	1.25854e+07
12 	1.52144e+06	2.75538e+07	6.14518e+07	1.24203e+07
13 	1.52144e+06	2.72555e+07	6.05658e+07	1.21257e+07
14 	1.52144e+06	2.69786e+07	5.81078e+07	1.21483e+07
15 	1.52144e+06	2.66924e+07	6.14437e+07	1.20812e+07
16 	1.51829e+06	2.63393e+07	5.79263e+07	1.17285e+07
17 	1.51829e+06	2.58346e+07	6.60764e+07	1.17252e+07
18 	1.51829e+06	2.55935e+07	6.15589e+07	1.15016e+07
19 	1.51829e+06	2.5257e+07 	5.6354e+07 	1.13866e+07
20 	1.51829e+06	2.50039e+07	5.63577e+07	1.12837e+07
21 	1.51829e+06	2.46936e+07	5.54592e+07	1.13006e+07
22 	1.51802e+06	2.44433e+07	5.39903e+07	1.10776e+07
23 	1.51802e+06	2.41598e+07	5.37832e+07	1.09118e+07
24 	1.51789e+06	2.38273e+07	5.30217e+07	1.08763e+07
25 	1.51789e+06	2.36692e+07	5.12616e+07	1.06646e+07
26 	1.49251e+06	2.34644e+07	5.12613e+07	1.07781e+07
27 	1.49251e+06	2.32689e+07	5.12749e+07	1.10322e+07
28 	1.49251e+06	2.30239e+07	5.12759e+07	1.08515e+07
29 	1.49251e+06	2.28253e+07	4.90223e+07	1.06406e+07
30 	1.49251e+06	2.25972e+07	5.08707e+07	1.06875e+07
31 	1.49251e+06	2.22746e+07	5.08707e+07	1.05942e+07
32 	1.49251e+06	2.20148e+07	5.42548e+07	1.05851e+07
33 	1.49251e+06	2.17071e+07	5.02347e+07	1.04896e+07
34 	1.49251e+06	2.14542e+07	5.05961e+07	1.05342e+07
35 	1.49251e+06	2.113e+07  	5.07171e+07	1.02319e+07
36 	1.49231e+06	2.07853e+07	5.00613e+07	1.00945e+07
37 	1.49231e+06	2.05073e+07	4.75507e+07	1.00555e+07
38 	1.49231e+06	2.02729e+07	5.11411e+07	1.00844e+07
39 	1.49231e+06	2.00263e+07	4.96594e+07	1.00293e+07
40 	1.49231e+06	1.9833e+07 	4.87345e+07	1.0048e+07 
41 	1.38308e+06	1.95842e+07	4.5731e+07 	9.91589e+06
42 	1.38308e+06	1.93973e+07	4.3493e+07 	9.68957e+06
43 	1.38308e+06	1.9242e+07 	4.46106e+07	9.64412e+06
44 	1.38308e+06	1.90037e+07	4.45092e+07	9.42805e+06
45 	1.38254e+06	1.87097e+07	4.44988e+07	9.31861e+06
46 	1.37708e+06	1.85419e+07	4.36613e+07	9.18463e+06
47 	1.37708e+06	1.83281e+07	4.26624e+07	9.21223e+06
48 	1.37708e+06	1.82098e+07	4.26558e+07	9.24606e+06
49 	1.37708e+06	1.80752e+07	4.64609e+07	9.32027e+06
50 	1.37708e+06	1.78867e+07	4.7351e+07 	9.38337e+06
51 	1.37579e+06	1.77018e+07	4.71826e+07	9.13873e+06
52 	1.37579e+06	1.75213e+07	4.61004e+07	9.12432e+06
53 	1.37579e+06	1.73433e+07	4.57559e+07	8.83542e+06
54 	1.37579e+06	1.72195e+07	4.04618e+07	8.77018e+06
55 	1.37579e+06	1.69776e+07	4.01544e+07	8.83344e+06
56 	1.37579e+06	1.68319e+07	4.05093e+07	8.83007e+06
57 	1.37579e+06	1.66188e+07	4.05093e+07	8.56145e+06
58 	1.37579e+06	1.64363e+07	4.05093e+07	8.5388e+06 
59 	1.37579e+06	1.62546e+07	4.05097e+07	8.60164e+06
60 	1.37579e+06	1.61025e+07	4.04378e+07	8.47712e+06
61 	1.37579e+06	1.58208e+07	4.21339e+07	8.37349e+06
62 	1.37579e+06	1.5681e+07 	4.21339e+07	8.38066e+06
63 	1.37579e+06	1.55255e+07	4.09029e+07	8.21211e+06
64 	1.37579e+06	1.53502e+07	4.07832e+07	8.29557e+06
65 	1.37579e+06	1.51886e+07	3.9911e+07 	8.14012e+06
66 	1.31217e+06	1.50346e+07	3.88051e+07	8.08688e+06
67 	1.30961e+06	1.48716e+07	4.08598e+07	8.02262e+06
68 	1.30961e+06	1.47359e+07	3.96983e+07	8.02653e+06
69 	1.30961e+06	1.45958e+07	3.93356e+07	7.96734e+06
70 	1.30961e+06	1.43733e+07	3.95062e+07	7.76936e+06
71 	1.30961e+06	1.42653e+07	3.95062e+07	7.67805e+06
72 	1.30961e+06	1.41247e+07	3.92834e+07	7.73369e+06
73 	1.3087e+06 	1.39321e+07	3.82485e+07	7.5925e+06 
74 	1.29611e+06	1.37769e+07	3.81959e+07	7.54961e+06
75 	1.12286e+06	1.36296e+07	3.57371e+07	7.37221e+06
76 	1.12286e+06	1.34952e+07	3.54266e+07	7.25877e+06
77 	1.12286e+06	1.33505e+07	3.57242e+07	7.31203e+06
78 	1.12286e+06	1.31635e+07	3.43572e+07	7.02665e+06
79 	1.12286e+06	1.29355e+07	3.37591e+07	6.92198e+06
80 	1.12286e+06	1.27562e+07	3.38201e+07	6.83716e+06
81 	1.12286e+06	1.26089e+07	3.37776e+07	6.80133e+06
82 	1.12286e+06	1.24308e+07	3.3773e+07 	6.60447e+06
83 	1.12286e+06	1.2322e+07 	3.35096e+07	6.53209e+06
84 	1.12286e+06	1.22147e+07	3.33169e+07	6.51312e+06
85 	1.12286e+06	1.21075e+07	3.29906e+07	6.37147e+06
86 	1.12286e+06	1.1989e+07 	3.41995e+07	6.25482e+06
87 	1.12286e+06	1.18521e+07	3.28716e+07	6.208e+06  
88 	1.12286e+06	1.17378e+07	3.28738e+07	6.16211e+06
89 	1.12286e+06	1.15809e+07	3.13003e+07	5.97017e+06
90 	1.12286e+06	1.14715e+07	3.67731e+07	5.98675e+06
91 	1.12286e+06	1.1353e+07 	3.42603e+07	5.93703e+06
92 	1.12284e+06	1.12524e+07	3.39685e+07	5.80195e+06
93 	1.12284e+06	1.11518e+07	3.06714e+07	5.62559e+06
94 	1.12284e+06	1.10719e+07	2.93684e+07	5.54229e+06
95 	1.12284e+06	1.09378e+07	2.93679e+07	5.43599e+06
96 	1.12284e+06	1.08126e+07	2.84227e+07	5.24142e+06
97 	1.12284e+06	1.07489e+07	2.8108e+07 	5.24922e+06
98 	1.12284e+06	1.06198e+07	2.88923e+07	5.28225e+06
99 	1.12284e+06	1.05369e+07	2.87273e+07	5.26106e+06
100	1.12284e+06	1.04735e+07	2.80873e+07	5.17471e+06
101	1.12284e+06	1.03762e+07	2.79878e+07	5.2208e+06 
102	1.12284e+06	1.02881e+07	2.74248e+07	5.10409e+06
103	1.12284e+06	1.02272e+07	2.61698e+07	5.11305e+06
104	1.12284e+06	1.01178e+07	2.61708e+07	5.08577e+06
105	1.12284e+06	1.00231e+07	2.81078e+07	5.12876e+06
106	1.12284e+06	9.93427e+06	2.68086e+07	4.96028e+06
107	1.12284e+06	9.86555e+06	2.57191e+07	4.83491e+06
108	1.12284e+06	9.77148e+06	2.48215e+07	4.80722e+06
109	1.12284e+06	9.65561e+06	2.4744e+07 	4.6554e+06 
110	1.12284e+06	9.59694e+06	2.51069e+07	4.55867e+06
111	1.12284e+06	9.49e+06   	2.53088e+07	4.58468e+06
112	1.12284e+06	9.42644e+06	2.53088e+07	4.57615e+06
113	1.12284e+06	9.32983e+06	2.44573e+07	4.52607e+06
114	1.12284e+06	9.2708e+06 	2.368e+07  	4.5051e+06 
115	1.12284e+06	9.18916e+06	2.34168e+07	4.47513e+06
116	1.12284e+06	9.124e+06  	2.3331e+07 	4.467e+06  
117	1.12284e+06	9.02603e+06	2.3334e+07 	4.37214e+06
118	1.12284e+06	8.94804e+06	2.29314e+07	4.28947e+06
119	1.12284e+06	8.86653e+06	2.2805e+07 	4.22972e+06
120	1.12284e+06	8.78628e+06	2.26378e+07	4.16163e+06
121	1.12216e+06	8.7335e+06 	2.28463e+07	4.15807e+06
122	1.12216e+06	8.67336e+06	2.2849e+07 	4.07337e+06
123	1.12216e+06	8.63425e+06	2.16371e+07	4.00665e+06
124	1.12216e+06	8.56851e+06	2.06944e+07	3.94458e+06
125	1.12216e+06	8.48466e+06	2.2621e+07 	3.93354e+06
126	1.12216e+06	8.41861e+06	1.98809e+07	3.88944e+06
127	1.12216e+06	8.37378e+06	1.93463e+07	3.79458e+06
128	1.12216e+06	8.30527e+06	1.9458e+07 	3.6763e+06 
129	1.12216e+06	8.26282e+06	2.0594e+07 	3.63749e+06
130	1.12216e+06	8.19367e+06	1.99669e+07	3.60693e+06
131	1.12216e+06	8.09623e+06	1.91971e+07	3.55294e+06
132	1.12216e+06	8.01499e+06	1.91144e+07	3.50354e+06
133	1.12216e+06	7.93825e+06	1.91556e+07	3.49655e+06
134	1.12216e+06	7.88321e+06	1.91633e+07	3.46402e+06
135	1.12216e+06	7.83031e+06	1.87438e+07	3.35807e+06
136	1.12216e+06	7.78487e+06	1.96453e+07	3.38841e+06
137	1.12216e+06	7.7296e+06 	1.76895e+07	3.26676e+06
138	1.12216e+06	7.65115e+06	1.77263e+07	3.20161e+06
139	1.12216e+06	7.6013e+06 	1.77296e+07	3.15169e+06
140	985570     	7.55876e+06	1.78164e+07	3.194e+06  
141	985570     	7.51687e+06	2.02687e+07	3.14892e+06
142	985570     	7.42148e+06	1.78403e+07	3.05639e+06
143	985455     	7.37708e+06	1.77067e+07	2.97877e+06
144	985455     	7.3199e+06 	1.70103e+07	2.86415e+06
145	985455     	7.29232e+06	1.59918e+07	2.83925e+06
146	985455     	7.21897e+06	1.60133e+07	2.81357e+06
147	985455     	7.18929e+06	1.54798e+07	2.75539e+06
148	985455     	7.1387e+06 	1.50881e+07	2.79163e+06
149	985455     	7.09018e+06	1.53281e+07	2.73606e+06
150	985455     	7.02087e+06	1.50968e+07	2.63008e+06
151	985455     	6.9632e+06 	1.50906e+07	2.56043e+06
152	985455     	6.92362e+06	1.5089e+07 	2.56018e+06
153	985455     	6.88452e+06	1.46722e+07	2.56251e+06
154	985455     	6.81574e+06	1.48647e+07	2.52304e+06
155	985455     	6.7651e+06 	1.42038e+07	2.44223e+06
156	985455     	6.73348e+06	1.41233e+07	2.4948e+06 
157	985455     	6.69108e+06	1.56177e+07	2.52525e+06
158	985455     	6.65285e+06	1.56777e+07	2.53592e+06
159	985302     	6.59163e+06	1.55037e+07	2.46095e+06
160	985302     	6.55792e+06	1.49219e+07	2.41747e+06
161	985302     	6.52739e+06	1.47712e+07	2.34977e+06
162	985302     	6.49369e+06	1.43167e+07	2.33427e+06
163	985302     	6.45905e+06	1.46626e+07	2.35839e+06
164	985302     	6.43983e+06	1.47692e+07	2.32924e+06
165	985302     	6.3962e+06 	1.47405e+07	2.33627e+06
166	985302     	6.37098e+06	1.4032e+07 	2.2758e+06 
167	985302     	6.34236e+06	1.38813e+07	2.25323e+06
168	985302     	6.3164e+06 	1.36665e+07	2.24818e+06
169	985302     	6.2941e+06 	1.36665e+07	2.27544e+06
170	985234     	6.25456e+06	1.34777e+07	2.27896e+06
171	985234     	6.22182e+06	1.44067e+07	2.25216e+06
172	985234     	6.19034e+06	1.40097e+07	2.21896e+06
173	985234     	6.14873e+06	1.37182e+07	2.19034e+06
174	985234     	6.12008e+06	1.33815e+07	2.17683e+06
175	985234     	6.09287e+06	1.34994e+07	2.18521e+06
176	985234     	6.06165e+06	1.32858e+07	2.18692e+06
177	985234     	6.03547e+06	1.27949e+07	2.07378e+06
178	985234     	5.99653e+06	1.24998e+07	2.08443e+06
179	985234     	5.96818e+06	1.24998e+07	2.07552e+06
180	985234     	5.9451e+06 	1.37108e+07	2.03728e+06
181	985234     	5.92741e+06	1.20458e+07	1.98746e+06
182	985234     	5.90345e+06	1.19033e+07	1.91689e+06
183	985234     	5.8847e+06 	1.177e+07  	1.93933e+06
184	985234     	5.86478e+06	1.15981e+07	1.87846e+06
185	985234     	5.83261e+06	1.16e+07   	1.89288e+06
186	985234     	5.8149e+06 	1.15867e+07	1.92111e+06
187	985234     	5.8013e+06 	1.15862e+07	1.87108e+06
188	985234     	5.78073e+06	1.15457e+07	1.82261e+06
189	985234     	5.75012e+06	1.19855e+07	1.84418e+06
190	985234     	5.70505e+06	1.15883e+07	1.83812e+06
191	985234     	5.68711e+06	1.13404e+07	1.81168e+06
192	985234     	5.65406e+06	1.11192e+07	1.83519e+06
193	985234     	5.62706e+06	1.12176e+07	1.79021e+06
194	985234     	5.61507e+06	1.09864e+07	1.75423e+06
195	985234     	5.59714e+06	1.11479e+07	1.74779e+06
196	985234     	5.56635e+06	1.10593e+07	1.73263e+06
197	985234     	5.54772e+06	1.10378e+07	1.73002e+06
198	985234     	5.52161e+06	1.1038e+07 	1.7438e+06 
199	985234     	5.49854e+06	1.05737e+07	1.7415e+06 
Result of algorithm run: SUCCESS, 0, 0, 985233.501299, 0
