gen	min    	avg    	max    	std 
0  	1556.43	13209.1	34400.4	6579
1  	1556.43	12993.6	36490.1	6772.9
2  	1556.43	12773.2	40106.7	6596.18
3  	1556.43	12592.9	34106.6	6540.5 
4  	1512.28	12348.7	33419.7	6408.69
5  	1362.53	12098.8	31245.6	6304.51
6  	1362.53	11933  	32999.9	6150.55
7  	1227.6 	11750.9	31956.4	6102.96
8  	1227.6 	11590.6	33707.6	6178.17
9  	1227.6 	11414  	31269.1	6010.36
10 	1130.52	11259.9	30038.7	5878.22
11 	1130.52	11051.2	28305.4	5637.43
12 	1130.52	10890.7	30356.6	5719.54
13 	1130.52	10750.9	27551.7	5537.24
14 	1130.52	10616.1	26263  	5531.36
15 	1130.52	10444.9	27249.7	5555.42
16 	1130.52	10300.5	26661.3	5510.68
17 	972.949	10160.7	26114.7	5481.16
18 	972.949	10019.5	26477.8	5482.59
19 	972.949	9877.9 	26405.8	5337.3 
20 	972.949	9744.35	27428.5	5430.22
21 	972.949	9573.28	27020.8	5423.23
22 	960.752	9431.03	27020.8	5402.17
23 	960.752	9285.44	27258  	5363.07
24 	960.752	9200.87	26231.1	5274.91
25 	960.752	9073.1 	26027.5	5442.57
26 	960.752	8927.52	28133.6	5368.04
27 	960.752	8773.68	28133.6	5415.24
28 	960.752	8637.23	26578.8	5418.62
29 	960.752	8485.18	25379.9	5302.37
30 	960.752	8331.93	25577.5	5178.44
31 	960.752	8250.09	24294.8	5039.6 
32 	895.67 	8155.23	23043.1	5064.83
33 	895.67 	8039.91	23309.3	5006.85
34 	895.67 	7960.67	25160.3	4974.29
35 	895.67 	7833.71	24596.7	4868.65
36 	895.67 	7735.41	25919.1	4785.44
37 	715.53 	7570.83	26238.3	4830.55
38 	715.53 	7492.56	23791.8	4736.19
39 	715.53 	7334.65	21572.3	4543.18
40 	715.53 	7191.92	23155.8	4502.6 
41 	715.53 	7077.97	22504.7	4405.24
42 	715.53 	6967.79	20176  	4332.94
43 	715.53 	6892.05	20200.2	4311.12
44 	715.53 	6769.59	23522.8	4451.02
45 	715.53 	6675.33	20912.2	4221.12
46 	715.53 	6580.73	21457.7	4400.41
47 	715.53 	6431.17	19339  	4220.56
48 	715.53 	6293.76	21616.8	4042.51
49 	714.831	6212.32	19361.4	4066.21
50 	702.124	6099.74	20728.3	4141.29
51 	653.605	6009.6 	20109.6	4124.99
52 	653.605	5907.3 	17885.2	3934.61
53 	653.605	5810.76	18478.8	3998.65
54 	653.605	5738.68	20148.5	3999.98
55 	653.605	5673.13	20610.1	3982.76
56 	653.605	5609.95	18953.8	3897.53
57 	653.605	5526.83	19097.3	3803.2 
58 	653.605	5419.52	21412.6	3767.74
59 	653.605	5299.7 	19676  	3556.88
60 	653.605	5232.31	18400.8	3546.92
61 	653.605	5175.41	18311.8	3597.55
62 	601.523	5102.71	17034.5	3511.16
63 	601.523	4999.69	20755.5	3611.9 
64 	601.523	4923.99	17485.2	3530.17
65 	601.523	4838.72	17532.9	3474.86
66 	601.523	4773.3 	16103.4	3319.91
67 	585.893	4676.89	15990.1	3451.54
68 	585.893	4628.26	16234.3	3353.34
69 	585.893	4540.5 	19593.8	3292.03
70 	585.893	4469.82	15702.8	3125.1 
71 	585.893	4413.91	15903.8	3120.71
72 	585.893	4360.3 	15903.8	3057.62
73 	585.893	4301.41	14046  	3007.27
74 	585.893	4226.08	17798.6	3094.44
75 	580.28 	4157   	20388.9	3112.94
76 	580.28 	4079.56	15899.7	2964.53
77 	580.28 	4007.52	13625.2	2921.36
78 	502.61 	3934.81	14359.3	2839.95
79 	502.61 	3879   	14561.8	2726.21
80 	502.61 	3799.09	15273.2	2813.33
81 	502.61 	3759.21	14325.2	2803.13
82 	502.61 	3699.17	12849.8	2622.77
83 	502.61 	3611.7 	14622.2	2597.88
84 	502.61 	3570.77	14879.9	2624.03
85 	502.61 	3522.79	12877.8	2614.98
86 	502.61 	3436.86	15057.4	2501.16
87 	483.294	3388.19	12733.2	2472.77
88 	483.294	3340.15	12564.9	2432.42
89 	483.294	3286.52	12178.7	2421.63
90 	483.294	3236.63	12049.2	2410.93
91 	483.294	3186.15	11763  	2376.88
92 	483.294	3157.44	11624.7	2292.51
93 	483.294	3109.22	14819.7	2294.15
94 	483.294	3069.62	12778.9	2313.31
95 	483.294	3025.81	11739.1	2182.54
96 	483.294	2978.1 	11928  	2214   
97 	483.294	2926.45	12744.4	2257.92
98 	483.294	2891.45	12810.8	2197.24
99 	483.294	2845.74	11409  	2044.18
100	483.294	2789.93	10849.9	2035.14
101	483.294	2752.3 	10292.4	2008.06
102	483.294	2701.59	10302.7	1983.91
103	483.294	2664.23	10735.1	2000.13
104	483.294	2625.65	10398  	1989.25
105	483.294	2594.11	11027.4	1939.76
106	483.294	2560.21	10489.7	1918.04
107	483.294	2519.66	10297.9	1897.61
108	483.294	2486.46	10013.9	1846.63
109	483.294	2446.07	9710.51	1787.55
110	483.294	2404.88	9084.46	1743.29
111	468.715	2352.3 	8630.63	1666.38
112	468.715	2312.21	11168.5	1657.27
113	468.715	2282.56	10436.9	1623.62
114	468.715	2251.91	9363.51	1600.59
115	468.715	2215.5 	8474.59	1556.32
116	428.337	2195.08	7877   	1575.99
117	428.337	2157.84	8020.61	1483.49
118	428.337	2133.23	7440.72	1473.22
119	428.337	2115.32	8305.14	1510.39
120	428.337	2087.6 	8297.12	1528.13
121	428.337	2058.45	8686.47	1468.9 
122	428.337	2028.72	8202.39	1416.94
123	428.337	1993.52	8334.34	1385.49
124	428.337	1963.77	10127.3	1413.19
125	428.337	1934.1 	7817.63	1367.51
126	428.337	1913.41	7525.56	1350.7 
127	365.951	1885.76	7971.54	1308.58
128	365.951	1842.08	6966.33	1227.75
129	365.951	1808.14	6570.55	1166.07
130	365.951	1784.57	6462.25	1165.04
131	365.951	1760.13	5960.71	1144.37
132	365.951	1739.21	6059.02	1098.12
133	365.951	1714.58	8291.13	1124.41
134	365.951	1697.23	6978.63	1087.86
135	365.951	1678.34	6606.03	1053.13
136	365.951	1652.55	6073.52	1015.74
137	365.951	1628.46	5566.28	1004.83
138	365.951	1603.61	6297.99	984.594
139	365.951	1587.81	5586.54	945.638
140	365.951	1565.72	5507.64	940.311
141	365.951	1550.03	5397.14	903.492
142	354.638	1532.09	5537.38	880.069
143	354.638	1509.66	5283.24	866.846
144	354.638	1486.71	5225.1 	844.462
145	354.638	1457.37	5259.64	841.136
146	354.638	1440.39	5085.49	797.854
147	354.638	1412.56	4989.28	784.162
148	354.638	1396.51	4988.36	766.4  
149	354.638	1379.94	4813   	756.337
150	354.638	1364.79	4766.46	743.629
151	354.638	1350.77	4584.78	717.543
152	354.638	1332.31	4254.4 	683.532
153	354.638	1318.35	4251.51	655.634
154	354.638	1307.96	4249.14	669.048
155	354.638	1296.97	4233.49	657.549
156	354.638	1284.57	4657.44	641.257
157	354.638	1271.83	4685.33	623.115
158	354.638	1257.61	4402.88	619.822
159	354.638	1246.39	4256.02	619.268
160	354.638	1236.52	4221.19	618.19 
161	354.638	1226.4 	4113.35	612.019
162	354.638	1212.99	4106.89	567.817
163	354.638	1196.79	3988.85	566.183
164	354.638	1180.79	3922.19	546.607
165	354.638	1166.96	3700.98	517.873
166	354.638	1156.24	3424.42	499.697
167	354.638	1148.31	3475.8 	495.018
168	354.638	1138.54	3315.67	473.424
169	354.638	1129.2 	3138.48	472.444
170	354.638	1119.23	2999.14	453.579
171	354.638	1112.41	2812.58	433.95 
172	354.638	1105.89	2722.34	428.411
173	354.638	1093.36	2910.41	418.172
174	353.385	1083.4 	2783.35	416.787
175	335.574	1073.86	2791.73	401.831
176	335.574	1065.74	2695.92	387.133
177	335.574	1057.32	2609.67	388.369
178	335.574	1048.26	2535.9 	384.96 
179	335.574	1040.08	2548.67	382.334
180	335.574	1032.4 	2799.77	374.068
181	335.574	1025.03	3092.69	362.008
182	335.574	1017.41	2846.63	354.233
183	335.574	1009.6 	2757.25	349.759
184	335.574	1001.69	2598.93	327.711
185	335.574	995.571	2448.9 	321.355
186	326.089	988.872	2345.27	316.067
187	326.089	983.768	2163.77	296.363
188	321.037	976.648	2170.1 	288.151
189	321.037	970.211	2304.25	285.61 
190	321.037	965.622	2126.23	284.494
191	321.037	958.144	2186.01	285.35 
192	321.037	952.902	2147.13	284.085
193	321.037	945.486	2091.98	275.291
194	321.037	938.342	2136.52	276.791
195	321.037	932.683	2181.36	266.251
196	321.037	927.754	2100.92	248.041
197	321.037	922.07 	1857   	238.458
198	321.037	918.657	1734.05	234.145
199	321.037	914.325	1734.05	230.017
Result of algorithm run: SUCCESS, 0, 0, 321.036590, 0
