gen	min    	avg    	max  	std    
0  	1617.41	13802.9	34142	6510.49
1  	1617.41	13651.2	33592.7	6617.04
2  	1553.55	13428.9	36880.5	6562.57
3  	1553.55	13222.1	35047.4	6516.84
4  	1553.55	13014.3	33287.3	6465.92
5  	1553.55	12819.7	31484.6	6484.78
6  	1128.51	12660.2	31009.5	6319.46
7  	1128.51	12518.7	31760.5	6152.3 
8  	1128.51	12364.7	30273  	6165.88
9  	1036.77	12244.8	31112.3	6262.32
10 	978.824	12086.2	32724.8	6372.59
11 	978.824	11808.9	32270.3	6181.5 
12 	978.824	11590.9	33155.9	6129   
13 	978.824	11460.5	30892.9	5965.36
14 	978.824	11279.8	30136.9	6219.63
15 	978.824	11029.7	32021  	6175.85
16 	978.824	10903.7	32021  	5888.07
17 	978.824	10632.8	29132.8	5826.36
18 	854.139	10469.9	28882.8	5881.28
19 	854.139	10314.3	27162.4	5595   
20 	821.804	10110.2	28040.9	5607.48
21 	821.804	9954.6 	27979.7	5441.04
22 	730.984	9770.66	28821.8	5489.69
23 	730.984	9591.95	27311.6	5548.67
24 	730.984	9418.84	29784.1	5515.18
25 	730.984	9275.21	29200  	5284.94
26 	730.984	9139.8 	27592.1	5321.34
27 	730.984	9038.35	26682.2	5341.13
28 	730.984	8912.12	26447.7	5410.16
29 	730.984	8739.99	29553.4	5243.47
30 	730.984	8609.4 	27967  	5037.56
31 	730.984	8463.02	24783.5	4947.85
32 	730.984	8372.86	24512.1	4778.86
33 	730.984	8218.21	23989.8	4785.41
34 	730.984	8146.15	23979.5	4775.42
35 	730.984	8030.46	26866.4	4849.34
36 	730.984	7906.22	26866.4	4781.44
37 	730.984	7812.26	24799.3	4781.32
38 	730.984	7690.66	24212.3	4671.5 
39 	730.984	7584.74	24233.3	4739.11
40 	730.984	7471   	24343.7	4616.19
41 	730.984	7389.55	24888.2	4622.94
42 	730.984	7281.6 	26473.9	4571.09
43 	730.984	7134.82	24489.9	4414.3 
44 	730.984	6998.21	24941.9	4483.09
45 	730.984	6858.46	23469.1	4365.65
46 	730.984	6694.42	21749.3	4242.38
47 	730.984	6544.56	20796.7	4155.75
48 	730.984	6410.3 	20250.5	4131.44
49 	730.984	6306.38	20198.1	4134.94
50 	730.984	6212.43	19600.9	3994.93
51 	729.507	6134.58	19605.8	4057.5 
52 	729.507	6044.03	18741.9	3859.43
53 	729.507	5982.41	19033.3	3889.51
54 	729.507	5890.49	16926.1	3726.63
55 	729.507	5787.79	20177.2	3873.81
56 	729.507	5701.11	18872.5	3858.71
57 	729.507	5604.32	18328.9	3819.05
58 	683.972	5518.51	18317.6	3748.62
59 	683.972	5438.23	18963.4	3770   
60 	667.676	5373.42	18983.3	3688.94
61 	667.676	5280.09	19025.6	3609.67
62 	667.676	5171.07	21866.9	3639.35
63 	571.06 	5091.62	19580.2	3538.04
64 	571.06 	5031.61	18659.1	3480.17
65 	571.06 	4976.22	16935.8	3474.74
66 	571.06 	4874.2 	17774.7	3391.94
67 	571.06 	4783.33	18799.8	3367.61
68 	571.06 	4636.72	17412.5	3181.75
69 	571.06 	4584.48	18219.6	3201.63
70 	571.06 	4483.41	16535.3	3068.69
71 	571.06 	4434.12	15871.9	3052.12
72 	571.06 	4369.01	16557.6	3032.4 
73 	571.06 	4299.1 	16618.2	3047.66
74 	571.06 	4189.57	15366.8	2991.68
75 	571.06 	4140.13	15457.8	2914.31
76 	571.06 	4063.48	15421.8	2783.79
77 	571.06 	4010.43	14236.9	2747.56
78 	571.06 	3951.39	13947.1	2684.21
79 	571.06 	3880.97	16584.3	2782.98
80 	571.06 	3797.66	13398.4	2631.41
81 	571.06 	3740.36	12520.1	2563.25
82 	510.778	3693.92	12341.7	2619.19
83 	510.778	3621.61	12365.2	2547.56
84 	510.778	3570.54	12365.2	2524.12
85 	510.778	3516.37	12773.2	2528.62
86 	497.432	3457.62	12331  	2431.08
87 	366.034	3388.49	12279.4	2427.25
88 	338.928	3344.58	12855.9	2384.03
89 	331.848	3295.28	12807.9	2428.82
90 	331.848	3246.81	11900.2	2431.63
91 	331.848	3196.04	12318.1	2402.3 
92 	278.942	3130.25	11249.5	2263.71
93 	278.942	3087.92	11962.7	2228.19
94 	278.942	3053.38	11023.3	2220.95
95 	278.942	3026.18	10926.9	2152.37
96 	260.223	2975.36	11833.4	2156.99
97 	260.223	2924.98	11515.6	2100.02
98 	260.223	2881.04	11546.8	2033.94
99 	260.223	2823.69	11546.8	2001.2 
100	260.223	2769.93	10737.3	1957.28
101	260.223	2721.32	10597.4	1931.57
102	226.146	2663.02	10692.3	1877.76
103	226.146	2608.97	10878.9	1824.65
104	226.146	2565.71	9665.73	1783.45
105	226.146	2536.21	9665.73	1773.44
106	226.146	2502.61	9855.56	1761.26
107	226.146	2470.38	9857.63	1744.36
108	226.146	2437.01	9161.03	1631.74
109	226.146	2403.91	9543.11	1653.71
110	226.146	2357.66	8213.72	1612.59
111	226.146	2324.17	9470.11	1692.9 
112	226.146	2279.31	9115.43	1645.47
113	226.146	2252.21	8572.64	1631.38
114	226.146	2233.81	8530.14	1584.54
115	226.146	2195.32	8034.33	1515.12
116	226.146	2156.43	7786.64	1444.96
117	226.146	2125.84	8798.7 	1469.57
118	226.146	2088.34	8866.32	1443.45
119	226.146	2056.65	8843.1 	1394.33
120	226.146	2033.34	6932.01	1342.61
121	226.146	2006.7 	7142.79	1321.59
122	226.146	1980.24	6835.57	1320.56
123	226.146	1951.99	8347.59	1338.08
124	226.146	1931.29	8272.15	1311.94
125	226.146	1902.7 	7259.23	1273.07
126	226.146	1870.74	6964.6 	1216.48
127	226.146	1848.08	7105.09	1222.36
128	226.146	1824.22	7084.51	1247.76
129	208.382	1802.36	7573.61	1182.64
130	208.382	1784.84	7285.17	1135.33
131	208.382	1766.09	6173.62	1117.26
132	208.382	1738.87	5947.09	1116.26
133	195.119	1708.49	6351.4 	1112.93
134	195.119	1687.55	6908.28	1082.05
