gen	min    	avg    	max    	std    
0  	1698.06	13670.1	38001.4	6619.52
1  	1698.06	13433  	34509.3	6709.02
2  	1698.06	13259.6	35369.7	6832.7 
3  	1698.06	13062.4	36637.9	6708.99
4  	1698.06	12861.9	36637.9	6281.11
5  	1698.06	12686.7	33430.8	6325.68
6  	1473.67	12433.5	31821.2	6139.35
7  	1473.67	12290.8	32700.6	6082.41
8  	1473.67	12121  	30255.9	5960.13
9  	1473.67	11940  	29024.3	5961.89
10 	1473.67	11744.3	35299.1	6084.31
11 	1246.91	11603.2	31434.7	6033.89
12 	1246.91	11475.2	30540.4	6074.47
13 	1246.91	11302.3	30111  	5988.24
14 	1246.91	11190.7	28984.8	5931.32
15 	1246.91	11096.2	28353.4	5909.96
16 	1246.91	10949.1	30604.2	5859.67
17 	1127.28	10733.6	28625.9	5801.15
18 	1012.26	10581  	30194  	5763.84
19 	932.662	10431.5	30245.7	5617.4 
20 	932.662	10251  	27951.8	5401.3 
21 	932.662	10139.4	26076.1	5347.82
22 	932.662	9931.21	27427.4	5410.97
23 	932.662	9740.96	25211.3	5396.41
24 	932.662	9567.1 	25104.3	5313.37
25 	932.662	9392.34	26993.3	5238.03
26 	932.662	9272.31	26372.1	5203.08
27 	932.662	9116.98	26365.1	5156   
28 	932.662	8985.36	27925.2	5283.53
29 	932.662	8835.96	27866.5	5253.1 
30 	932.662	8668.17	29039  	5105.53
31 	932.662	8534.39	23661.5	5087.46
32 	932.662	8405.26	23600.9	5034.81
33 	932.662	8256.97	27698.8	5243.72
34 	932.662	8173.43	26259.7	5082.39
35 	932.662	8086.61	23291.7	5100.72
36 	932.662	7998.81	26769.2	5086.62
37 	932.662	7887.82	26942.3	4994.69
38 	932.662	7803.08	26495.9	4887.58
39 	932.662	7701.51	23427.1	4748.99
40 	932.662	7613.67	22802.1	4791.94
41 	932.662	7479.33	23637.7	4792.43
42 	932.662	7267.33	25625.2	4599.58
43 	773.51 	7163.06	24827.9	4683.15
44 	773.51 	7029.1 	24792.8	4505.18
45 	773.51 	6925.82	22070  	4490.83
46 	773.51 	6802.01	23370.8	4265.33
47 	773.51 	6732.69	23271.4	4183.99
