gen	min   	avg        	max       	std   
0  	643328	2.20627e+06	3.7435e+06	551375
1  	643328	2.19909e+06	4.13457e+06	562613
2  	643328	2.16976e+06	4.26211e+06	560293
3  	578333	2.16295e+06	4.31762e+06	567001
4  	578333	2.14717e+06	4.49488e+06	603348
5  	561535	2.11199e+06	3.90627e+06	578344
6  	561535	2.09082e+06	3.67895e+06	559957
7  	561535	2.08068e+06	3.94524e+06	557311
8  	561535	2.06993e+06	3.8763e+06 	559377
9  	561535	2.05261e+06	4.3058e+06 	565851
10 	561491	2.042e+06  	4.10722e+06	566642
11 	561491	2.02639e+06	4.10722e+06	544803
12 	561491	2.01246e+06	3.74755e+06	541843
13 	561491	1.99338e+06	3.70316e+06	527512
14 	561491	1.97738e+06	3.70316e+06	530899
15 	379074	1.9543e+06 	3.61351e+06	552840
16 	379074	1.95556e+06	3.48239e+06	542606
17 	379074	1.94257e+06	3.65269e+06	558953
18 	379074	1.92214e+06	3.63545e+06	542654
19 	379074	1.90539e+06	3.62171e+06	527521
20 	379074	1.89479e+06	3.57414e+06	534636
21 	379074	1.88657e+06	3.52742e+06	542523
22 	379074	1.87339e+06	3.78689e+06	530797
23 	379074	1.85727e+06	3.58404e+06	522569
24 	379074	1.83131e+06	3.42127e+06	526206
25 	367671	1.81166e+06	3.2754e+06 	521843
26 	359169	1.8057e+06 	3.10174e+06	513753
27 	356675	1.78997e+06	3.19599e+06	503058
28 	356675	1.78238e+06	3.23432e+06	495059
29 	356675	1.776e+06  	3.21654e+06	513635
30 	356675	1.76326e+06	3.14992e+06	503258
31 	356675	1.75449e+06	3.07695e+06	500166
32 	356675	1.73661e+06	3.12052e+06	491360
33 	356675	1.71949e+06	3.21754e+06	486395
34 	356675	1.71627e+06	3.23918e+06	479155
35 	326080	1.7087e+06 	3.0594e+06 	485225
36 	311019	1.68591e+06	3.20438e+06	476334
37 	311019	1.68028e+06	3.04864e+06	472417
38 	311019	1.66002e+06	3.26112e+06	472133
39 	311019	1.6418e+06 	2.92968e+06	473584
40 	311019	1.63639e+06	2.95831e+06	478711
41 	311019	1.62548e+06	2.99479e+06	477959
42 	311019	1.61356e+06	2.97863e+06	470743
43 	311019	1.59645e+06	3.00515e+06	468165
44 	311019	1.59739e+06	2.86843e+06	465732
45 	311019	1.56898e+06	2.71773e+06	442115
46 	311019	1.56214e+06	2.71506e+06	436094
47 	275890	1.55333e+06	2.62882e+06	429387
48 	275890	1.53823e+06	2.65761e+06	439796
49 	275890	1.52893e+06	2.84559e+06	429323
50 	275890	1.52704e+06	2.8751e+06 	438759
51 	275890	1.5163e+06 	2.88808e+06	447861
52 	275890	1.4937e+06 	2.85889e+06	438082
53 	275890	1.49101e+06	2.62699e+06	427400
54 	212493	1.48101e+06	2.66084e+06	422354
55 	174536	1.47191e+06	2.54623e+06	419747
56 	127718	1.46986e+06	2.53653e+06	425745
57 	126960	1.46096e+06	2.73334e+06	425553
58 	126960	1.45561e+06	2.49571e+06	413304
59 	126960	1.44148e+06	2.78751e+06	412111
60 	126960	1.4356e+06 	2.52569e+06	407338
61 	126960	1.43203e+06	2.51292e+06	392425
62 	126960	1.42469e+06	2.79146e+06	408365
63 	126960	1.41243e+06	2.72427e+06	406327
64 	126960	1.38991e+06	2.65228e+06	401018
65 	124676	1.37976e+06	2.55972e+06	417784
66 	124676	1.37178e+06	2.42196e+06	402038
67 	124676	1.37171e+06	2.43885e+06	400501
68 	124676	1.35479e+06	2.56391e+06	401442
69 	124676	1.34617e+06	2.70535e+06	393510
70 	124676	1.3316e+06 	2.68818e+06	400686
71 	124676	1.32058e+06	2.61894e+06	397835
72 	124676	1.31618e+06	2.70091e+06	407030
73 	124676	1.31014e+06	2.73235e+06	393599
74 	124676	1.30465e+06	2.39174e+06	388922
75 	124676	1.29303e+06	2.76972e+06	394204
76 	124676	1.28879e+06	2.59715e+06	377511
77 	124676	1.27967e+06	2.57896e+06	368572
78 	124676	1.28463e+06	2.492e+06  	394055
79 	124676	1.27073e+06	2.40736e+06	376205
80 	124676	1.25638e+06	2.40736e+06	364942
81 	124676	1.25192e+06	2.22364e+06	368807
82 	124676	1.24242e+06	2.19524e+06	359770
83 	124676	1.23776e+06	2.28655e+06	370021
84 	124676	1.23391e+06	2.2579e+06 	362950
85 	124676	1.2225e+06 	2.32295e+06	363706
86 	124676	1.21957e+06	2.2439e+06 	356860
87 	124676	1.20432e+06	2.1776e+06 	340537
88 	124676	1.19723e+06	2.22081e+06	336041
89 	124676	1.19525e+06	2.147e+06  	327383
90 	124676	1.19537e+06	2.22652e+06	343034
91 	124676	1.18265e+06	2.22156e+06	345492
92 	124676	1.17365e+06	2.22496e+06	331034
93 	124676	1.17635e+06	2.17358e+06	336104
94 	124676	1.17645e+06	2.16713e+06	335527
95 	124676	1.17447e+06	2.25368e+06	351261
96 	124676	1.16042e+06	2.30119e+06	340512
97 	124676	1.15214e+06	2.12126e+06	330762
98 	123528	1.15293e+06	2.30296e+06	346546
99 	123528	1.14719e+06	2.20815e+06	331232
100	123528	1.14841e+06	2.03887e+06	325203
101	123528	1.13776e+06	2.27989e+06	317053
102	123528	1.13152e+06	2.04779e+06	314587
103	123528	1.11803e+06	2.03479e+06	303553
104	123528	1.11429e+06	1.98178e+06	310372
105	123528	1.10707e+06	1.99859e+06	296686
106	123528	1.1042e+06 	1.99987e+06	283667
107	123528	1.09394e+06	1.96954e+06	286826
108	123528	1.09156e+06	2.02921e+06	291378
109	123528	1.08393e+06	1.99841e+06	289383
110	123528	1.07674e+06	2.06015e+06	290282
111	123528	1.07128e+06	2.00076e+06	289524
112	123528	1.06896e+06	2.00469e+06	306106
113	123528	1.06525e+06	2.06549e+06	302316
114	123528	1.0608e+06 	2.06549e+06	303605
115	123528	1.0549e+06 	2.04218e+06	291359
116	123528	1.04603e+06	2.04589e+06	300488
117	123528	1.05041e+06	2.01991e+06	293657
118	123528	1.05162e+06	1.9556e+06 	283399
119	123528	1.04981e+06	1.97878e+06	292838
120	123528	1.04791e+06	1.97878e+06	282167
121	123528	1.04494e+06	1.90175e+06	275985
122	123528	1.03426e+06	1.8634e+06 	268982
123	123528	1.02854e+06	1.85157e+06	255343
124	123528	1.03076e+06	1.87007e+06	270360
125	123528	1.02543e+06	2.03832e+06	276469
126	123528	1.02431e+06	1.93412e+06	288497
127	123528	1.02233e+06	1.92651e+06	270238
128	123528	1.01595e+06	1.88514e+06	265050
129	123528	1.01488e+06	1.87294e+06	271584
130	123528	1.00428e+06	1.89959e+06	266991
131	123528	999782     	1.97007e+06	269164
132	123528	993762     	2.01554e+06	254433
133	123528	991280     	1.86317e+06	253713
134	123528	992904     	1.86252e+06	256806
135	123528	994588     	1.86801e+06	249433
136	123528	991206     	1.94849e+06	252171
137	123528	990153     	1.87673e+06	249990
138	123528	987794     	1.85622e+06	255352
139	123528	981616     	1.74519e+06	248489
140	123528	974643     	1.79972e+06	246688
141	123528	972010     	1.84868e+06	256738
142	123528	967401     	1.88386e+06	255428
143	123528	964682     	1.84868e+06	257887
144	123528	961262     	1.85089e+06	258981
145	122504	955591     	1.7882e+06 	252037
146	101081	951914     	1.74957e+06	253293
147	101081	953691     	1.83974e+06	258107
148	101081	947315     	1.80511e+06	253562
149	101081	944292     	1.78181e+06	251837
150	101081	949202     	1.71948e+06	248511
151	101081	946298     	1.73895e+06	243142
152	101081	939749     	1.85108e+06	236548
153	101081	931698     	1.65464e+06	241990
154	101081	931721     	1.48684e+06	231080
155	101081	927207     	1.58162e+06	233805
156	100111	923699     	1.57536e+06	230311
157	93926.9	927416     	1.65629e+06	232041
158	93926.9	925565     	1.61152e+06	224394
159	93926.9	922970     	1.75043e+06	224221
160	93926.9	920818     	1.75735e+06	235733
161	93926.9	910323     	1.75661e+06	225847
162	93926.9	909301     	1.72733e+06	234758
163	93926.9	902438     	1.65937e+06	235982
164	93926.9	904903     	1.81552e+06	238614
165	93926.9	906045     	1.81552e+06	228715
166	93926.9	898405     	1.43832e+06	221017
167	93926.9	901138     	1.49346e+06	214714
168	93926.9	901013     	1.4785e+06 	224760
169	93926.9	894067     	1.5737e+06 	226297
170	93926.9	892950     	1.65996e+06	236628
171	93926.9	893688     	1.64132e+06	225210
172	93926.9	891083     	1.48503e+06	218168
173	93926.9	893501     	1.63717e+06	227862
174	93926.9	883968     	1.55683e+06	219430
