gen	min   	avg        	max        	std   
0  	516220	1.46129e+06	2.95733e+06	425494
1  	473450	1.44606e+06	2.78862e+06	427444
2  	429489	1.43274e+06	2.67485e+06	411873
3  	429489	1.41356e+06	2.70613e+06	415640
4  	413618	1.40093e+06	2.5239e+06 	393371
5  	413618	1.38416e+06	2.69564e+06	402822
6  	413618	1.36669e+06	2.58809e+06	404857
7  	377788	1.34984e+06	2.52772e+06	406010
8  	377788	1.33541e+06	2.59198e+06	391289
9  	377788	1.32135e+06	2.47532e+06	404323
10 	377788	1.30693e+06	2.42407e+06	394060
11 	377788	1.29249e+06	2.46969e+06	395892
12 	328191	1.27397e+06	2.53037e+06	384430
13 	328191	1.25769e+06	2.3996e+06 	396437
14 	321354	1.24198e+06	2.38032e+06	386879
15 	321354	1.22968e+06	2.24938e+06	389497
16 	321354	1.21494e+06	2.45643e+06	382610
17 	321354	1.19517e+06	2.34267e+06	395497
18 	321354	1.18101e+06	2.39458e+06	392147
19 	253505	1.16965e+06	2.2535e+06 	380625
20 	253505	1.15587e+06	2.17427e+06	364439
21 	253505	1.14156e+06	2.27136e+06	356797
22 	253505	1.12658e+06	2.46346e+06	367117
23 	253505	1.11238e+06	2.38994e+06	374857
24 	253505	1.09794e+06	2.51666e+06	366281
25 	253505	1.08352e+06	2.42182e+06	378262
26 	253505	1.06702e+06	2.23612e+06	376413
27 	253505	1.0577e+06 	2.19575e+06	378504
28 	183467	1.04346e+06	2.17303e+06	367318
29 	153437	1.02363e+06	2.02095e+06	362944
30 	153437	1.01206e+06	2.10348e+06	367960
31 	153437	998114     	2.17322e+06	369911
32 	153437	983969     	1.88658e+06	353514
33 	153437	972583     	2.10609e+06	364896
34 	153437	961075     	2.09406e+06	343964
35 	153437	947860     	1.92104e+06	344810
36 	145865	937079     	1.97627e+06	327260
37 	134692	926834     	2.14667e+06	326746
38 	134692	920598     	1.7984e+06 	319191
39 	134692	908774     	1.89096e+06	317528
40 	134692	895868     	1.9583e+06 	319704
41 	131830	884597     	1.87876e+06	317068
42 	110092	876001     	1.84105e+06	307112
43 	110092	867920     	1.85278e+06	313810
44 	110092	859962     	1.95324e+06	318677
45 	110092	849168     	1.81851e+06	321802
46 	110092	838036     	1.75115e+06	314049
47 	110092	830391     	1.75033e+06	306383
48 	110092	824284     	1.71917e+06	306234
49 	110092	813409     	1.71499e+06	303396
50 	110092	803378     	1.66114e+06	296819
51 	110092	792957     	1.73944e+06	285820
52 	100968	781651     	1.82817e+06	288521
53 	100968	774629     	1.70431e+06	291401
54 	100968	766089     	1.64446e+06	293969
55 	100968	754710     	1.6058e+06 	275378
56 	100968	748470     	1.49162e+06	272667
57 	100968	740037     	1.67668e+06	280216
58 	100968	731472     	1.5408e+06 	281207
59 	100968	722586     	1.52146e+06	274343
60 	100968	714454     	1.49509e+06	281323
61 	100968	705944     	1.59451e+06	276734
62 	100968	698570     	1.5351e+06 	272032
63 	100968	690931     	1.49414e+06	271340
64 	100968	682271     	1.42592e+06	273554
65 	100968	674046     	1.45332e+06	263517
66 	100968	667872     	1.4814e+06 	263562
67 	100968	660523     	1.51929e+06	262326
68 	97106.4	652711     	1.63626e+06	273269
69 	97106.4	645276     	1.51739e+06	271921
70 	92077.9	637861     	1.54511e+06	270341
71 	92077.9	630695     	1.55646e+06	260883
72 	91848  	622562     	1.47745e+06	260807
73 	89623.4	614936     	1.4238e+06 	257506
74 	89623.4	605103     	1.42971e+06	257699
75 	89623.4	598464     	1.46691e+06	242225
76 	89623.4	589626     	1.32702e+06	237516
77 	89623.4	582384     	1.4683e+06 	243997
78 	82196.2	576828     	1.49767e+06	247159
79 	82196.2	568801     	1.41947e+06	232118
80 	82196.2	561883     	1.37787e+06	228942
81 	82196.2	557385     	1.30653e+06	229246
82 	82196.2	551335     	1.34183e+06	219324
83 	81269.3	545866     	1.32726e+06	216773
84 	81269.3	538677     	1.29347e+06	210181
85 	81057  	533026     	1.27543e+06	221756
