gen	min   	avg       	max        	std   
0  	456812	1.5048e+06	2.78871e+06	429444
1  	370530	1.48473e+06	2.7743e+06 	434243
2  	369942	1.46581e+06	3.10782e+06	450712
3  	328561	1.44748e+06	3.02064e+06	463101
4  	328561	1.43284e+06	2.80535e+06	446444
5  	321471	1.41486e+06	2.62695e+06	426812
6  	303124	1.39472e+06	2.64749e+06	427799
7  	299465	1.38156e+06	2.4534e+06 	422651
8  	247500	1.36684e+06	2.41194e+06	421983
9  	247500	1.34998e+06	2.50171e+06	416525
10 	205733	1.33671e+06	2.50681e+06	409307
11 	205733	1.31609e+06	2.41335e+06	424544
12 	205733	1.29588e+06	2.73409e+06	432833
13 	205733	1.28252e+06	2.49276e+06	424786
14 	205733	1.26097e+06	2.46081e+06	432503
15 	205733	1.23913e+06	2.73967e+06	435412
16 	205733	1.2269e+06 	2.4474e+06 	411290
17 	205733	1.2126e+06 	2.48734e+06	408022
18 	205733	1.19691e+06	2.40547e+06	400527
19 	205733	1.18373e+06	2.34658e+06	395517
20 	205733	1.16947e+06	2.34643e+06	389941
21 	205733	1.1526e+06 	2.39358e+06	380286
22 	205733	1.14179e+06	2.40138e+06	385111
23 	186449	1.1249e+06 	2.27059e+06	380845
24 	186449	1.1098e+06 	2.32816e+06	378102
25 	186449	1.09442e+06	2.24016e+06	386973
26 	186449	1.0757e+06 	2.18801e+06	379849
27 	186449	1.0655e+06 	2.28113e+06	381970
28 	186449	1.05301e+06	2.26756e+06	372521
29 	175687	1.0393e+06 	2.20569e+06	374758
30 	175656	1.02424e+06	2.14954e+06	378190
31 	175656	1.01024e+06	2.14705e+06	365821
32 	175656	996670     	2.22026e+06	367625
33 	175656	979719     	2.04964e+06	359037
34 	175656	968015     	2.04902e+06	358803
35 	175656	956559     	2.24383e+06	349120
36 	175656	945613     	2.01702e+06	332818
37 	175656	932753     	1.89138e+06	323163
38 	175656	921324     	2.0414e+06 	325016
39 	175656	909348     	2.00613e+06	332090
40 	175656	897773     	1.93379e+06	339039
41 	175656	882532     	2.03631e+06	335565
42 	175656	873612     	1.84104e+06	322626
43 	150529	865400     	1.76501e+06	327482
44 	150529	854808     	1.9489e+06 	335669
45 	129259	844839     	2.04769e+06	332241
46 	97894 	833494     	1.97553e+06	326901
47 	97894 	822520     	1.91824e+06	319178
48 	97894 	812437     	1.74131e+06	319505
49 	97894 	802922     	1.71952e+06	313472
50 	94193.6	793309     	1.76562e+06	299813
51 	94193.6	783983     	1.80297e+06	311323
52 	94193.6	775650     	1.81619e+06	297634
53 	94193.6	766361     	1.7652e+06 	296679
54 	94193.6	757538     	1.85353e+06	308511
55 	94193.6	749664     	1.5928e+06 	293347
