gen	min   	avg        	max     	std   
0  	452932	1.42666e+06	2.49e+06	411033
1  	404485	1.40721e+06	2.55062e+06	419506
2  	404485	1.39703e+06	2.63862e+06	431365
3  	404485	1.38296e+06	2.78946e+06	437026
4  	404485	1.36989e+06	2.61533e+06	422329
5  	311365	1.35247e+06	2.59412e+06	414052
6  	306218	1.33909e+06	2.46157e+06	411457
7  	306218	1.32923e+06	2.49595e+06	414988
8  	306218	1.31261e+06	2.85338e+06	422268
9  	282645	1.29642e+06	2.4957e+06 	420579
10 	282645	1.27674e+06	2.44362e+06	400378
11 	261417	1.25934e+06	2.40861e+06	417040
12 	261417	1.24565e+06	2.34054e+06	406352
13 	210889	1.23235e+06	2.38426e+06	400205
14 	210889	1.21578e+06	2.4025e+06 	381589
15 	205419	1.19986e+06	2.50612e+06	394467
16 	205419	1.18527e+06	2.34608e+06	387452
17 	155876	1.16775e+06	2.41361e+06	380657
18 	155876	1.15203e+06	2.39678e+06	378190
19 	155876	1.14006e+06	2.34158e+06	365185
20 	155876	1.12667e+06	2.2489e+06 	365541
21 	155876	1.11081e+06	2.10454e+06	366071
22 	155876	1.09444e+06	2.24452e+06	379017
23 	155876	1.08013e+06	2.30984e+06	370549
24 	155876	1.06852e+06	2.20848e+06	364038
25 	155876	1.05621e+06	2.19163e+06	361052
26 	155876	1.04338e+06	2.21341e+06	372566
27 	155876	1.02184e+06	2.19163e+06	364168
28 	155876	1.00938e+06	2.07045e+06	369095
29 	155876	999581     	2.10713e+06	358356
30 	155876	989889     	1.96423e+06	347844
31 	155876	979034     	1.92823e+06	332853
32 	155876	967653     	1.97796e+06	335468
33 	155876	955781     	1.89397e+06	336802
34 	143461	944297     	1.98903e+06	332544
35 	141852	936084     	1.93047e+06	338981
36 	122883	923353     	1.88208e+06	325331
37 	122883	911843     	1.89871e+06	319279
38 	122883	900472     	1.8104e+06 	313597
39 	122883	888169     	1.93612e+06	314710
40 	122883	878770     	1.80467e+06	316016
41 	106507	866892     	1.79199e+06	316264
42 	106507	859443     	1.87681e+06	321700
43 	106507	853543     	1.71711e+06	306197
44 	106507	842946     	1.76153e+06	299107
45 	106507	834048     	1.74599e+06	305282
46 	106507	822052     	1.6867e+06 	289056
47 	106507	812636     	1.64442e+06	284210
48 	106507	804577     	1.67041e+06	287412
49 	106507	796617     	1.65653e+06	286043
50 	106507	788151     	1.62142e+06	277485
51 	106507	776734     	1.64083e+06	286915
52 	106507	767604     	1.6551e+06 	283409
53 	106507	758448     	1.69216e+06	288795
54 	106507	749550     	1.70013e+06	289069
55 	106507	742042     	1.65925e+06	278789
56 	106507	730956     	1.72284e+06	270512
57 	106507	724475     	1.6532e+06 	275151
58 	100705	714123     	1.66771e+06	275571
59 	100705	706494     	1.58631e+06	265180
60 	100705	699335     	1.49485e+06	258885
61 	100705	688294     	1.55722e+06	261538
62 	100705	681502     	1.51183e+06	261650
63 	100705	675684     	1.59497e+06	269001
64 	100705	667362     	1.64942e+06	266112
65 	100705	662273     	1.59481e+06	260716
66 	100705	653933     	1.52775e+06	256899
67 	100705	647641     	1.52775e+06	248089
68 	100705	640191     	1.47291e+06	256038
69 	100705	632838     	1.39438e+06	244246
70 	100705	625925     	1.46037e+06	245842
71 	100705	618749     	1.40219e+06	241047
72 	100705	614125     	1.40531e+06	246086
73 	100705	606839     	1.24315e+06	239878
74 	100705	598293     	1.29006e+06	239311
75 	100705	590752     	1.48108e+06	226476
76 	100705	585295     	1.27319e+06	220145
77 	100705	579915     	1.22142e+06	215024
78 	100705	571962     	1.21887e+06	224941
79 	100705	565466     	1.18042e+06	215977
80 	100705	559303     	1.19972e+06	218579
81 	100705	555255     	1.2654e+06 	217293
82 	100705	550024     	1.21057e+06	212387
83 	100705	544355     	1.30153e+06	218741
84 	100705	538900     	1.27615e+06	209205
85 	100705	533683     	1.27684e+06	211934
86 	100705	529069     	1.22071e+06	213702
87 	100705	523651     	1.25957e+06	217261
88 	100705	517753     	1.24643e+06	214588
89 	100705	510849     	1.38234e+06	214158
90 	100705	507351     	1.25543e+06	205161
91 	100705	501079     	1.09462e+06	196619
92 	100705	497266     	1.09462e+06	195763
93 	100705	490973     	1.1138e+06 	197365
94 	100705	486522     	1.30873e+06	194589
95 	100705	480610     	1.12612e+06	194491
96 	100705	474802     	1.24536e+06	193970
97 	90849 	469925     	1.18303e+06	197280
98 	90849 	463484     	1.24898e+06	193064
99 	90849 	457397     	1.20782e+06	188189
100	90849 	451809     	1.06934e+06	180703
101	90849 	448292     	972633     	176762
102	90452.7	444706     	1.00852e+06	178100
103	90452.7	442061     	1.00843e+06	184583
104	90452.7	437197     	1.27311e+06	179263
105	90452.7	432722     	1.1052e+06 	174779
106	90452.7	428832     	1.05421e+06	176204
107	90300.8	422967     	1.06434e+06	168654
108	90300.8	418541     	1.16691e+06	168854
109	81821.7	412483     	1.02422e+06	164035
110	81821.7	409420     	914961     	156449
111	81821.7	405808     	912370     	151652
112	81821.7	401563     	961455     	163096
113	81821.7	398540     	961455     	164555
114	81821.7	395874     	952880     	154900
115	81821.7	392142     	956266     	154689
116	81821.7	388361     	994736     	160401
117	81821.7	384013     	929085     	157999
118	81821.7	380657     	999840     	155627
119	81821.7	377660     	899218     	153664
120	81821.7	374865     	903823     	154721
121	79648.7	370566     	954626     	151057
122	79648.7	367076     	1.01848e+06	152872
123	79648.7	364123     	1.06621e+06	152781
124	79648.7	361092     	1.0393e+06 	148814
125	79648.7	357108     	962862     	151621
126	79648.7	353896     	975252     	145214
127	79648.7	349458     	928071     	135974
128	79648.7	345045     	852494     	127910
129	79648.7	340782     	755967     	126243
130	79491  	337595     	795307     	125518
131	79491  	334255     	743260     	126218
132	79491  	330086     	746450     	126437
133	77252.3	327377     	746450     	122709
134	77252.3	323677     	746441     	119762
135	77252.3	320196     	705247     	115999
136	77252.3	318118     	749170     	114352
137	77252.3	313801     	734256     	119496
138	77252.3	311158     	737139     	117686
139	76920.7	308648     	655026     	117885
140	76920.7	305372     	808864     	116509
141	76920.7	302756     	665787     	115403
142	70793.8	301515     	703547     	115408
143	70154.1	299399     	755708     	112815
144	70154.1	297500     	777193     	107552
145	70154.1	295216     	685280     	106087
146	70154.1	292250     	685937     	104620
147	70154.1	290031     	677878     	103485
148	70154.1	288071     	685277     	106397
149	70154.1	285788     	697193     	103944
150	70154.1	283899     	679100     	102800
151	70154.1	281496     	662249     	102758
152	70154.1	279646     	648312     	98450.6
153	70154.1	278070     	659734     	98214.3
154	70154.1	276027     	692148     	98931.5
155	70154.1	274038     	642414     	96618.8
156	70154.1	271749     	575685     	96038.8
157	70154.1	270002     	612348     	97811.1
158	63886.9	268439     	629377     	98153.4
159	63886.9	267484     	643758     	99381.1
160	63886.9	265798     	641629     	95264.6
161	63886.9	264191     	578924     	92609  
162	63886.9	262291     	562082     	89149.1
163	63886.9	260323     	615232     	87104.1
164	63886.9	258775     	564726     	85885.8
165	63886.9	257303     	564112     	87707.8
166	63886.9	254828     	520017     	84894.2
167	63886.9	252655     	577007     	86391.5
168	63886.9	250975     	551624     	85574.3
169	63886.9	249406     	539478     	84274  
170	63886.9	247558     	539378     	84058.4
171	63886.9	245789     	600042     	82050.9
172	63886.9	244397     	528789     	82353.4
173	63886.9	242418     	575025     	80434.7
174	63886.9	240599     	602369     	79060.5
175	61044.6	239247     	577939     	79150.9
176	61044.6	237853     	576712     	78613.1
177	54932.6	236450     	552606     	74904.6
178	54932.6	235208     	542100     	73433.7
179	54932.6	234343     	518397     	72003.8
180	54932.6	232328     	505687     	71317.2
181	54932.6	231194     	505687     	71768.8
182	53659.8	230003     	483094     	72558.9
183	53659.8	228250     	443418     	67768.8
184	53659.8	227099     	453758     	66065.3
185	53659.8	225334     	438248     	65911.7
186	53659.8	223920     	466117     	67633.1
187	53659.8	223135     	472752     	68471.6
188	53659.8	221586     	482868     	65845.1
189	52232.5	220327     	482868     	65805.4
190	47336.8	219199     	448802     	64821.4
191	47336.8	217543     	446889     	63971.3
192	47336.8	216346     	411212     	61768.8
193	47336.8	215374     	450295     	59840.8
194	47336.8	214493     	396358     	57021.3
195	47336.8	213529     	411951     	58876.5
196	47336.8	212561     	398429     	56656.6
197	47336.8	211573     	397628     	56709.6
198	47336.8	210253     	410420     	56348.3
199	47336.8	209091     	419791     	57097.1
Result of algorithm run: SUCCESS, 0, 0, 47336.774511, 0
