gen	min   	avg   	max        	std   
0  	234824	833712	2.11312e+06	301206
1  	234824	822255	2.33413e+06	310690
2  	212712	804529	1.90414e+06	296314
3  	189303	772389	1.81968e+06	287325
4  	175493	754602	2.06833e+06	282762
5  	151155	743525	2.06833e+06	294989
6  	151155	717282	1.98947e+06	287378
7  	151155	704807	1.95626e+06	284046
8  	122299	679680	1.7893e+06 	271042
9  	96962.1	675073	1.73328e+06	278736
10 	96962.1	657955	1.662e+06  	257409
11 	96962.1	651961	1.79663e+06	264267
12 	74517.8	639280	1.9758e+06 	258868
13 	74517.8	626198	1.91949e+06	262610
14 	74517.8	620032	1.62699e+06	252055
15 	74517.8	602631	1.696e+06  	254506
16 	55069.2	590661	2.18835e+06	254950
17 	55069.2	567105	1.84215e+06	243604
18 	55069.2	566834	1.4e+06    	242472
19 	55069.2	558443	1.3436e+06 	235708
20 	55069.2	543541	1.34861e+06	233360
21 	50801.1	526383	1.57428e+06	222916
22 	50801.1	525894	1.42568e+06	232018
23 	50801.1	514707	1.33405e+06	228095
24 	50801.1	502639	1.37693e+06	218276
25 	50801.1	489637	1.27452e+06	213397
26 	50801.1	472665	1.26881e+06	207991
27 	50801.1	456243	1.38076e+06	210247
28 	50801.1	458897	1.34577e+06	220974
29 	50801.1	447646	1.13212e+06	204279
30 	31758.7	428425	1.29615e+06	200867
31 	31758.7	417692	1.14889e+06	184111
32 	31758.7	411144	1.1474e+06 	186923
33 	31758.7	401617	1.12725e+06	181928
34 	31758.7	396574	1.02969e+06	170692
35 	31758.7	387000	942936     	171901
36 	31758.7	384973	1.04244e+06	184669
37 	31758.7	366232	975997     	171626
38 	31758.7	365382	962546     	178436
39 	31758.7	354954	999681     	169899
40 	31091.6	348945	1.1687e+06 	165938
41 	31091.6	339935	954874     	159380
42 	31091.6	332188	996986     	154627
43 	31091.6	324121	899011     	151774
44 	31091.6	316440	985591     	155622
45 	31091.6	309421	998721     	160378
46 	31091.6	302011	923793     	157251
47 	31091.6	295993	838498     	144300
48 	31091.6	292329	1.14131e+06	147705
49 	31091.6	283934	803835     	139314
50 	18773.6	274828	803835     	131348
51 	18773.6	270493	766983     	129141
52 	18773.6	262174	727482     	120138
53 	18773.6	262267	678834     	124316
54 	18773.6	254678	723983     	123798
55 	18773.6	248611	713946     	116078
56 	18773.6	242290	747582     	123960
57 	18773.6	237766	747582     	122625
58 	18773.6	228446	643634     	108808
59 	18773.6	227029	633404     	111627
60 	16378.4	223208	607196     	110044
61 	16378.4	218234	699403     	111950
62 	16378.4	212681	693786     	110030
63 	12854.3	209051	603217     	110335
64 	12854.3	208683	701268     	114556
65 	9932.79	203477	800334     	121832
