/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
(5, 2006, 'EastJapan')
gen	min    	avg     	max     	std    
0  	-496737	-15497.4	-5177.54	33876.9
1  	-438825	-14942.2	-5177.54	27415.5
2  	-220966	-14491.6	-5177.54	20432  
3  	-208245	-14389.1	-5177.54	19540.9
4  	-187530	-14100  	-4917.13	17281.6
5  	-162491	-13845.5	-4917.13	15514.5
6  	-135307	-13850.8	-4917.13	14916.6
7  	-123201	-13647.5	-4917.13	13962.3
8  	-117971	-13626.2	-4917.13	12974.8
9  	-116363	-13688.4	-4917.13	12703.7
10 	-114823	-13770.9	-4917.13	12754.2
11 	-114823	-14055.6	-4917.13	13049.6
12 	-114823	-14293.6	-4917.13	13131.6
13 	-114506	-14216  	-4917.13	12233.3
14 	-98624.9	-14225.9	-4917.13	11059.7
15 	-94078  	-14227.6	-4792.43	10673.9
16 	-94236.2	-14386  	-4792.43	10984.7
17 	-107259 	-14559.7	-4792.43	11485.3
18 	-88353.7	-14665.5	-4792.43	10964.8
19 	-83694.3	-14695.4	-4792.43	10681  
20 	-84535.9	-14596.4	-4792.43	10690.9
21 	-80721.7	-14649.5	-4792.43	10370  
22 	-76467.1	-14811.5	-4792.43	10858.9
23 	-75040.6	-14990.3	-4711.61	10810.7
24 	-75040.6	-15094.7	-4711.61	10624  
25 	-78174.9	-15147.6	-4706.24	10423.3
26 	-90954.3	-15447.8	-4706.24	10745.5
27 	-80413.4	-15410.8	-4706.24	10373.1
28 	-88828.5	-15280.6	-4490.49	10137.5
29 	-78350.2	-15144  	-4487.79	9343.09
30 	-78804.8	-15346.9	-4487.79	9321.61
31 	-72924.5	-15328.1	-4487.79	8740.99
32 	-72976.3	-15549  	-4475.62	8945.17
33 	-74735.1	-15768.6	-4475.62	9233.86
34 	-70379.8	-15856.5	-4475.62	9546.67
35 	-77755.2	-15990  	-4475.62	9844.51
36 	-67344.8	-16000.5	-4475.62	9567.35
37 	-64771.4	-16047.3	-4475.62	9471.1 
38 	-66239.9	-16298.2	-4456.67	10031  
39 	-82356.1	-16496.3	-4456.67	10241.3
40 	-73556.9	-16557.3	-4456.67	9894.4 
41 	-75332.5	-16511.1	-4456.67	9680.26
42 	-74481.6	-16693.9	-4456.67	9720.69
43 	-68267.2	-16793.8	-4456.67	9632.1 
44 	-68348  	-16794.2	-4456.67	9557.45
45 	-65749.7	-16746.6	-4456.67	9301.18
46 	-66022  	-16889.3	-4456.67	9383.3 
47 	-59170.3	-16855.9	-4456.67	9052.6 
48 	-65858.3	-16941.4	-4456.67	8890.38
49 	-135628 	-17263.1	-4456.67	10219.9
50 	-53778.1	-17250.4	-4456.67	8935.12
51 	-53778.1	-17257.7	-4456.67	9186.65
52 	-49448.8	-17339  	-4456.67	9077.08
53 	-65413.5	-17637.9	-4456.67	9732.55
54 	-96722.8	-18003.9	-4456.67	11214.3
55 	-96549.1	-18304.9	-4456.67	11181  
56 	-140712 	-18856.4	-4456.67	13552.8
