/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
(5, 2006, 'EastJapan')
gen	min         	avg     	max     	std    
0  	-1.23815e+06	-20865.6	-5143.91	66354.1
1  	-459002     	-18790.7	-5143.91	38637.5
2  	-450879     	-19435.3	-5143.91	38917.1
3  	-439860     	-18543.1	-4904.86	33602.3
4  	-331465     	-17674.3	-4904.86	27504.6
5  	-334769     	-17821.2	-4904.86	27339.3
6  	-219054     	-17541.9	-4904.86	24049.9
7  	-220347     	-17729.7	-4904.86	24163.2
8  	-187955     	-17447.3	-4904.86	22388.8
9  	-187275     	-17448.8	-4904.86	21748.5
10 	-180177     	-17274.1	-4904.86	20453.2
11 	-179256     	-17476.6	-4904.86	21041.5
12 	-171201     	-17224.7	-4904.86	19491.8
13 	-148662     	-17160.1	-4904.86	18356.1
14 	-130544     	-16952.4	-4904.86	17418.5
15 	-130688     	-16870.1	-4904.86	16584.5
16 	-121411     	-16774.7	-4904.86	15856  
17 	-122997     	-16603.7	-4904.86	15235.9
18 	-124554     	-16674.8	-4904.86	15757.8
19 	-115114     	-16535.4	-4904.86	14741  
20 	-109417     	-16470  	-4904.86	13963.7
21 	-105608     	-16373.8	-4904.86	13542.2
22 	-94740.8    	-16241.6	-4904.86	12864.7
23 	-97480.3    	-16591  	-4904.86	13197.1
24 	-94337.8    	-16480.6	-4904.86	12686.8
25 	-94706.2    	-16655.5	-4904.86	12959.7
26 	-94161.7    	-16962.6	-4886.99	13536  
27 	-96168.8    	-16934  	-4886.99	12927.1
28 	-127993     	-17236.1	-4886.99	13977.8
29 	-127991     	-17391.8	-4886.99	14274  
30 	-114075     	-17236.1	-4886.99	13288  
31 	-81462.9    	-17024.7	-4886.99	12375  
32 	-121641     	-17350.3	-4886.99	13421.7
33 	-125282     	-17422.7	-4886.99	13596  
34 	-82475.5    	-17359.3	-4774.68	12691.1
35 	-85531.8    	-17531.4	-4774.68	12950.7
36 	-74912.1    	-17520.1	-4774.68	12308.3
37 	-78474.5    	-17661.1	-4774.68	12355.8
38 	-77442.6    	-17679.1	-4774.68	12477.9
39 	-113686     	-17893.5	-4774.68	13046.1
40 	-77675.6    	-17809.2	-4668.76	12291.7
41 	-74061.3    	-17710.7	-4668.76	12141.3
42 	-73879.1    	-17809  	-4668.76	11913.8
43 	-103532     	-17984.4	-4668.76	12390.9
44 	-69007.7    	-17927.6	-4668.76	12067.2
45 	-76912.3    	-17955.5	-4668.76	11946.6
46 	-76844.1    	-17941.2	-4668.76	11528.3
47 	-75650.1    	-18295.8	-4668.76	12620.8
48 	-75822.7    	-18467.2	-4668.76	12522.3
49 	-77175.5    	-18700.8	-4668.76	12762.2
50 	-76673      	-18729.7	-4668.76	12250.3
51 	-96200.6    	-18925  	-4668.76	12619  
52 	-76661.5    	-18833.3	-4668.76	11794.7
53 	-74110      	-18812.5	-4668.76	11329.1
54 	-70359.7    	-18965.1	-4668.76	11739.1
55 	-75650.3    	-19281.1	-4668.76	12330.1
56 	-75650.3    	-19339.7	-4668.76	12530  
57 	-94779.5    	-19455  	-4668.76	12915.4
58 	-72495.2    	-19549.4	-4668.59	12486.1
59 	-74784.4    	-19525.5	-4668.59	12323.7
60 	-75283      	-19519.7	-4668.59	12385.5
61 	-75283      	-19532.5	-4640.07	12531.8
62 	-73661.9    	-19427  	-4640.07	12640.3
63 	-74402      	-19429.1	-4640.07	12575.8
64 	-69125.9    	-19544.9	-4640.07	12176.6
65 	-70717.7    	-19545.4	-4640.07	11862.3
66 	-70717.7    	-19809.3	-4640.07	12130.4
67 	-67498.8    	-19935  	-4640.07	11848.8
68 	-75329.3    	-20392.2	-4634.31	12296.4
69 	-88538.3    	-20694.5	-4634.31	12677.8
70 	-225374     	-21376.8	-4634.31	16262.6
71 	-97555.1    	-21230.2	-4634.31	13776.5
72 	-83576.1    	-21178.7	-4634.31	13099  
73 	-84530.7    	-21299.4	-4634.31	12956.7
74 	-94471.2    	-21596.2	-4634.31	13509.4
75 	-84894.3    	-21594.6	-4634.31	13334.2
76 	-82915.3    	-21813.4	-4634.31	13589.4
77 	-95367.8    	-22055.9	-4634.31	13815.9
78 	-95367.8    	-22410.4	-4634.31	14198.7
79 	-93034.2    	-22595.4	-4634.31	14533.9
80 	-98546.1    	-22799.8	-4634.31	14834.3
81 	-86197.8    	-22965.4	-4634.31	14526.2
82 	-86115.6    	-22967.1	-4634.31	14245  
83 	-83100.2    	-22988.8	-4634.31	13879.7
84 	-103787     	-23149.7	-4634.31	14522.6
85 	-95437.3    	-23181.4	-4634.31	14730.4
86 	-97838.4    	-23277.6	-4634.31	14624.4
87 	-100544     	-23552  	-4634.31	15214.7
88 	-115920     	-23962.5	-4634.31	16253.3
89 	-125655     	-24244.4	-4634.31	16505.4
90 	-85177.9    	-24220.6	-4634.31	15841  
91 	-97808.5    	-24300  	-4634.31	16028  
92 	-155148     	-24843.7	-4634.31	17186.3
93 	-108676     	-24928.4	-4634.31	17006.7
94 	-118986     	-25094.6	-4634.31	17011.8
95 	-115906     	-25235.5	-4634.31	17243.2
96 	-112251     	-25155.1	-4634.31	17516.6
97 	-96585.2    	-25151.9	-4634.31	17043.8
98 	-91203.9    	-24993.5	-4634.31	16822.4
99 	-94943.6    	-25243.5	-4634.31	17286.8
100	-90947      	-25300.7	-4634.31	16234.3
101	-113915     	-25492  	-4634.31	17119.9
102	-99957.8    	-25412.4	-4634.31	16566.5
103	-99344.4    	-25230.1	-4634.31	16418  
104	-100421     	-25059.4	-4634.31	16392.7
105	-117733     	-25453.7	-4634.31	16973  
106	-110132     	-25797  	-4558.06	16804.8
107	-104721     	-25777.8	-4558.06	16562.7
108	-89830.5    	-25900  	-4558.06	16268.4
109	-99910.5    	-25912  	-4558.06	16414.4
110	-92311.2    	-25887.6	-4558.06	16141.1
111	-108361     	-26070.8	-4558.06	16652.2
112	-141365     	-26370.5	-4558.06	17307  
113	-154935     	-26449.8	-4558.06	18201.9
114	-130790     	-26660.8	-4558.06	18487.9
115	-225530     	-27113.8	-4558.06	20501.7
116	-127634     	-26787.2	-4467.48	18309.1
117	-122713     	-26782  	-4467.48	18364.9
118	-101616     	-26645  	-4467.48	17173  
119	-210884     	-27396.5	-4467.48	19374.8
120	-189633     	-27402.2	-4467.48	19216.7
121	-187487     	-27528.9	-4467.48	19291.4
122	-128426     	-27653.7	-4467.48	18225.4
123	-133156     	-27801.1	-4467.48	18565.7
124	-129273     	-27710.9	-4467.48	18046.7
125	-128690     	-27918.3	-4432.2 	18226  
126	-204245     	-28350.1	-4432.2 	19835.4
127	-129271     	-28299.6	-4432.2 	18331.5
128	-128728     	-28049.1	-4432.2 	18362.2
129	-129207     	-28244.6	-4432.2 	18076.8
130	-186082     	-28867.3	-4432.2 	19880.3
131	-186082     	-29065  	-4432.2 	20023.7
132	-185473     	-29290.6	-4432.2 	20319.2
133	-133946     	-29039.1	-4432.2 	19129.9
134	-133956     	-29025.8	-4432.2 	19746.1
135	-133946     	-28958.3	-4432.2 	19854.6
136	-135961     	-29059.4	-4432.2 	19955.5
137	-120649     	-29311.8	-4432.2 	19764.3
138	-124052     	-29783.3	-4432.2 	19778.8
139	-194938     	-30185.5	-4432.2 	20826.8
140	-130675     	-30497.2	-4432.2 	20377.1
141	-133007     	-30544.5	-4432.2 	20811.3
142	-384901     	-31579.4	-4408.2 	26281.8
143	-387856     	-31998.2	-4408.2 	26543.5
144	-426362     	-32041.2	-4408.2 	27922  
145	-151807     	-31727.9	-4408.2 	21770.8
146	-119207     	-31510.5	-4408.2 	21421.4
147	-182500     	-31507.9	-4408.2 	22494.8
148	-182500     	-31563.4	-4408.2 	23030.8
149	-182556     	-31621.2	-4408.2 	22731.2
150	-182881     	-31421.1	-4408.2 	22255.3
151	-145951     	-31522  	-4408.2 	21980.4
152	-147500     	-31857.4	-4408.2 	22155.1
153	-139382     	-31976.3	-4408.2 	21463.2
154	-133044     	-31951.9	-4408.2 	21334.7
155	-117958     	-32039.8	-4408.2 	20425.6
156	-115211     	-32094  	-4408.2 	20638.3
157	-180890     	-32489.2	-4408.2 	21829.5
158	-166427     	-32989.8	-4408.2 	21963.1
159	-345348     	-33738.3	-4408.2 	26671.7
160	-273899     	-33656.8	-4408.2 	24073.5
161	-182007     	-33633.2	-4408.2 	22923.3
162	-181980     	-34062.9	-4408.2 	23932.3
163	-182706     	-34195.6	-4408.2 	23679.8
164	-144061     	-34097.8	-4408.2 	22931.1
165	-138777     	-34483.7	-4408.2 	23080.5
166	-152911     	-34625.2	-4408.2 	23504  
167	-162013     	-34762.1	-4408.2 	23379.4
168	-160225     	-35313.9	-4408.2 	24348.3
169	-143345     	-35244.9	-4408.2 	23873  
170	-374027     	-35806.4	-4408.2 	27883.8
171	-318038     	-35859.3	-4408.2 	27096.3
172	-146044     	-35612.9	-4408.2 	23587.1
173	-129304     	-35666.3	-4408.2 	22775.1
174	-141850     	-35895.8	-4408.2 	23831.1
175	-131302     	-36357.4	-4408.2 	24005.6
176	-153477     	-36511.1	-4408.2 	24451.8
177	-189666     	-36899.3	-4408.2 	25633  
178	-184577     	-36982.8	-4408.2 	26351.8
179	-192689     	-37321.3	-4408.2 	27585.3
180	-151813     	-36971.8	-4408.2 	25979.5
181	-161603     	-37065.4	-4408.2 	25112.1
182	-338817     	-37807  	-4408.2 	28585.8
183	-150367     	-37529.2	-4408.2 	25653.7
184	-158981     	-38037.2	-4408.2 	26625  
185	-164338     	-38616.5	-4408.2 	26887.6
186	-130490     	-38434  	-4408.2 	25528.9
187	-273702     	-39357.1	-4408.2 	28335.1
188	-337688     	-39849.7	-4408.2 	31548.6
189	-303666     	-39521  	-4408.2 	29387.1
190	-303797     	-39640.5	-4408.2 	30176.9
191	-257358     	-39488.2	-4408.2 	29418.4
192	-214508     	-39601.4	-4408.2 	29471.2
193	-230371     	-39838.3	-4408.2 	29654.6
194	-745065     	-42127.9	-4408.2 	47185.7
195	-383414     	-41125.5	-4408.2 	32766.2
196	-383226     	-41283.1	-4408.2 	32986.7
197	-211293     	-40628.4	-4408.2 	29287.7
198	-211225     	-40423.3	-4408.2 	28100.7
199	-351349     	-41386.7	-4408.2 	31826.6
Result of algorithm run: SUCCESS, 0, 0, -7241012.132427, 0
