/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
(5, 2006, 'EastJapan')
gen	min    	avg   	max     	std    
0  	-699687	-17409	-5067.09	45363.6
1  	-582609	-16241.4	-4774.36	33644.3
2  	-307703	-15205.5	-4752.93	22035.8
3  	-173499	-14769  	-4752.93	17886.3
4  	-167573	-14714.1	-4703.64	16638.9
5  	-151810	-14590.8	-4703.64	14885.4
6  	-151429	-14800  	-4703.64	15134  
7  	-145794	-14715.1	-4703.64	13736.4
8  	-113596	-14600.7	-4671.74	12896.7
9  	-91057.2	-14705.9	-4671.74	12781  
10 	-228782 	-15191.3	-4671.74	16103  
11 	-109817 	-14857.2	-4671.74	13317.4
12 	-114189 	-15026.6	-4671.74	13761.8
13 	-103340 	-15111.3	-4671.74	13070.8
14 	-103340 	-15291.6	-4668.8 	13165.1
15 	-103402 	-15350.3	-4668.8 	13306.3
16 	-98130.4	-15428.9	-4638.23	13295  
17 	-93495.4	-15504.4	-4638.23	13125.1
18 	-86834.5	-15654.8	-4638.23	12975.8
19 	-85601.5	-15633.5	-4638.23	12569.4
20 	-85261  	-15839.1	-4638.23	12849.2
21 	-83872.9	-15747.8	-4638.23	12190.8
22 	-84593.2	-15714.5	-4638.23	12385.7
23 	-137295 	-16023.5	-4638.23	13421.9
24 	-138277 	-16073.9	-4638.23	13600.5
25 	-90189.6	-15841.3	-4638.23	12542.7
26 	-138602 	-16190.1	-4638.23	13557  
27 	-137884 	-16357.7	-4638.23	13914.6
28 	-87832.7	-16179.2	-4638.23	12668.9
29 	-87080.7	-16226  	-4638.23	12159.8
30 	-86740.9	-16173  	-4638.23	12205  
31 	-89575.1	-16102.6	-4638.23	11686.4
32 	-126834 	-16563.9	-4638.23	13154.3
33 	-125537 	-17130.6	-4638.23	14867.2
34 	-118020 	-16976.7	-4638.23	13944.7
35 	-134766 	-17221.7	-4638.23	14648  
36 	-117200 	-17189.6	-4638.23	14106.8
37 	-100405 	-17244.5	-4638.23	13638.7
38 	-97533.7	-17515.9	-4638.23	13709.8
39 	-108361 	-17796.8	-4638.23	14381  
40 	-108520 	-17739.2	-4638.23	14155.3
41 	-86496.1	-17814.6	-4638.23	13493.8
42 	-81714.3	-17860.5	-4638.23	13339.1
43 	-100711 	-18325.6	-4638.23	14359.2
44 	-100342 	-18508.2	-4638.23	14307.1
45 	-100648 	-18417.4	-4638.23	13963.7
46 	-101719 	-18458.1	-4638.23	14044.2
47 	-112976 	-18287.8	-4638.23	13855.2
48 	-108104 	-18107.7	-4638.23	13611.5
49 	-108104 	-18080.7	-4638.23	13850.7
50 	-105906 	-17946.3	-4629.83	13223.6
51 	-106014 	-18101  	-4629.83	13461.7
52 	-103282 	-18422.9	-4629.83	13758.6
53 	-103336 	-18542.4	-4629.83	13550.6
54 	-108008 	-18555.5	-4629.83	13213.5
55 	-105464 	-18475.7	-4629.83	12697.5
56 	-95363.3	-18527.2	-4629.83	12027.1
57 	-97314.1	-18614  	-4615.66	12143.9
58 	-83910.1	-18658.1	-4615.66	12111.8
59 	-81527  	-18837.5	-4615.66	11950.5
60 	-81285.9	-18871.4	-4615.66	11596.4
61 	-102282 	-19158.4	-4615.66	12147.7
62 	-179272 	-19465.1	-4615.66	14067.9
63 	-104013 	-19265.3	-4615.66	12243.1
64 	-106006 	-19261.6	-4615.66	12434.5
65 	-106006 	-19386.3	-4537.73	12353.5
66 	-80247.9	-19304.2	-4537.73	11825.2
67 	-80064.2	-19680.3	-4537.73	12034.5
68 	-71826.4	-19875.2	-4537.73	12362.4
69 	-73412  	-19920.4	-4537.73	11845.3
70 	-95026.3	-20224.6	-4537.73	12765.6
