(5, 2006, 'EastJapan')
gen	min    	avg   	max     	std    
0  	-169423	-13375	-4957.92	16154.7
1  	-148462	-13174.1	-4856.13	14385.1
2  	-139593	-13284.8	-4856.13	14400.2
3  	-134956	-13439.8	-4856.13	14049.4
4  	-125545	-13272.1	-4856.13	12815.5
5  	-111755	-13210.4	-4856.13	12296.7
6  	-112626	-13666.4	-4856.13	12809.1
7  	-101835	-13464.6	-4754.04	11950  
8  	-98715.6	-13587.3	-4754.04	11543.5
9  	-117030 	-13535.9	-4754.04	11206.6
10 	-108470 	-13607.9	-4754.04	11129.8
11 	-109425 	-13745.1	-4754.04	11329.6
12 	-164339 	-14216.7	-4690.04	13062.3
13 	-163111 	-14912.1	-4690.04	15898.7
14 	-310873 	-15712.7	-4517.78	20482.5
15 	-162593 	-15214.8	-4517.78	15729.5
16 	-153151 	-15050.2	-4517.78	14455.3
17 	-131745 	-14963.1	-4517.78	12576.9
18 	-125349 	-15065.7	-4517.78	12714.4
19 	-97570.8	-14954.6	-4517.78	11873.9
20 	-94770  	-15113.6	-4517.78	11632.1
21 	-88767.3	-15228.9	-4517.78	11552.9
22 	-84388.8	-15207.3	-4517.78	10966.4
23 	-83664.5	-15428.9	-4517.78	11189.2
24 	-83664.5	-15720.2	-4517.78	11186.9
25 	-83229.3	-15666.3	-4517.78	11038.3
26 	-73819.1	-15530.7	-4517.78	10630.3
27 	-73172.6	-15489.1	-4517.78	10525.5
28 	-73329.6	-15474.8	-4517.78	10106.6
29 	-74604.6	-15602.9	-4517.78	10725.5
30 	-259491 	-16490.8	-4517.78	15773  
31 	-277583 	-17145.2	-4517.78	19841.8
32 	-265176 	-16949.4	-4517.78	16819.2
33 	-106317 	-16571  	-4495.65	12900.1
34 	-101876 	-16499.7	-4451.95	12440.5
35 	-459609 	-17446.3	-4451.95	23142.9
36 	-208986 	-17656.2	-4451.95	16104.9
37 	-209492 	-17778.7	-4451.95	16514.1
38 	-132801 	-17457.7	-4392.4 	14215.8
39 	-97822.1	-17422.1	-4338.26	13349.3
40 	-91961.6	-17418.3	-4338.26	13088.9
41 	-90517.8	-17264.8	-4338.26	12584.2
42 	-90291.1	-17389.3	-4338.26	12697.1
43 	-84386.2	-17679.4	-4338.26	13076.9
44 	-80547.3	-17619.3	-4338.26	12153.5
45 	-100947 	-17917.1	-4338.26	12755.6
46 	-97671.4	-18003.3	-4338.26	12687.5
47 	-89603.2	-18080.5	-4338.26	12308.6
48 	-86670.7	-18026.1	-4338.26	11954.7
49 	-86670.7	-18065.9	-4338.26	12171.1
50 	-81862.5	-18096  	-4338.26	12005.4
51 	-79016.9	-18332.4	-4338.26	11986.2
52 	-76560.7	-18382.2	-4338.26	11836.3
53 	-77069.2	-18523.9	-4338.26	12109.1
54 	-87230.1	-18669.4	-4276.86	12690  
55 	-85578  	-18849.3	-4276.86	12715.5
56 	-85676.6	-18860.5	-4276.86	12425.2
57 	-85485.4	-19214.3	-4276.86	12606.3
58 	-87238.3	-19411  	-4276.86	12797.5
59 	-82903.2	-19479.8	-4276.86	12566.4
60 	-75465.2	-19699.9	-4276.86	13041.1
61 	-75726.4	-19644.5	-4276.64	12796.7
62 	-75409.1	-19858.9	-4276.64	12869.4
63 	-73292.4	-19880.6	-4276.64	12579  
64 	-72957.5	-20078.9	-4276.64	12619.8
65 	-72495.7	-20141.8	-4276.64	12630.7
66 	-91672.6	-20484.1	-4276.64	13202.3
67 	-91149.2	-20852.2	-4276.64	14101  
68 	-180367 	-21222.7	-4276.64	15581.1
69 	-79951.1	-21272.9	-4276.64	13929.7
70 	-79951.1	-21396.7	-4276.64	14270.2
71 	-87161.8	-21284.2	-4276.64	14292.9
72 	-84323.8	-21291.3	-4276.64	13883  
73 	-84561  	-21154.1	-4276.64	13317.2
74 	-239630 	-21778.6	-4276.64	16776.1
75 	-98383.1	-21499.9	-4276.64	13973.2
76 	-216756 	-21812.2	-4276.64	16391.4
77 	-90236.8	-21539.3	-4276.64	14148.1
78 	-105571 	-21809.8	-4276.64	14198.4
79 	-104474 	-21844.7	-4276.64	14607.9
80 	-88442.2	-22072.4	-4276.64	14284.1
81 	-79041.9	-22148.9	-4276.64	13539.6
82 	-79041.9	-22329.2	-4276.64	13609.1
83 	-79621.7	-22431.1	-4276.64	14286  
84 	-79271.1	-22275  	-4276.64	14079.6
85 	-78583.3	-22290.5	-4276.64	14000.4
86 	-76727.2	-22324.6	-4276.64	13865.5
87 	-76596.6	-22327.9	-4276.64	13738.9
88 	-74877.1	-22427.9	-4276.64	13147.8
89 	-89630.1	-22671.2	-4276.64	13813  
90 	-89976.2	-22880  	-4276.64	14041.7
91 	-92055.1	-22929.3	-4276.64	14464.2
92 	-101425 	-23252.2	-4276.64	14718.5
93 	-100371 	-23341.2	-4276.64	14935.2
94 	-92834.2	-23190.1	-4276.64	14235.8
95 	-79719.3	-23309.9	-4276.64	14047.9
96 	-299390 	-24346.4	-4276.64	19647.6
97 	-137456 	-23834.7	-4276.64	15539.7
98 	-204794 	-24483.4	-4276.64	17313.4
99 	-138210 	-24092.1	-4276.64	14663.9
100	-118419 	-23956.1	-4276.64	14819.5
101	-87074.9	-23940.2	-4276.64	14456.7
102	-88213.1	-24267  	-4276.64	14408.2
103	-82494.6	-24408.1	-4276.64	14078.2
104	-82766.3	-24453.1	-4266.92	14349.8
105	-82766.3	-24567.9	-4266.92	14158.6
106	-86532.9	-24709.7	-4266.92	14636.9
107	-85154.9	-24846  	-4266.92	14612.3
108	-259895 	-25860.5	-4266.92	18993  
109	-257727 	-25912.4	-4266.92	18894.9
110	-250762 	-26800.7	-4266.92	22165.7
111	-223802 	-26533.5	-4266.92	19117.2
112	-149558 	-26097.5	-4266.92	17357.3
113	-150612 	-25891.5	-4266.92	17134.2
114	-122378 	-26035.8	-4266.92	16852.6
115	-115459 	-26068.3	-4266.92	16428.9
116	-132505 	-26435.3	-4266.92	17502.8
117	-119071 	-26360.8	-4266.92	16737.2
118	-101008 	-26354.7	-4266.92	16504.3
119	-102090 	-26256.8	-4266.92	16075.8
120	-104224 	-26405.5	-4266.92	15790.3
121	-116740 	-26740.4	-4266.92	16657.1
122	-96012.6	-26857.1	-4266.92	16016.3
123	-93797.5	-26834.6	-4266.92	15535.7
124	-87186.5	-27031.1	-4266.92	15706.5
125	-109462 	-27699.1	-4257.43	17167.8
126	-95784.2	-27657  	-4257.43	17142.9
127	-97036.2	-27726  	-4257.43	17115.7
128	-99143.2	-27739  	-4257.43	17026.9
129	-119806 	-27606  	-4255.43	17424  
130	-119806 	-27819.6	-4255.43	17563.9
131	-169043 	-28216.1	-4255.43	18295.1
132	-128635 	-28073.5	-4255.43	17046.4
133	-116668 	-28384.8	-4255.43	17980.6
134	-113437 	-28325.3	-4255.43	17826.4
135	-89928.5	-28329.4	-4255.43	16804.2
136	-91939.4	-28556.5	-4255.43	16945.7
137	-120333 	-29219.9	-4251.09	18447.7
138	-119182 	-29059.6	-4251.09	17195.6
139	-253550 	-29931  	-4251.09	20031.8
140	-132057 	-30011.9	-4251.09	18139.5
141	-139525 	-30482.3	-4251.09	19100.2
142	-135951 	-30278  	-4251.09	18685.8
143	-121720 	-30231.1	-4251.09	18346.4
144	-117931 	-30427.3	-4251.09	18550.3
145	-119710 	-30464.6	-4251.09	19387.7
146	-125556 	-30419.9	-4251.09	19109.8
147	-126301 	-30581.8	-4251.09	19210.2
148	-162555 	-31023.6	-4251.09	19912.2
149	-162555 	-30897.7	-4251.09	20266.5
150	-118463 	-30866.7	-4251.09	19974.9
151	-114140 	-30608.2	-4251.09	19203.6
152	-118038 	-30903.1	-4251.09	19771.2
153	-131831 	-31497.5	-4251.09	21119.2
154	-129121 	-31925.3	-4251.09	21337.8
155	-120543 	-31922.4	-4251.09	21353.6
156	-121648 	-32113.2	-4251.09	21238.2
157	-138395 	-32123.6	-4251.09	21498.2
158	-135006 	-32091.2	-4251.09	21304.7
159	-134713 	-32413.9	-4251.09	21864.9
160	-131808 	-32500.7	-4251.09	20537.5
161	-125839 	-32311.2	-4251.09	20397.3
162	-122924 	-32367.7	-4251.09	20709.6
163	-126515 	-32373.6	-4251.09	20649.8
164	-139805 	-32250.8	-4251.09	20590.8
165	-100443 	-32367.1	-4251.09	19744  
166	-105245 	-32247.5	-4251.09	19314.6
167	-117912 	-32136.4	-4251.09	19248  
168	-117627 	-32139.9	-4251.09	18923.2
169	-130181 	-32113.4	-4251.09	19055.4
170	-134535 	-32333.6	-4251.09	20253.7
171	-131852 	-32126.6	-4251.09	19573  
172	-125763 	-32127.5	-4251.09	19748.3
173	-130214 	-32245.7	-4251.09	19442.5
174	-132493 	-32196.9	-4251.09	19131.2
175	-130080 	-32344.1	-4251.09	19676.9
176	-137531 	-32544.1	-4251.09	20088.7
177	-130919 	-32865.1	-4177.05	19802.2
178	-158010 	-33235  	-4177.05	22196.4
179	-153265 	-33310  	-4177.05	22209.3
180	-153136 	-33398.8	-4177.05	22991.4
181	-148382 	-33514.3	-4177.05	22091.2
182	-137019 	-33388.1	-4177.05	21743.5
183	-137090 	-33367.7	-4177.05	21573.6
184	-145952 	-33336.9	-4177.05	21253.2
185	-182115 	-33469  	-4177.05	22241.7
186	-188591 	-33567.1	-4177.05	22368.1
187	-167883 	-33593.6	-4177.05	21922.6
188	-157543 	-33921  	-4164.15	22439.2
189	-143383 	-34082.6	-4164.15	22335.7
190	-160509 	-34283.8	-4164.15	22342.7
191	-150014 	-34852.2	-4164.15	23325.6
192	-141159 	-35206.1	-4164.15	22814.1
193	-123391 	-35341.5	-4164.15	21405.3
194	-129443 	-35424.6	-4164.15	21434.2
195	-125929 	-35019.2	-4164.15	20508  
196	-263986 	-36278.5	-4164.15	25774.7
